instrument,ema_session_definition,ema_span,approach_side,time_stratum,horizon_bars,barrier_atr,eligible_armed_excursions,touch_events,touch_rate,same_bar_rejection_count,same_bar_breakthrough_count,same_bar_neutral_count,same_bar_rejection_rate,same_bar_breakthrough_rate,same_bar_rej_minus_brk,same_bar_binom_p,median_signed_close_atr,median_rejection_exc_atr,median_breakthrough_exc_atr,median_dominance,p_rejection_exc_gt_breakthrough_exc,p_breakthrough_exc_gt_rejection_exc,post_touch_retouch_rate,barrier_rejection_first_n,barrier_breakthrough_first_n,barrier_tie_n,barrier_neither_n,barrier_rejection_first_rate,barrier_breakthrough_first_rate,barrier_tie_rate,barrier_neither_rate,barrier_rej_minus_brk_first_rate,barrier_nontied_n,barrier_binom_p,sample_status,bh_family,q_value_primary,n_years_with_ge10_events,sign_reversal,one_year_dominance,year_2020_concentration,max_year_sign_agreement,effect_pp,min_sample_met,classification
ES,RTH_EMA,22,FROM_ABOVE,MID_MORNING,5,1.0,624,659,1.0560897435897436,367,292,0,0.5569044006069803,0.44309559939301973,0.11380880121396054,0.003910319934033647,0.002764647438745442,0.767382595218192,0.8429723274066954,-0.05043768272412311,0.4764795144157815,0.5235204855842185,0.8786039453717754,237,252,0,170,0.3596358118361153,0.38239757207890746,0.0,0.25796661608497723,-0.02276176024279214,489,0.5267095361678938,OK,ES|RTH_EMA|MID_MORNING,0.5267095361678938,5,True,False,False,3,-2.2761760242792137,True,MIXED_OR_NULL
ES,RTH_EMA,22,FROM_ABOVE,MIDDAY,5,1.0,925,983,1.0627027027027027,528,455,0,0.5371312309257376,0.46286876907426244,0.07426246185147507,0.02160298436715036,0.008526767694037313,0.926706580124855,0.8226616518550999,0.08475998643091347,0.5320447609359105,0.46795523906408953,0.9043743641912513,426,381,5,171,0.4333672431332655,0.387589013224822,0.00508646998982706,0.17395727365208546,0.045778229908443546,807,0.12135837250122858,OK,ES|RTH_EMA|MIDDAY,0.24271674500245713,5,True,False,False,3,4.577822990844354,True,MIXED_OR_NULL
ES,RTH_EMA,22,FROM_ABOVE,AFTERNOON,5,1.0,1004,1137,1.1324701195219125,568,569,0,0.4995602462620932,0.5004397537379067,-0.0008795074758135445,1.0,0.23427937377197885,1.3262094874536996,1.1567830397042498,0.09300783417099458,0.5303430079155673,0.46965699208443273,0.8768689533861038,573,509,12,43,0.503957783641161,0.4476693051890941,0.010554089709762533,0.03781882145998241,0.05628847845206686,1082,0.05540962031249244,OK,ES|RTH_EMA|AFTERNOON,0.33245772187495465,5,False,False,False,5,5.6288478452066855,True,MIXED_OR_NULL
ES,RTH_EMA,22,FROM_ABOVE,ALL_RTH,5,1.0,3174,3109,0.979521109010712,1635,1474,0,0.5258925699581859,0.4741074300418141,0.051785139916371827,0.004103688095226614,0.09573355892744592,1.0193862228780302,0.9245663150463849,0.05605387834568713,0.5210678674815054,0.4789321325184947,0.8867803152138951,1392,1276,21,420,0.44773238983596014,0.4104213573496301,0.006754583467352846,0.13509166934705694,0.037311032486330054,2668,0.025968385902016267,OK,ES|RTH_EMA|ALL_RTH,0.08714566042548788,5,True,False,False,4,3.7311032486330054,True,MIXED_OR_NULL
ES,RTH_EMA,22,FROM_BELOW,OPEN,5,1.0,523,293,0.5602294455066922,148,145,0,0.5051194539249146,0.4948805460750853,0.010238907849829351,0.9070119598141334,-0.057547705503244506,0.8785253627262211,0.918450440542607,-0.04599598495750945,0.4778156996587031,0.5221843003412969,0.9180887372013652,119,129,0,45,0.4061433447098976,0.4402730375426621,0.0,0.15358361774744028,-0.03412969283276451,248,0.5677487762519422,OK,ES|RTH_EMA|OPEN,0.7364141897257932,5,True,False,False,3,-3.4129692832764515,True,MIXED_OR_NULL
ES,RTH_EMA,22,FROM_BELOW,MID_MORNING,5,1.0,524,591,1.1278625954198473,312,279,0,0.5279187817258884,0.4720812182741117,0.05583756345177665,0.18802645184333863,-0.024124870871695393,0.7299704053218286,0.6960358028593697,0.04168773212829066,0.5160744500846024,0.48392554991539766,0.8883248730964467,234,184,0,173,0.39593908629441626,0.311336717428088,0.0,0.2927241962774958,0.08460236886632827,418,0.016442362970091547,OK,ES|RTH_EMA|MID_MORNING,0.04932708891027464,5,True,False,False,4,8.460236886632828,True,MIXED_OR_NULL
ES,RTH_EMA,22,FROM_BELOW,MIDDAY,5,1.0,778,828,1.06426735218509,382,446,0,0.4613526570048309,0.538647342995169,-0.07729468599033816,0.028506925601376663,-0.08199520854095593,0.8158374923719234,0.8059602840224127,-0.003000929638274521,0.49879227053140096,0.501207729468599,0.8973429951690821,338,312,3,175,0.4082125603864734,0.37681159420289856,0.0036231884057971015,0.2113526570048309,0.03140096618357485,650,0.3268020789494571,OK,ES|RTH_EMA|MIDDAY,0.3541897297699544,5,True,False,False,3,3.140096618357485,True,MIXED_OR_NULL
ES,RTH_EMA,22,FROM_BELOW,AFTERNOON,5,1.0,852,876,1.028169014084507,457,419,0,0.521689497716895,0.478310502283105,0.04337899543378995,0.21123345280340608,-0.1419335627502578,1.1814487616993985,1.1537539295778942,-0.052207277942755925,0.4805936073059361,0.519406392694064,0.889269406392694,416,391,5,64,0.4748858447488584,0.4463470319634703,0.005707762557077625,0.0730593607305936,0.028538812785388112,807,0.39821420088536097,OK,ES|RTH_EMA|AFTERNOON,0.5046116619658858,5,False,False,False,5,2.853881278538811,True,MIXED_OR_NULL
ES,RTH_EMA,22,FROM_BELOW,ALL_RTH,5,1.0,2677,2588,0.9667538289129622,1299,1289,0,0.5019319938176198,0.49806800618238023,0.0038639876352395673,0.8595808638266775,-0.08305797794755382,0.9031482100288235,0.8770552225022196,-0.015567741860132123,0.49420401854714063,0.5057959814528593,0.8948995363214838,1107,1016,8,457,0.4277434312210201,0.39258114374034003,0.0030911901081916537,0.17658423493044823,0.035162287480680066,2123,0.05075925303222341,OK,ES|RTH_EMA|ALL_RTH,0.08714566042548788,5,True,False,False,3,3.5162287480680066,True,MIXED_OR_NULL
NQ,FULL_SESSION_EMA,20,FROM_ABOVE,OPEN,5,1.0,592,527,0.8902027027027027,270,257,0,0.5123339658444023,0.4876660341555977,0.024667931688804556,0.6012053739363986,0.18534428786328935,1.7327590954280965,1.7268668570290695,0.0052564999079871035,0.5009487666034156,0.4990512333965844,0.8425047438330171,241,238,44,4,0.4573055028462998,0.45161290322580644,0.08349146110056926,0.007590132827324478,0.005692599620493344,479,0.9272013637651204,OK,NQ|FULL_SESSION_EMA|OPEN,0.9272013637651204,5,True,False,False,4,0.5692599620493344,True,MIXED_OR_NULL
