instrument,ema_session_definition,ema_span,approach_side,time_stratum,year,n_events,same_bar_rej_minus_brk,barrier0.5_rej_minus_brk_first_rate,barrier1.0_rej_minus_brk_first_rate,median_signed_close_atr,sign
ES,FULL_SESSION_EMA,22,FROM_ABOVE,AFTERNOON,2021,237,0.07172995780590717,0.1308016877637131,0.05485232067510549,-0.0012243196924992099,-1.0
ES,FULL_SESSION_EMA,22,FROM_ABOVE,AFTERNOON,2022,205,0.08292682926829269,0.07804878048780488,0.03902439024390244,0.21455951045422336,1.0
ES,FULL_SESSION_EMA,22,FROM_ABOVE,ALL_RTH,2018,656,0.04573170731707317,0.03048780487804878,0.018292682926829267,0.11855317162571638,1.0
ES,FULL_SESSION_EMA,22,FROM_ABOVE,ALL_RTH,2019,699,0.09298998569384835,0.15164520743919885,0.1301859799713877,0.228952217227185,1.0
ES,FULL_SESSION_EMA,22,FROM_ABOVE,ALL_RTH,2020,712,0.02247191011235955,0.033707865168539325,0.05898876404494382,0.11096112446456427,1.0
ES,FULL_SESSION_EMA,22,FROM_ABOVE,ALL_RTH,2021,680,0.023529411764705882,0.06764705882352941,0.01764705882352941,0.12146115425629864,1.0
ES,FULL_SESSION_EMA,22,FROM_ABOVE,ALL_RTH,2022,616,0.05194805194805195,0.01461038961038961,-0.003246753246753247,-0.06281667248291625,-1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,OPEN,2018,108,-0.018518518518518517,0.12962962962962962,0.1388888888888889,0.8048846752606809,1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,OPEN,2019,94,0.02127659574468085,0.02127659574468085,0.0,0.12082816301381444,1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,OPEN,2020,120,-0.06666666666666667,-0.075,-0.016666666666666666,-0.2635869827159207,-1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,OPEN,2021,99,0.0707070707070707,0.06060606060606061,0.18181818181818182,-0.18537531749973493,-1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,OPEN,2022,115,-0.0782608695652174,0.0,-0.008695652173913044,-0.005296998098076854,-1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,MID_MORNING,2018,119,0.19327731092436976,0.09243697478991597,-0.01680672268907563,-0.24060266580132972,-1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,MID_MORNING,2019,137,0.08029197080291971,0.16058394160583941,0.0072992700729927005,-0.0908660738385716,-1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,MID_MORNING,2020,113,0.20353982300884957,0.21238938053097345,0.17699115044247787,-0.022586865524368522,-1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,MID_MORNING,2021,121,-0.0743801652892562,0.0,0.024793388429752067,-0.07685298234052439,-1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,MID_MORNING,2022,146,0.1095890410958904,-0.02054794520547945,0.03424657534246575,0.008681367636738041,1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,MIDDAY,2018,181,-0.09392265193370165,-0.07734806629834254,0.13259668508287292,0.2954935715463406,1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,MIDDAY,2019,172,-0.05813953488372093,-0.029069767441860465,-0.011627906976744186,-0.10211053181440899,-1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,MIDDAY,2020,160,-0.025,0.00625,0.01875,-0.2907381963872465,-1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,MIDDAY,2021,161,-0.15527950310559005,-0.22981366459627328,-0.07453416149068323,-0.26274898118323864,-1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,MIDDAY,2022,170,0.058823529411764705,0.06470588235294118,0.01764705882352941,0.051278196033647444,1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,AFTERNOON,2018,196,0.12244897959183673,0.1377551020408163,0.05102040816326531,-0.02301206149782271,-1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,AFTERNOON,2019,181,0.06077348066298342,0.06629834254143646,0.03867403314917127,-0.08480423882879816,-1.0
ES,FULL_SESSION_EMA,22,FROM_BELOW,AFTERNOON,2020,173,0.005780346820809248,0.09248554913294797,0.09826589595375723,-0.15364150698561901,-1.0
