session_date,n_bars,n_valid_z1,n_ev_k1,n_ev_k3
2019-01-03,1365,1364,101,85
2019-01-04,1365,1364,89,67
2019-01-07,1365,1364,37,25
2019-01-08,1365,1364,29,18
2019-01-09,1365,1363,19,12
2019-01-10,1365,1363,17,17
2019-01-11,1365,1363,11,5
2019-01-14,1365,1364,8,5
2019-01-15,1365,1363,12,9
2019-01-16,1365,1363,8,8
2019-01-17,1365,1364,24,16
2019-01-18,1365,1364,5,6
2019-01-21,1135,1134,8,5
2019-01-22,1365,1363,10,8
2019-01-23,1364,1362,17,15
2019-01-24,1365,1364,25,25
2019-01-25,1365,1364,9,7
2019-01-28,1364,1363,15,14
2019-01-29,1365,1364,11,1
2019-01-30,1364,1363,11,8
2019-01-31,1365,1363,16,5
2019-02-01,1365,1363,16,14
2019-02-04,1365,1364,6,6
2019-02-05,1355,1353,2,2
2019-02-06,1361,1360,5,2
2019-02-07,1362,1361,18,14
2019-02-08,1364,1363,10,5
2019-02-11,1364,1363,9,8
2019-02-12,1365,1364,6,5
2019-02-13,1365,1363,3,5
2019-02-14,1365,1363,26,20
2019-02-15,1365,1363,23,22
2019-02-18,1137,1136,2,3
2019-02-19,1363,1362,2,0
2019-02-20,1364,1363,8,8
2019-02-21,1365,1364,16,18
2019-02-22,1365,1364,10,11
2019-02-25,1364,1363,4,5
2019-02-26,1365,1364,8,11
2019-02-27,1181,1180,12,17
2019-02-28,1365,1364,9,8
2019-03-01,1366,1364,6,4
2019-03-04,1362,1360,21,21
2019-03-05,1364,1362,6,4
2019-03-06,1365,1363,8,6
2019-03-07,1363,1361,26,16
2019-03-08,1365,1364,37,33
2019-03-11,1364,1362,11,21
2019-03-12,1363,1361,9,12
2019-03-13,1363,1360,2,13
2019-03-14,1363,1361,13,17
2019-03-15,1364,1362,8,21
2019-03-18,1363,1361,2,1
2019-03-19,1363,1362,13,11
2019-03-20,1365,1363,28,26
2019-03-21,1364,1361,22,43
2019-03-22,1365,1363,74,89
2019-03-25,1365,1363,88,117
2019-03-26,1365,1364,41,51
2019-03-27,1365,1361,66,78
2019-03-28,1365,1360,47,76
2019-03-29,1365,1361,19,26
2019-04-01,1365,1357,14,20
2019-04-02,1363,1358,7,3
2019-04-03,1361,1356,24,27
2019-04-04,1365,1362,19,15
2019-04-05,1364,1356,17,22
2019-04-08,1360,1351,8,7
2019-04-09,1352,1344,16,12
2019-04-10,1357,1347,14,14
2019-04-11,1360,1351,16,13
2019-04-12,1357,1340,11,14
2019-04-15,1365,1348,6,2
2019-04-16,1353,1346,22,14
2019-04-17,1362,1355,24,17
2019-04-18,1364,1355,31,27
2019-04-22,1362,1349,21,9
2019-04-23,1358,1346,15,3
2019-04-24,1362,1348,24,18
2019-04-25,1362,1346,23,25
2019-04-26,1363,1348,32,34
2019-04-29,1357,1349,22,10
2019-04-30,1358,1345,32,24
2019-05-01,1355,1338,55,43
2019-05-02,1365,1351,88,93
2019-05-03,1361,1340,25,31
2019-05-06,1365,1358,174,255
2019-05-07,1364,1354,171,216
2019-05-08,1365,1353,143,191
2019-05-09,1365,1355,159,254
2019-05-10,1365,1356,284,411
2019-05-13,1365,1361,209,271
2019-05-14,1365,1355,93,138
2019-05-15,1365,1357,71,127
2019-05-16,1365,1358,70,129
2019-05-17,1365,1359,106,148
2019-05-20,1364,1359,108,177
2019-05-21,1363,1358,35,57
2019-05-22,1365,1358,36,56
2019-05-23,1365,1360,86,116
2019-05-24,1365,1355,31,59
2019-05-27,1136,1130,20,29
2019-05-28,1364,1359,46,70
2019-05-29,1365,1361,96,121
2019-05-30,1366,1362,44,63
2019-05-31,1365,1359,95,138
2019-06-03,1365,1362,111,137
2019-06-04,1365,1360,36,72
2019-06-05,1364,1358,36,59
2019-06-06,1364,1359,43,85
2019-06-07,1364,1359,29,52
2019-06-10,1364,1358,29,34
2019-06-11,1364,1359,26,14
2019-06-12,1364,1361,16,39
2019-06-13,1365,1362,53,84
2019-06-14,1360,1356,30,50
2019-06-17,1359,1352,4,14
2019-06-18,1353,1348,24,33
2019-06-19,1359,1354,36,34
2019-06-20,1365,1361,25,43
2019-06-21,1365,1360,31,47
2019-06-24,1361,1356,7,17
2019-06-25,1363,1358,35,47
2019-06-26,1364,1360,29,44
2019-06-27,1365,1360,33,36
2019-06-28,1364,1360,20,14
2019-07-01,1365,1357,27,33
2019-07-02,1365,1360,24,19
2019-07-03,1154,1147,6,9
2019-07-04,1125,1118,6,3
2019-07-05,1364,1356,29,23
2019-07-08,1363,1357,12,14
2019-07-09,1362,1356,16,24
2019-07-10,1363,1355,35,30
2019-07-11,1360,1355,20,22
2019-07-12,1364,1357,10,18
2019-07-15,1358,1350,7,9
2019-07-16,1361,1353,14,7
2019-07-17,1356,1348,15,13
2019-07-18,1364,1359,31,36
2019-07-19,1365,1361,45,62
2019-07-22,1365,1363,24,41
2019-07-23,1363,1359,19,23
2019-07-24,1361,1360,15,8
2019-07-25,1362,1358,31,21
2019-07-26,1362,1357,4,4
2019-07-29,1362,1359,7,0
2019-07-30,1359,1356,15,24
2019-07-31,1365,1359,59,64
2019-08-01,1365,1361,127,154
