instrument,level_id,horizon,b,n,continuation_first_rate,reversal_first_rate,same_bar_tie_rate,neither_rate
ES,LOWER_k0,10,1.0,1086,0.425414364640884,0.4300184162062615,0.141804788213628,0.0027624309392265192
ES,LOWER_k0,15,1.0,1086,0.425414364640884,0.4300184162062615,0.141804788213628,0.0027624309392265192
ES,LOWER_k0,20,1.0,1086,0.425414364640884,0.4300184162062615,0.141804788213628,0.0027624309392265192
ES,LOWER_k0,30,1.0,1086,0.427255985267035,0.430939226519337,0.141804788213628,0.0
ES,LOWER_k0,60,1.0,1086,0.427255985267035,0.430939226519337,0.141804788213628,0.0
ES,LOWER_k0,120,1.0,1086,0.427255985267035,0.430939226519337,0.141804788213628,0.0
ES,LOWER_k1,1,1.0,1006,0.38071570576540753,0.3687872763419483,0.13618290258449303,0.1143141153081511
ES,LOWER_k1,2,1.0,1006,0.4135188866799205,0.40457256461232605,0.13817097415506957,0.0437375745526839
ES,LOWER_k1,3,1.0,1006,0.42147117296222664,0.4105367793240557,0.13817097415506957,0.02982107355864811
ES,LOWER_k1,4,1.0,1006,0.4234592445328032,0.41848906560636184,0.13817097415506957,0.019880715705765408
ES,LOWER_k1,5,1.0,1006,0.4254473161033797,0.4224652087475149,0.13817097415506957,0.013916500994035786
ES,LOWER_k1,10,1.0,1006,0.43141153081510936,0.4284294234592445,0.13817097415506957,0.0019880715705765406
ES,LOWER_k1,15,1.0,1006,0.43141153081510936,0.4294234592445328,0.13817097415506957,0.0009940357852882703
ES,LOWER_k1,20,1.0,1006,0.43141153081510936,0.4304174950298211,0.13817097415506957,0.0
ES,LOWER_k1,30,1.0,1006,0.43141153081510936,0.4304174950298211,0.13817097415506957,0.0
ES,LOWER_k1,60,1.0,1006,0.43141153081510936,0.4304174950298211,0.13817097415506957,0.0
ES,LOWER_k1,120,1.0,1006,0.43141153081510936,0.4304174950298211,0.13817097415506957,0.0
ES,LOWER_k2,1,1.0,923,0.3391115926327194,0.38353196099674974,0.14301191765980498,0.13434452871072589
ES,LOWER_k2,2,1.0,923,0.37919826652221017,0.42145178764897073,0.14517876489707476,0.05417118093174431
ES,LOWER_k2,3,1.0,923,0.39111592632719394,0.4333694474539545,0.14517876489707476,0.030335861321776816
ES,LOWER_k2,4,1.0,923,0.39653304442036835,0.4409534127843987,0.14517876489707476,0.01733477789815818
ES,LOWER_k2,5,1.0,923,0.39869989165763814,0.4420368364030336,0.14517876489707476,0.014084507042253521
ES,LOWER_k2,10,1.0,923,0.40628385698808234,0.4463705308775731,0.14517876489707476,0.0021668472372697724
ES,LOWER_k2,15,1.0,923,0.40628385698808234,0.447453954496208,0.14517876489707476,0.0010834236186348862
ES,LOWER_k2,20,1.0,923,0.40628385698808234,0.4485373781148429,0.14517876489707476,0.0
ES,LOWER_k2,30,1.0,923,0.40628385698808234,0.4485373781148429,0.14517876489707476,0.0
ES,LOWER_k2,60,1.0,923,0.40628385698808234,0.4485373781148429,0.14517876489707476,0.0
ES,LOWER_k2,120,1.0,923,0.40628385698808234,0.4485373781148429,0.14517876489707476,0.0
ES,LOWER_k3,1,1.0,854,0.3442622950819672,0.3875878220140515,0.14168618266978922,0.12646370023419204
ES,LOWER_k3,2,1.0,854,0.3770491803278688,0.4203747072599532,0.14754098360655737,0.05503512880562061
ES,LOWER_k3,3,1.0,854,0.38875878220140514,0.4344262295081967,0.14754098360655737,0.02927400468384075
ES,LOWER_k3,4,1.0,854,0.40046838407494145,0.44379391100702575,0.14754098360655737,0.00819672131147541
ES,LOWER_k3,5,1.0,854,0.4028103044496487,0.44730679156908665,0.14754098360655737,0.00234192037470726
ES,LOWER_k3,10,1.0,854,0.4028103044496487,0.4496487119437939,0.14754098360655737,0.0
ES,LOWER_k3,15,1.0,854,0.4028103044496487,0.4496487119437939,0.14754098360655737,0.0
ES,LOWER_k3,20,1.0,854,0.4028103044496487,0.4496487119437939,0.14754098360655737,0.0
ES,LOWER_k3,30,1.0,854,0.4028103044496487,0.4496487119437939,0.14754098360655737,0.0
ES,LOWER_k3,60,1.0,854,0.4028103044496487,0.4496487119437939,0.14754098360655737,0.0
ES,LOWER_k3,120,1.0,854,0.4028103044496487,0.4496487119437939,0.14754098360655737,0.0
ES,UPPER_k0,1,1.0,1110,0.38828828828828826,0.36126126126126124,0.11531531531531532,0.13513513513513514
ES,UPPER_k0,2,1.0,1110,0.4297297297297297,0.3918918918918919,0.11801801801801802,0.06036036036036036
ES,UPPER_k0,3,1.0,1110,0.4423423423423423,0.40540540540540543,0.11801801801801802,0.03423423423423423
ES,UPPER_k0,4,1.0,1110,0.4486486486486487,0.4126126126126126,0.11801801801801802,0.02072072072072072
ES,UPPER_k0,5,1.0,1110,0.45135135135135135,0.41711711711711713,0.11801801801801802,0.013513513513513514
ES,UPPER_k0,10,1.0,1110,0.45855855855855854,0.42162162162162165,0.11801801801801802,0.0018018018018018018
ES,UPPER_k0,15,1.0,1110,0.45855855855855854,0.42342342342342343,0.11801801801801802,0.0
ES,UPPER_k0,20,1.0,1110,0.45855855855855854,0.42342342342342343,0.11801801801801802,0.0
ES,UPPER_k0,30,1.0,1110,0.45855855855855854,0.42342342342342343,0.11801801801801802,0.0
ES,UPPER_k0,60,1.0,1110,0.45855855855855854,0.42342342342342343,0.11801801801801802,0.0
ES,UPPER_k0,120,1.0,1110,0.45855855855855854,0.42342342342342343,0.11801801801801802,0.0
ES,UPPER_k1,1,1.0,1019,0.37389597644749756,0.34445534838076547,0.1099116781157998,0.1717369970559372
ES,UPPER_k1,2,1.0,1019,0.41609421000981356,0.380765456329735,0.11383709519136408,0.08930323846908735
ES,UPPER_k1,3,1.0,1019,0.43768400392541706,0.3994111874386654,0.11579980372914622,0.047105004906771344
ES,UPPER_k1,4,1.0,1019,0.4445534838076546,0.4052993130520118,0.11579980372914622,0.03434739941118744
ES,UPPER_k1,5,1.0,1019,0.4474975466143278,0.40922473012757604,0.11579980372914622,0.02747791952894995
ES,UPPER_k1,10,1.0,1019,0.45436702649656524,0.42198233562315995,0.11579980372914622,0.007850834151128557
ES,UPPER_k1,15,1.0,1019,0.4563297350343474,0.4259077526987242,0.11579980372914622,0.001962708537782139
ES,UPPER_k1,20,1.0,1019,0.4573110893032385,0.4259077526987242,0.11579980372914622,0.0009813542688910696
ES,UPPER_k1,30,1.0,1019,0.4573110893032385,0.4259077526987242,0.11579980372914622,0.0009813542688910696
ES,UPPER_k1,60,1.0,1019,0.45829244357212956,0.4259077526987242,0.11579980372914622,0.0
ES,UPPER_k1,120,1.0,1019,0.45829244357212956,0.4259077526987242,0.11579980372914622,0.0
ES,UPPER_k2,1,1.0,926,0.3617710583153348,0.32721382289416845,0.10151187904967603,0.20950323974082075
ES,UPPER_k2,2,1.0,926,0.41252699784017277,0.3693304535637149,0.10367170626349892,0.11447084233261338
ES,UPPER_k2,3,1.0,926,0.43952483801295894,0.38444924406047515,0.10367170626349892,0.07235421166306695
ES,UPPER_k2,4,1.0,926,0.4503239740820734,0.39956803455723544,0.10367170626349892,0.04643628509719223
ES,UPPER_k2,5,1.0,926,0.4557235421166307,0.4103671706263499,0.10367170626349892,0.03023758099352052
ES,UPPER_k2,10,1.0,926,0.4632829373650108,0.42116630669546434,0.10367170626349892,0.011879049676025918
ES,UPPER_k2,15,1.0,926,0.46760259179265656,0.42332613390928725,0.10367170626349892,0.005399568034557235
ES,UPPER_k2,20,1.0,926,0.4708423326133909,0.4244060475161987,0.10367170626349892,0.0010799136069114472
ES,UPPER_k2,30,1.0,926,0.4708423326133909,0.42548596112311016,0.10367170626349892,0.0
ES,UPPER_k2,60,1.0,926,0.4708423326133909,0.42548596112311016,0.10367170626349892,0.0
ES,UPPER_k2,120,1.0,926,0.4708423326133909,0.42548596112311016,0.10367170626349892,0.0
ES,UPPER_k3,1,1.0,844,0.3590047393364929,0.34834123222748814,0.11018957345971564,0.18246445497630331
ES,UPPER_k3,2,1.0,844,0.3921800947867299,0.3957345971563981,0.11137440758293839,0.10071090047393365
ES,UPPER_k3,3,1.0,844,0.41232227488151657,0.41824644549763035,0.11255924170616113,0.05687203791469194
ES,UPPER_k3,4,1.0,844,0.4194312796208531,0.42417061611374407,0.11255924170616113,0.04383886255924171
ES,UPPER_k3,5,1.0,844,0.4265402843601896,0.43364928909952605,0.11255924170616113,0.027251184834123223
ES,UPPER_k3,10,1.0,844,0.43601895734597157,0.43838862559241704,0.11255924170616113,0.013033175355450236
