instrument,level_id,year,activation_window,horizon,touches,continuation_first_rate,reversal_first_rate,cont_minus_rev_diff,median_signed_close,same_bar_reversal_rate,same_bar_blast_through_rate,mean_annual_effect,sd_annual_effect,n_years_within_1sd,n_years_with_pooled_sign,max_annual_effect,min_annual_effect,is_2020_largest_abs,one_year_gt_35pct_touches
ES,LOWER_k2,2019,1,1,18,0.47058823529411764,0.23529411764705882,0.23529411764705882,0.30738430826340846,0.5,0.5,-0.1705630473533287,0.22995955041905233,4,4,0.23529411764705882,-0.3181818181818182,False,False
ES,LOWER_k2,2020,1,1,23,0.21739130434782608,0.4782608695652174,-0.2608695652173913,-2.137644476126752,0.7391304347826086,0.2608695652173913,-0.1705630473533287,0.22995955041905233,4,4,0.23529411764705882,-0.3181818181818182,False,False
ES,LOWER_k2,2021,1,1,23,0.17391304347826086,0.391304347826087,-0.21739130434782608,-0.26384099559891183,0.7391304347826086,0.2608695652173913,-0.1705630473533287,0.22995955041905233,4,4,0.23529411764705882,-0.3181818181818182,False,False
ES,LOWER_k2,2022,1,1,22,0.18181818181818182,0.5,-0.3181818181818182,-1.6073857617379872,0.5909090909090909,0.4090909090909091,-0.1705630473533287,0.22995955041905233,4,4,0.23529411764705882,-0.3181818181818182,False,False
ES,LOWER_k3,2018,1,1,15,0.06666666666666667,0.5333333333333333,-0.4666666666666667,-1.1118950038621733,0.5333333333333333,0.4666666666666667,-0.21484848484848484,0.1755693872339385,4,5,-0.08333333333333333,-0.4666666666666667,False,False
ES,LOWER_k3,2019,1,1,10,0.3,0.4,-0.1,0.04670167519429924,0.4,0.6,-0.21484848484848484,0.1755693872339385,4,5,-0.08333333333333333,-0.4666666666666667,False,False
ES,LOWER_k3,2020,1,1,11,0.2727272727272727,0.36363636363636365,-0.09090909090909091,-0.01981780704591074,0.8181818181818182,0.18181818181818182,-0.21484848484848484,0.1755693872339385,4,5,-0.08333333333333333,-0.4666666666666667,False,False
ES,LOWER_k3,2021,1,1,12,0.25,0.3333333333333333,-0.08333333333333333,-0.052327017715015245,0.8333333333333334,0.16666666666666666,-0.21484848484848484,0.1755693872339385,4,5,-0.08333333333333333,-0.4666666666666667,False,False
ES,LOWER_k3,2022,1,1,15,0.2,0.5333333333333333,-0.3333333333333333,-1.5947610589528267,0.7333333333333333,0.26666666666666666,-0.21484848484848484,0.1755693872339385,4,5,-0.08333333333333333,-0.4666666666666667,False,False
ES,UPPER_k0,2018,1,1,105,0.3557692307692308,0.3557692307692308,0.0,0.03749999999990905,0.47572815533980584,0.5242718446601942,-0.0032571809549358315,0.06040126018113906,3,2,0.0782608695652174,-0.06542056074766354,False,False
ES,UPPER_k0,2019,1,1,103,0.36893203883495146,0.42718446601941745,-0.05825242718446602,-0.25,0.5643564356435643,0.43564356435643564,-0.0032571809549358315,0.06040126018113906,3,2,0.0782608695652174,-0.06542056074766354,False,False
ES,UPPER_k0,2020,1,1,112,0.35514018691588783,0.4205607476635514,-0.06542056074766354,-0.4499999999998181,0.5535714285714286,0.44642857142857145,-0.0032571809549358315,0.06040126018113906,3,2,0.0782608695652174,-0.06542056074766354,False,False
ES,UPPER_k0,2021,1,1,104,0.4368932038834951,0.4077669902912621,0.02912621359223301,0.4750000000003638,0.46153846153846156,0.5384615384615384,-0.0032571809549358315,0.06040126018113906,3,2,0.0782608695652174,-0.06542056074766354,False,False
ES,UPPER_k0,2022,1,1,115,0.45217391304347826,0.3739130434782609,0.0782608695652174,-0.0749999999998181,0.48672566371681414,0.5132743362831859,-0.0032571809549358315,0.06040126018113906,3,2,0.0782608695652174,-0.06542056074766354,False,False
ES,UPPER_k1,2018,1,1,55,0.2962962962962963,0.42592592592592593,-0.12962962962962962,0.061980412563343634,0.6,0.4,0.01397306397306397,0.12818624464908548,3,1,0.2222222222222222,-0.12962962962962962,False,False
ES,UPPER_k1,2019,1,1,46,0.43478260869565216,0.43478260869565216,0.0,0.09202468045759815,0.45652173913043476,0.5434782608695652,0.01397306397306397,0.12818624464908548,3,1,0.2222222222222222,-0.12962962962962962,False,False
ES,UPPER_k1,2020,1,1,46,0.36363636363636365,0.38636363636363635,-0.022727272727272728,-0.1220517242495589,0.5217391304347826,0.4782608695652174,0.01397306397306397,0.12818624464908548,3,1,0.2222222222222222,-0.12962962962962962,False,False
ES,UPPER_k1,2021,1,1,44,0.36363636363636365,0.36363636363636365,0.0,-0.17087319446272886,0.4318181818181818,0.5681818181818182,0.01397306397306397,0.12818624464908548,3,1,0.2222222222222222,-0.12962962962962962,False,False
ES,UPPER_k1,2022,1,1,45,0.4222222222222222,0.2,0.2222222222222222,0.25384090591524,0.4666666666666667,0.5333333333333333,0.01397306397306397,0.12818624464908548,3,1,0.2222222222222222,-0.12962962962962962,False,False
ES,UPPER_k2,2018,1,1,24,0.17391304347826086,0.391304347826087,-0.21739130434782608,0.24524909563569963,0.625,0.375,0.012836438923395444,0.13946677525759263,4,3,0.14285714285714285,-0.21739130434782608,False,False
ES,UPPER_k2,2019,1,1,21,0.47619047619047616,0.38095238095238093,0.09523809523809523,0.07902132961908137,0.6666666666666666,0.3333333333333333,0.012836438923395444,0.13946677525759263,4,3,0.14285714285714285,-0.21739130434782608,False,False
ES,UPPER_k2,2020,1,1,23,0.47619047619047616,0.3333333333333333,0.14285714285714285,0.1598901285769898,0.43478260869565216,0.5652173913043478,0.012836438923395444,0.13946677525759263,4,3,0.14285714285714285,-0.21739130434782608,False,False
