instrument,level_id,activation_window,n_touch_in_A,n_nonneutral_samebar,same_bar_reversal_rate,same_bar_blast_through_rate,same_bar_rev_minus_blast_diff,p_raw,q_value
NQ,LOWER_k2,60,865,865,0.5329479768786127,0.46705202312138727,0.06589595375722543,0.05683999158980371,0.13624009959134464
NQ,LOWER_k2,120,923,923,0.5308775731310943,0.46912242686890576,0.06175514626218852,0.0652324421659094,0.14351137276500067
NQ,LOWER_k3,1,47,47,0.7021276595744681,0.2978723404255319,0.40425531914893614,0.007942726509483574,0.048463770286648465
NQ,LOWER_k3,2,107,107,0.5794392523364486,0.4205607476635514,0.1588785046728972,0.12151242187624432,0.21019911144844242
NQ,LOWER_k3,3,196,196,0.5663265306122449,0.4336734693877551,0.1326530612244898,0.07387580201820082,0.15750309745730923
NQ,LOWER_k3,4,251,251,0.5577689243027888,0.44223107569721115,0.11553784860557768,0.07696174080300337,0.15750309745730923
NQ,LOWER_k3,5,302,302,0.5364238410596026,0.46357615894039733,0.0728476821192053,0.22682940521543252,0.332683127649301
NQ,LOWER_k3,10,461,461,0.5227765726681128,0.4772234273318872,0.0455531453362256,0.3516104501312428,0.44418381224998976
NQ,LOWER_k3,15,520,520,0.5269230769230769,0.47307692307692306,0.05384615384615385,0.2363718150154303,0.3409954052681618
NQ,LOWER_k3,20,579,579,0.5164075993091537,0.4835924006908463,0.03281519861830743,0.4544560644697024,0.5332284489777841
NQ,LOWER_k3,30,651,651,0.511520737327189,0.48847926267281105,0.02304147465437788,0.5832429117646144,0.6038279557092479
NQ,LOWER_k3,60,765,765,0.515032679738562,0.4849673202614379,0.030065359477124184,0.4263926706536688,0.5070615542908494
NQ,LOWER_k3,120,844,844,0.5023696682464455,0.4976303317535545,0.004739336492890996,0.9177612607175345,0.9177612607175345
NQ,UPPER_k0,1,560,559,0.44821428571428573,0.55,-0.10178571428571428,0.017779387767041327,0.07141658896708657
NQ,UPPER_k0,2,732,731,0.4453551912568306,0.5532786885245902,-0.10792349726775956,0.0038849901380981584,0.048463770286648465
NQ,UPPER_k0,3,816,815,0.45098039215686275,0.5477941176470589,-0.09681372549019608,0.0062563823114630285,0.048463770286648465
NQ,UPPER_k0,4,849,848,0.4464075382803298,0.552414605418139,-0.10600706713780919,0.002222347370814084,0.03911331372632788
NQ,UPPER_k0,5,874,873,0.45194508009153317,0.5469107551487414,-0.09496567505720824,0.005485296093242599,0.048463770286648465
NQ,UPPER_k0,10,968,967,0.45661157024793386,0.5423553719008265,-0.08574380165289257,0.008332320536307166,0.048463770286648465
NQ,UPPER_k0,15,1000,999,0.456,0.543,-0.087,0.006481420899354362,0.048463770286648465
NQ,UPPER_k0,20,1025,1024,0.46146341463414636,0.5375609756097561,-0.07609756097560975,0.016075814325758313,0.07073358303333657
NQ,UPPER_k0,30,1056,1055,0.4630681818181818,0.5359848484848485,-0.07291666666666667,0.019248918080990392,0.07141658896708657
NQ,UPPER_k0,60,1094,1093,0.463436928702011,0.5356489945155393,-0.07221206581352833,0.018268525523319326,0.07141658896708657
NQ,UPPER_k0,120,1130,1129,0.46283185840707963,0.536283185840708,-0.07345132743362832,0.01463338863001426,0.06777569470743447
NQ,UPPER_k1,1,228,228,0.4780701754385965,0.5219298245614035,-0.043859649122807015,0.5512435649994097,0.5915784599993665
NQ,UPPER_k1,2,429,429,0.44988344988344986,0.5501165501165501,-0.10023310023310024,0.04245744957999602,0.12454185210132165
NQ,UPPER_k1,3,534,534,0.4419475655430712,0.5580524344569289,-0.11610486891385768,0.008236992466711873,0.048463770286648465
NQ,UPPER_k1,4,596,596,0.4513422818791946,0.5486577181208053,-0.09731543624161074,0.019477251536478155,0.07141658896708657
NQ,UPPER_k1,5,632,632,0.4572784810126582,0.5427215189873418,-0.08544303797468354,0.034928496518059966,0.10598992046859576
NQ,UPPER_k1,10,753,753,0.46879150066401065,0.5312084993359893,-0.06241699867197875,0.09360719116705676,0.17907462658045642
NQ,UPPER_k1,15,809,809,0.4721878862793572,0.5278121137206427,-0.05562422744128554,0.12181993958943822,0.21019911144844242
NQ,UPPER_k1,20,850,850,0.4764705882352941,0.5235294117647059,-0.047058823529411764,0.18096412500385234,0.2842501468507847
NQ,UPPER_k1,30,892,892,0.4786995515695067,0.5213004484304933,-0.042600896860986545,0.21537757076915007,0.3212411225031391
NQ,UPPER_k1,60,967,967,0.483971044467425,0.516028955532575,-0.03205791106514995,0.3346805222891352,0.43311597002123375
NQ,UPPER_k1,120,1031,1031,0.48884578079534435,0.5111542192046556,-0.02230843840931135,0.4932602089617956,0.5637259530991949
NQ,UPPER_k2,1,94,94,0.44680851063829785,0.5531914893617021,-0.10638297872340426,0.3533280324715828,0.44418381224998976
NQ,UPPER_k2,2,236,236,0.4364406779661017,0.5635593220338984,-0.1271186440677966,0.05883095209626246,0.13624009959134464
NQ,UPPER_k2,3,336,336,0.45535714285714285,0.5446428571428571,-0.08928571428571429,0.11349676453500417,0.20383092406286463
NQ,UPPER_k2,4,397,397,0.45843828715365237,0.5415617128463476,-0.08312342569269521,0.10814945441744407,0.19827399976531412
NQ,UPPER_k2,5,430,430,0.4720930232558139,0.5279069767441861,-0.05581395348837209,0.2673407235246267,0.3734283122248753
NQ,UPPER_k2,10,590,590,0.47796610169491527,0.5220338983050847,-0.04406779661016949,0.30336596001023025,0.4107108381676964
NQ,UPPER_k2,15,658,658,0.47416413373860183,0.5258358662613982,-0.05167173252279635,0.1982405601903239,0.3007787809784225
NQ,UPPER_k2,20,709,709,0.4809590973201692,0.5190409026798307,-0.0380818053596615,0.3288440204624751,0.43191453433877325
NQ,UPPER_k2,30,751,751,0.48868175765645805,0.511318242343542,-0.022636484687083888,0.559351201458397,0.593047056967939
NQ,UPPER_k2,60,843,843,0.4887307236061684,0.5112692763938316,-0.022538552787663108,0.5353136872848457,0.5868546524235257
NQ,UPPER_k2,120,923,923,0.49512459371614304,0.504875406283857,-0.009750812567713976,0.7923185545544904,0.8014256643769558
NQ,UPPER_k3,1,40,40,0.55,0.45,0.1,0.6358280026288412,0.6506147003643956
NQ,UPPER_k3,2,123,123,0.5447154471544715,0.45528455284552843,0.08943089430894309,0.36729673939388774,0.4552410291079172
NQ,UPPER_k3,3,206,206,0.5242718446601942,0.47572815533980584,0.04854368932038835,0.5307221711313294,0.5868546524235257
NQ,UPPER_k3,4,266,266,0.5375939849624061,0.462406015037594,0.07518796992481203,0.24398110770721304,0.34629576577797977
NQ,UPPER_k3,5,300,300,0.54,0.46,0.08,0.18411657239198556,0.2842501468507847
NQ,UPPER_k3,10,448,448,0.5178571428571429,0.48214285714285715,0.03571428571428571,0.47856197150729307,0.5541243880610761
NQ,UPPER_k3,15,518,518,0.5135135135135135,0.4864864864864865,0.02702702702702703,0.5679148874454668,0.5949584535142985
NQ,UPPER_k3,20,586,586,0.5187713310580204,0.4812286689419795,0.03754266211604096,0.38568389375879497,0.4713914257051938
NQ,UPPER_k3,30,637,637,0.521193092621664,0.478806907378336,0.0423861852433281,0.3029323268669778,0.4107108381676964
NQ,UPPER_k3,60,741,741,0.5155195681511471,0.4844804318488529,0.0310391363022942,0.4189993466560731,0.5050951028182799
NQ,UPPER_k3,120,838,838,0.5178997613365155,0.4821002386634845,0.03579952267303103,0.3164457143364048,0.4219276191152064
