instrument,level_id,year,n_continuation_state,n_reversal_state,continuation_rate_given_continuation_state,continuation_rate_given_reversal_state,diff
NQ,LOWER_k1,2021,56,42,0.5178571428571429,0.6190476190476191,-0.10119047619047616
NQ,LOWER_k1,2022,85,41,0.5058823529411764,0.6585365853658537,-0.15265423242467724
NQ,LOWER_k2,2018,29,60,0.5172413793103449,0.48333333333333334,0.033908045977011525
NQ,LOWER_k2,2019,34,48,0.4411764705882353,0.5416666666666666,-0.10049019607843135
NQ,LOWER_k2,2020,64,37,0.59375,0.5675675675675675,0.026182432432432456
NQ,LOWER_k2,2021,42,50,0.40476190476190477,0.52,-0.11523809523809525
NQ,LOWER_k2,2022,36,73,0.5,0.5205479452054794,-0.020547945205479423
NQ,LOWER_k3,2018,32,38,0.46875,0.47368421052631576,-0.004934210526315763
NQ,LOWER_k3,2019,14,58,0.42857142857142855,0.3620689655172414,0.06650246305418717
NQ,LOWER_k3,2020,41,39,0.6341463414634146,0.5384615384615384,0.0956848030018762
NQ,LOWER_k3,2021,70,16,0.4714285714285714,0.6875,-0.21607142857142858
NQ,LOWER_k3,2022,42,61,0.47619047619047616,0.4918032786885246,-0.015612802498048417
NQ,UPPER_k0,2018,80,46,0.5125,0.5,0.012499999999999956
NQ,UPPER_k0,2019,92,28,0.5543478260869565,0.7142857142857143,-0.15993788819875776
NQ,UPPER_k0,2020,93,42,0.5806451612903226,0.5476190476190477,0.03302611367127495
NQ,UPPER_k0,2021,84,63,0.5357142857142857,0.5873015873015873,-0.051587301587301626
NQ,UPPER_k0,2022,82,53,0.4634146341463415,0.6226415094339622,-0.15922687528762075
NQ,UPPER_k1,2018,65,35,0.5846153846153846,0.6285714285714286,-0.04395604395604391
NQ,UPPER_k1,2019,60,52,0.5333333333333333,0.5576923076923077,-0.024358974358974383
NQ,UPPER_k1,2020,76,44,0.5131578947368421,0.4772727272727273,0.03588516746411485
NQ,UPPER_k1,2021,61,46,0.4426229508196721,0.6304347826086957,-0.18781183178902355
NQ,UPPER_k1,2022,77,44,0.5714285714285714,0.5909090909090909,-0.019480519480519543
NQ,UPPER_k2,2018,50,40,0.54,0.575,-0.03499999999999992
NQ,UPPER_k2,2019,36,63,0.5555555555555556,0.5079365079365079,0.04761904761904767
NQ,UPPER_k2,2020,39,45,0.46153846153846156,0.5555555555555556,-0.09401709401709402
NQ,UPPER_k2,2021,80,29,0.5875,0.5862068965517241,0.001293103448275934
NQ,UPPER_k2,2022,83,27,0.6144578313253012,0.5555555555555556,0.058902275769745605
NQ,UPPER_k3,2018,61,15,0.4918032786885246,0.6666666666666666,-0.17486338797814205
NQ,UPPER_k3,2019,39,33,0.48717948717948717,0.5454545454545454,-0.058275058275058245
NQ,UPPER_k3,2020,37,50,0.4864864864864865,0.46,0.026486486486486494
NQ,UPPER_k3,2021,69,23,0.5507246376811594,0.6086956521739131,-0.05797101449275366
NQ,UPPER_k3,2022,32,57,0.375,0.5263157894736842,-0.15131578947368418
