instrument,level_id,horizon,b,n_continuation_first,n_reversal_first,n_same_bar_tie,n_neither,n_nontied,continuation_first_rate,reversal_first_rate,same_bar_tie_rate,neither_rate,cont_minus_rev_diff,p_raw,q_value
ES,ON_VWAP_p2,30,0.5,337,284,10,13,621,0.5232919254658385,0.4409937888198758,0.015527950310559006,0.020186335403726708,0.0822981366459627,0.036831283209378035,0.39593629450081386
ES,ON_VWAP_p2,60,0.5,344,286,10,4,630,0.5341614906832298,0.4440993788819876,0.015527950310559006,0.006211180124223602,0.09006211180124224,0.023075253365184668,0.32390243299295624
ES,ON_VWAP_p2,120,0.5,348,286,10,0,634,0.5403726708074534,0.4440993788819876,0.015527950310559006,0.0,0.09627329192546585,0.015343219665658304,0.3205634400324904
ES,ON_VWAP_p3,30,0.5,215,200,5,14,415,0.49539170506912444,0.4608294930875576,0.01152073732718894,0.03225806451612903,0.03456221198156684,0.49198211962246546,0.8383400423574233
ES,ON_VWAP_p3,60,0.5,219,206,5,4,425,0.5046082949308756,0.47465437788018433,0.01152073732718894,0.009216589861751152,0.029953917050691226,0.5605601847042239,0.8611979555031061
ES,ON_VWAP_p3,120,0.5,221,207,5,1,428,0.5092165898617511,0.4769585253456221,0.01152073732718894,0.002304147465437788,0.032258064516129004,0.5298046398005909,0.8611979555031061
ES,PR_VWAP_0,30,0.5,195,225,1,40,420,0.4229934924078091,0.4880694143167028,0.0021691973969631237,0.08676789587852494,-0.06507592190889372,0.15696993652474395,0.7108350783326556
ES,PR_VWAP_0,60,0.5,214,237,1,9,451,0.4642082429501085,0.5140997830802603,0.0021691973969631237,0.019522776572668113,-0.04989154013015179,0.30022406527053647,0.7873966927435786
ES,PR_VWAP_0,120,0.5,216,242,1,2,458,0.4685466377440347,0.5249457700650759,0.0021691973969631237,0.004338394793926247,-0.05639913232104121,0.24270582247232114,0.7873966927435786
ES,PR_VWAP_m1,30,0.5,176,221,1,20,397,0.42105263157894735,0.5287081339712919,0.0023923444976076554,0.04784688995215311,-0.10765550239234456,0.027098179104788483,0.37049994619779775
ES,PR_VWAP_m1,60,0.5,183,233,1,1,416,0.43779904306220097,0.5574162679425837,0.0023923444976076554,0.0023923444976076554,-0.11961722488038273,0.01618443186608202,0.3114244495645319
ES,PR_VWAP_m1,120,0.5,184,233,1,0,417,0.44019138755980863,0.5574162679425837,0.0023923444976076554,0.0,-0.11722488038277507,0.018637409304214557,0.3205634400324904
ES,PR_VWAP_m2,30,0.5,151,147,2,15,298,0.4793650793650794,0.4666666666666667,0.006349206349206349,0.047619047619047616,0.012698412698412709,0.8620713949182119,0.9595303560494989
ES,PR_VWAP_m2,60,0.5,156,152,2,5,308,0.49523809523809526,0.48253968253968255,0.006349206349206349,0.015873015873015872,0.012698412698412709,0.8643057375065969,0.9595303560494989
ES,PR_VWAP_m2,120,0.5,158,153,2,2,311,0.5015873015873016,0.4857142857142857,0.006349206349206349,0.006349206349206349,0.015873015873015872,0.8206093886264664,0.9431050490999311
ES,PR_VWAP_m3,30,0.5,97,128,6,5,225,0.4110169491525424,0.5423728813559322,0.025423728813559324,0.0211864406779661,-0.1313559322033898,0.04525963544735363,0.4324809609413791
ES,PR_VWAP_m3,60,0.5,99,130,6,1,229,0.4194915254237288,0.5508474576271186,0.025423728813559324,0.00423728813559322,-0.1313559322033898,0.047191245918051426,0.4509385721058248
ES,PR_VWAP_m3,120,0.5,100,130,6,0,230,0.423728813559322,0.5508474576271186,0.025423728813559324,0.0,-0.1271186440677966,0.05561357778139238,0.4794058011158742
ES,PR_VWAP_p1,30,0.5,186,232,2,38,418,0.40611353711790393,0.5065502183406113,0.004366812227074236,0.08296943231441048,-0.10043668122270738,0.02761483623515875,0.37049994619779775
ES,PR_VWAP_p1,60,0.5,195,249,2,12,444,0.425764192139738,0.5436681222707423,0.004366812227074236,0.026200873362445413,-0.11790393013100436,0.011809185382837225,0.3114244495645319
ES,PR_VWAP_p1,120,0.5,203,251,2,2,454,0.4432314410480349,0.5480349344978166,0.004366812227074236,0.004366812227074236,-0.10480349344978168,0.02728684225950854,0.32418745292307305
ES,PR_VWAP_p2,30,0.5,168,180,4,29,348,0.4409448818897638,0.47244094488188976,0.010498687664041995,0.07611548556430446,-0.031496062992125984,0.5554795095863103,0.8383400423574233
ES,PR_VWAP_p2,60,0.5,178,189,4,10,367,0.4671916010498688,0.49606299212598426,0.010498687664041995,0.026246719160104987,-0.02887139107611547,0.6017336584279643,0.8611979555031061
ES,PR_VWAP_p2,120,0.5,180,191,4,6,371,0.47244094488188976,0.5013123359580053,0.010498687664041995,0.015748031496062992,-0.028871391076115527,0.6036990349040448,0.8611979555031061
ES,PR_VWAP_p3,30,0.5,133,146,0,30,279,0.43042071197411,0.47249190938511326,0.0,0.0970873786407767,-0.042071197411003236,0.47256230516968195,0.8383400423574233
ES,PR_VWAP_p3,60,0.5,147,152,0,10,299,0.47572815533980584,0.4919093851132686,0.0,0.032362459546925564,-0.016181229773462757,0.8171092142290033,0.9431050490999311
ES,PR_VWAP_p3,120,0.5,152,154,0,3,306,0.4919093851132686,0.49838187702265374,0.0,0.009708737864077669,-0.006472491909385147,0.9544252250129452,0.9815215506091112
ES,lower_N10_ema_k0,30,0.5,371,354,359,0,725,0.3422509225092251,0.32656826568265684,0.3311808118081181,0.0,0.015682656826568275,0.5523912196687523,0.8383400423574233
ES,lower_N10_ema_k0,60,0.5,371,354,359,0,725,0.3422509225092251,0.32656826568265684,0.3311808118081181,0.0,0.015682656826568275,0.5523912196687523,0.8611979555031061
ES,lower_N10_ema_k0,120,0.5,371,354,359,0,725,0.3422509225092251,0.32656826568265684,0.3311808118081181,0.0,0.015682656826568275,0.5523912196687523,0.8611979555031061
ES,lower_N10_ema_k1,30,0.5,337,323,343,0,660,0.33599202392821537,0.3220338983050847,0.3419740777666999,0.0,0.013958125623130646,0.6128730483073933,0.8475281466855965
ES,lower_N10_ema_k1,60,0.5,337,323,343,0,660,0.33599202392821537,0.3220338983050847,0.3419740777666999,0.0,0.013958125623130646,0.6128730483073933,0.8611979555031061
ES,lower_N10_ema_k1,120,0.5,337,323,343,0,660,0.33599202392821537,0.3220338983050847,0.3419740777666999,0.0,0.013958125623130646,0.6128730483073933,0.8611979555031061
ES,lower_N10_ema_k2,30,0.5,298,322,300,0,620,0.3239130434782609,0.35,0.32608695652173914,0.0,-0.02608695652173909,0.3556510041787861,0.7873966927435786
ES,lower_N10_ema_k2,60,0.5,298,322,300,0,620,0.3239130434782609,0.35,0.32608695652173914,0.0,-0.02608695652173909,0.3556510041787861,0.7873966927435786
ES,lower_N10_ema_k2,120,0.5,298,322,300,0,620,0.3239130434782609,0.35,0.32608695652173914,0.0,-0.02608695652173909,0.3556510041787861,0.7873966927435786
ES,lower_N10_ema_k3,30,0.5,277,286,293,0,563,0.3235981308411215,0.3341121495327103,0.3422897196261682,0.0,-0.0105140186915888,0.7360298776502426,0.8895082134755111
ES,lower_N10_ema_k3,60,0.5,277,286,293,0,563,0.3235981308411215,0.3341121495327103,0.3422897196261682,0.0,-0.0105140186915888,0.7360298776502426,0.9018624942182265
ES,lower_N10_ema_k3,120,0.5,277,286,293,0,563,0.3235981308411215,0.3341121495327103,0.3422897196261682,0.0,-0.0105140186915888,0.7360298776502426,0.9018624942182265
ES,lower_N10_mean_k0,30,0.5,364,367,355,0,731,0.3351749539594843,0.3379373848987109,0.3268876611418048,0.0,-0.002762430939226568,0.9410388165378605,0.975383169467404
ES,lower_N10_mean_k0,60,0.5,364,367,355,0,731,0.3351749539594843,0.3379373848987109,0.3268876611418048,0.0,-0.002762430939226568,0.9410388165378605,0.975383169467404
ES,lower_N10_mean_k0,120,0.5,364,367,355,0,731,0.3351749539594843,0.3379373848987109,0.3268876611418048,0.0,-0.002762430939226568,0.9410388165378605,0.9815215506091112
ES,lower_N10_mean_k1,30,0.5,347,333,326,0,680,0.34493041749502984,0.33101391650099404,0.3240556660039761,0.0,0.013916500994035796,0.6181449160148029,0.8475281466855965
ES,lower_N10_mean_k1,60,0.5,347,333,326,0,680,0.34493041749502984,0.33101391650099404,0.3240556660039761,0.0,0.013916500994035796,0.6181449160148029,0.8611979555031061
ES,lower_N10_mean_k1,120,0.5,347,333,326,0,680,0.34493041749502984,0.33101391650099404,0.3240556660039761,0.0,0.013916500994035796,0.6181449160148029,0.8611979555031061
ES,lower_N10_mean_k2,30,0.5,294,324,305,0,618,0.31852654387865653,0.35102925243770317,0.3304442036836403,0.0,-0.032502708559046634,0.24336888622703956,0.7873966927435786
ES,lower_N10_mean_k2,60,0.5,294,324,305,0,618,0.31852654387865653,0.35102925243770317,0.3304442036836403,0.0,-0.032502708559046634,0.24336888622703956,0.7873966927435786
ES,lower_N10_mean_k2,120,0.5,294,324,305,0,618,0.31852654387865653,0.35102925243770317,0.3304442036836403,0.0,-0.032502708559046634,0.24336888622703956,0.7873966927435786
ES,lower_N10_mean_k3,30,0.5,261,303,290,0,564,0.30562060889929743,0.3548009367681499,0.3395784543325527,0.0,-0.04918032786885246,0.08418255065406068,0.5970986789379226
ES,lower_N10_mean_k3,60,0.5,261,303,290,0,564,0.30562060889929743,0.3548009367681499,0.3395784543325527,0.0,-0.04918032786885246,0.08418255065406068,0.5970986789379226
ES,lower_N10_mean_k3,120,0.5,261,303,290,0,564,0.30562060889929743,0.3548009367681499,0.3395784543325527,0.0,-0.04918032786885246,0.08418255065406068,0.5970986789379226
ES,lower_N10_median_k0,30,0.5,361,388,355,0,749,0.3269927536231884,0.35144927536231885,0.32155797101449274,0.0,-0.024456521739130432,0.34210776477407534,0.7873966927435786
ES,lower_N10_median_k0,60,0.5,361,388,355,0,749,0.3269927536231884,0.35144927536231885,0.32155797101449274,0.0,-0.024456521739130432,0.34210776477407534,0.7873966927435786
ES,lower_N10_median_k0,120,0.5,361,388,355,0,749,0.3269927536231884,0.35144927536231885,0.32155797101449274,0.0,-0.024456521739130432,0.34210776477407534,0.7873966927435786
ES,lower_N10_median_k1,30,0.5,356,333,331,0,689,0.34901960784313724,0.3264705882352941,0.32450980392156864,0.0,0.022549019607843113,0.40197292524567024,0.8383400423574233
ES,lower_N10_median_k1,60,0.5,356,333,331,0,689,0.34901960784313724,0.3264705882352941,0.32450980392156864,0.0,0.022549019607843113,0.40197292524567024,0.8431627212470156
ES,lower_N10_median_k1,120,0.5,356,333,331,0,689,0.34901960784313724,0.3264705882352941,0.32450980392156864,0.0,0.022549019607843113,0.40197292524567024,0.8431627212470156
ES,lower_N10_median_k2,30,0.5,283,338,321,0,621,0.30042462845010615,0.35881104033970274,0.34076433121019106,0.0,-0.05838641188959659,0.03015697236493703,0.37049994619779775
ES,lower_N10_median_k2,60,0.5,283,338,321,0,621,0.30042462845010615,0.35881104033970274,0.34076433121019106,0.0,-0.05838641188959659,0.03015697236493703,0.32418745292307305
ES,lower_N10_median_k2,120,0.5,283,338,321,0,621,0.30042462845010615,0.35881104033970274,0.34076433121019106,0.0,-0.05838641188959659,0.03015697236493703,0.32418745292307305
ES,lower_N10_median_k3,30,0.5,290,304,275,0,594,0.333716915995397,0.34982738780207134,0.31645569620253167,0.0,-0.016110471806674354,0.593796349618816,0.8475281466855965
ES,lower_N10_median_k3,60,0.5,290,304,275,0,594,0.333716915995397,0.34982738780207134,0.31645569620253167,0.0,-0.016110471806674354,0.593796349618816,0.8611979555031061
ES,lower_N10_median_k3,120,0.5,290,304,275,0,594,0.333716915995397,0.34982738780207134,0.31645569620253167,0.0,-0.016110471806674354,0.593796349618816,0.8611979555031061
ES,lower_N20_ema_k0,30,0.5,361,374,342,0,735,0.33519034354688954,0.34726090993500464,0.31754874651810583,0.0,-0.0120705663881151,0.658065056463771,0.8684143656307223
ES,lower_N20_ema_k0,60,0.5,361,374,342,0,735,0.33519034354688954,0.34726090993500464,0.31754874651810583,0.0,-0.0120705663881151,0.658065056463771,0.8817745866404257
ES,lower_N20_ema_k0,120,0.5,361,374,342,0,735,0.33519034354688954,0.34726090993500464,0.31754874651810583,0.0,-0.0120705663881151,0.658065056463771,0.8817745866404257
ES,lower_N20_ema_k1,30,0.5,351,345,294,0,696,0.35454545454545455,0.3484848484848485,0.296969696969697,0.0,0.006060606060606044,0.8496989275554062,0.9595303560494989
ES,lower_N20_ema_k1,60,0.5,351,345,294,0,696,0.35454545454545455,0.3484848484848485,0.296969696969697,0.0,0.006060606060606044,0.8496989275554062,0.9595303560494989
ES,lower_N20_ema_k1,120,0.5,351,345,294,0,696,0.35454545454545455,0.3484848484848485,0.296969696969697,0.0,0.006060606060606044,0.8496989275554062,0.9615014180232229
ES,lower_N20_ema_k2,30,0.5,275,335,287,0,610,0.30657748049052397,0.3734671125975474,0.31995540691192864,0.0,-0.06688963210702342,0.01683090616533571,0.37049994619779775
ES,lower_N20_ema_k2,60,0.5,275,335,287,0,610,0.30657748049052397,0.3734671125975474,0.31995540691192864,0.0,-0.06688963210702342,0.01683090616533571,0.3114244495645319
ES,lower_N20_ema_k2,120,0.5,275,335,287,0,610,0.30657748049052397,0.3734671125975474,0.31995540691192864,0.0,-0.06688963210702342,0.01683090616533571,0.3205634400324904
ES,lower_N20_ema_k3,30,0.5,285,283,262,0,568,0.3433734939759036,0.3409638554216867,0.3156626506024096,0.0,0.0024096385542168863,0.9665362395271173,0.9815215506091112
ES,lower_N20_ema_k3,60,0.5,285,283,262,0,568,0.3433734939759036,0.3409638554216867,0.3156626506024096,0.0,0.0024096385542168863,0.9665362395271173,0.9815215506091112
ES,lower_N20_ema_k3,120,0.5,285,283,262,0,568,0.3433734939759036,0.3409638554216867,0.3156626506024096,0.0,0.0024096385542168863,0.9665362395271173,0.9815215506091112
ES,lower_N20_mean_k0,30,0.5,363,383,333,0,746,0.33642261353104724,0.35495829471733087,0.3086190917516219,0.0,-0.018535681186283626,0.4866798865440716,0.8383400423574233
ES,lower_N20_mean_k0,60,0.5,363,383,333,0,746,0.33642261353104724,0.35495829471733087,0.3086190917516219,0.0,-0.018535681186283626,0.4866798865440716,0.8611979555031061
ES,lower_N20_mean_k0,120,0.5,363,383,333,0,746,0.33642261353104724,0.35495829471733087,0.3086190917516219,0.0,-0.018535681186283626,0.4866798865440716,0.8611979555031061
ES,lower_N20_mean_k1,30,0.5,356,330,298,0,686,0.3617886178861789,0.3353658536585366,0.30284552845528456,0.0,0.02642276422764228,0.3398336964723189,0.7873966927435786
ES,lower_N20_mean_k1,60,0.5,356,330,298,0,686,0.3617886178861789,0.3353658536585366,0.30284552845528456,0.0,0.02642276422764228,0.3398336964723189,0.7873966927435786
ES,lower_N20_mean_k1,120,0.5,356,330,298,0,686,0.3617886178861789,0.3353658536585366,0.30284552845528456,0.0,0.02642276422764228,0.3398336964723189,0.7873966927435786
ES,lower_N20_mean_k2,30,0.5,279,335,287,0,614,0.30965593784683687,0.37180910099889014,0.31853496115427304,0.0,-0.06215316315205327,0.026364151522682486,0.37049994619779775
ES,lower_N20_mean_k2,60,0.5,279,335,287,0,614,0.30965593784683687,0.37180910099889014,0.31853496115427304,0.0,-0.06215316315205327,0.026364151522682486,0.32390243299295624
ES,lower_N20_mean_k2,120,0.5,279,335,287,0,614,0.30965593784683687,0.37180910099889014,0.31853496115427304,0.0,-0.06215316315205327,0.026364151522682486,0.32418745292307305
ES,lower_N20_mean_k3,30,0.5,284,287,258,0,571,0.3425814234016888,0.34620024125452353,0.3112183353437877,0.0,-0.0036188178528347437,0.9333066966391929,0.975383169467404
ES,lower_N20_mean_k3,60,0.5,284,287,258,0,571,0.3425814234016888,0.34620024125452353,0.3112183353437877,0.0,-0.0036188178528347437,0.9333066966391929,0.975383169467404
ES,lower_N20_mean_k3,120,0.5,284,287,258,0,571,0.3425814234016888,0.34620024125452353,0.3112183353437877,0.0,-0.0036188178528347437,0.9333066966391929,0.9815215506091112
ES,lower_N20_median_k0,30,0.5,359,390,355,0,749,0.32518115942028986,0.3532608695652174,0.32155797101449274,0.0,-0.02807971014492755,0.2729910248665106,0.7873966927435786
ES,lower_N20_median_k0,60,0.5,359,390,355,0,749,0.32518115942028986,0.3532608695652174,0.32155797101449274,0.0,-0.02807971014492755,0.2729910248665106,0.7873966927435786
ES,lower_N20_median_k0,120,0.5,359,390,355,0,749,0.32518115942028986,0.3532608695652174,0.32155797101449274,0.0,-0.02807971014492755,0.2729910248665106,0.7873966927435786
ES,lower_N20_median_k1,30,0.5,351,356,303,0,707,0.3475247524752475,0.35247524752475246,0.3,0.0,-0.004950495049504955,0.880434748854221,0.9595303560494989
ES,lower_N20_median_k1,60,0.5,351,356,303,0,707,0.3475247524752475,0.35247524752475246,0.3,0.0,-0.004950495049504955,0.880434748854221,0.9595303560494989
ES,lower_N20_median_k1,120,0.5,351,356,303,0,707,0.3475247524752475,0.35247524752475246,0.3,0.0,-0.004950495049504955,0.880434748854221,0.9718320272809027
ES,lower_N20_median_k2,30,0.5,288,306,318,0,594,0.3157894736842105,0.3355263157894737,0.34868421052631576,0.0,-0.019736842105263164,0.4855099817168703,0.8383400423574233
ES,lower_N20_median_k2,60,0.5,288,306,318,0,594,0.3157894736842105,0.3355263157894737,0.34868421052631576,0.0,-0.019736842105263164,0.4855099817168703,0.8611979555031061
ES,lower_N20_median_k2,120,0.5,288,306,318,0,594,0.3157894736842105,0.3355263157894737,0.34868421052631576,0.0,-0.019736842105263164,0.4855099817168703,0.8611979555031061
ES,lower_N20_median_k3,30,0.5,292,282,268,0,574,0.34679334916864607,0.334916864608076,0.3182897862232779,0.0,0.011876484560570055,0.7072100057373899,0.8895082134755111
ES,lower_N20_median_k3,60,0.5,292,282,268,0,574,0.34679334916864607,0.334916864608076,0.3182897862232779,0.0,0.011876484560570055,0.7072100057373899,0.9018624942182265
ES,lower_N20_median_k3,120,0.5,292,282,268,0,574,0.34679334916864607,0.334916864608076,0.3182897862232779,0.0,0.011876484560570055,0.7072100057373899,0.9018624942182265
ES,lower_N5_ema_k0,30,0.5,355,357,378,0,712,0.3256880733944954,0.3275229357798165,0.3467889908256881,0.0,-0.001834862385321101,0.9701085093229588,0.9815215506091112
ES,lower_N5_ema_k0,60,0.5,355,357,378,0,712,0.3256880733944954,0.3275229357798165,0.3467889908256881,0.0,-0.001834862385321101,0.9701085093229588,0.9815215506091112
ES,lower_N5_ema_k0,120,0.5,355,357,378,0,712,0.3256880733944954,0.3275229357798165,0.3467889908256881,0.0,-0.001834862385321101,0.9701085093229588,0.9815215506091112
ES,lower_N5_ema_k1,30,0.5,310,348,359,0,658,0.3048180924287119,0.3421828908554572,0.3529990167158309,0.0,-0.03736479842674534,0.14913107943225998,0.7108350783326556
ES,lower_N5_ema_k1,60,0.5,310,348,359,0,658,0.3048180924287119,0.3421828908554572,0.3529990167158309,0.0,-0.03736479842674534,0.14913107943225998,0.7503259160178031
ES,lower_N5_ema_k1,120,0.5,310,348,359,0,658,0.3048180924287119,0.3421828908554572,0.3529990167158309,0.0,-0.03736479842674534,0.14913107943225998,0.7503259160178031
ES,lower_N5_ema_k2,30,0.5,284,303,355,0,587,0.30148619957537154,0.321656050955414,0.37685774946921446,0.0,-0.02016985138004246,0.4575470731530897,0.8383400423574233
ES,lower_N5_ema_k2,60,0.5,284,303,355,0,587,0.30148619957537154,0.321656050955414,0.37685774946921446,0.0,-0.02016985138004246,0.4575470731530897,0.8611979555031061
ES,lower_N5_ema_k2,120,0.5,284,303,355,0,587,0.30148619957537154,0.321656050955414,0.37685774946921446,0.0,-0.02016985138004246,0.4575470731530897,0.8611979555031061
ES,lower_N5_ema_k3,30,0.5,288,273,313,0,561,0.3295194508009153,0.3123569794050343,0.35812356979405036,0.0,0.017162471395881007,0.5545049376206662,0.8383400423574233
ES,lower_N5_ema_k3,60,0.5,288,273,313,0,561,0.3295194508009153,0.3123569794050343,0.35812356979405036,0.0,0.017162471395881007,0.5545049376206662,0.8611979555031061
ES,lower_N5_ema_k3,120,0.5,288,273,313,0,561,0.3295194508009153,0.3123569794050343,0.35812356979405036,0.0,0.017162471395881007,0.5545049376206662,0.8611979555031061
ES,lower_N5_mean_k0,30,0.5,347,366,380,0,713,0.3174748398902104,0.33485818847209514,0.34766697163769444,0.0,-0.017383348581884728,0.5002718008025173,0.8383400423574233
ES,lower_N5_mean_k0,60,0.5,347,366,380,0,713,0.3174748398902104,0.33485818847209514,0.34766697163769444,0.0,-0.017383348581884728,0.5002718008025173,0.8611979555031061
ES,lower_N5_mean_k0,120,0.5,347,366,380,0,713,0.3174748398902104,0.33485818847209514,0.34766697163769444,0.0,-0.017383348581884728,0.5002718008025173,0.8611979555031061
ES,lower_N5_mean_k1,30,0.5,321,330,358,0,651,0.31813676907829536,0.3270564915758176,0.354806739345887,0.0,-0.008919722497522264,0.7538944085807764,0.8895082134755111
ES,lower_N5_mean_k1,60,0.5,321,330,358,0,651,0.31813676907829536,0.3270564915758176,0.354806739345887,0.0,-0.008919722497522264,0.7538944085807764,0.9018624942182265
ES,lower_N5_mean_k1,120,0.5,321,330,358,0,651,0.31813676907829536,0.3270564915758176,0.354806739345887,0.0,-0.008919722497522264,0.7538944085807764,0.9018624942182265
ES,lower_N5_mean_k2,30,0.5,289,312,340,0,601,0.3071200850159405,0.33156216790648246,0.361317747077577,0.0,-0.02444208289054195,0.36951927038914006,0.7944664313366512
ES,lower_N5_mean_k2,60,0.5,289,312,340,0,601,0.3071200850159405,0.33156216790648246,0.361317747077577,0.0,-0.02444208289054195,0.36951927038914006,0.7944664313366512
ES,lower_N5_mean_k2,120,0.5,289,312,340,0,601,0.3071200850159405,0.33156216790648246,0.361317747077577,0.0,-0.02444208289054195,0.36951927038914006,0.7944664313366512
ES,lower_N5_mean_k3,30,0.5,289,255,329,0,544,0.33104238258877433,0.2920962199312715,0.3768613974799542,0.0,0.038946162657502836,0.15704495916651692,0.7108350783326556
ES,lower_N5_mean_k3,60,0.5,289,255,329,0,544,0.33104238258877433,0.2920962199312715,0.3768613974799542,0.0,0.038946162657502836,0.15704495916651692,0.7503259160178031
ES,lower_N5_mean_k3,120,0.5,289,255,329,0,544,0.33104238258877433,0.2920962199312715,0.3768613974799542,0.0,0.038946162657502836,0.15704495916651692,0.7503259160178031
ES,lower_N5_median_k0,30,0.5,338,408,374,0,746,0.30178571428571427,0.36428571428571427,0.3339285714285714,0.0,-0.0625,0.011478208750532194,0.37049994619779775
ES,lower_N5_median_k0,60,0.5,338,408,374,0,746,0.30178571428571427,0.36428571428571427,0.3339285714285714,0.0,-0.0625,0.011478208750532194,0.3114244495645319
ES,lower_N5_median_k0,120,0.5,338,408,374,0,746,0.30178571428571427,0.36428571428571427,0.3339285714285714,0.0,-0.0625,0.011478208750532194,0.3205634400324904
ES,lower_N5_median_k1,30,0.5,324,350,358,0,674,0.313953488372093,0.3391472868217054,0.34689922480620156,0.0,-0.025193798449612392,0.3355700421538165,0.7873966927435786
ES,lower_N5_median_k1,60,0.5,324,350,358,0,674,0.313953488372093,0.3391472868217054,0.34689922480620156,0.0,-0.025193798449612392,0.3355700421538165,0.7873966927435786
ES,lower_N5_median_k1,120,0.5,324,350,358,0,674,0.313953488372093,0.3391472868217054,0.34689922480620156,0.0,-0.025193798449612392,0.3355700421538165,0.7873966927435786
ES,lower_N5_median_k2,30,0.5,296,322,338,0,618,0.30962343096234307,0.3368200836820084,0.35355648535564854,0.0,-0.027196652719665315,0.3145845716639869,0.7873966927435786
ES,lower_N5_median_k2,60,0.5,296,322,338,0,618,0.30962343096234307,0.3368200836820084,0.35355648535564854,0.0,-0.027196652719665315,0.3145845716639869,0.7873966927435786
ES,lower_N5_median_k2,120,0.5,296,322,338,0,618,0.30962343096234307,0.3368200836820084,0.35355648535564854,0.0,-0.027196652719665315,0.3145845716639869,0.7873966927435786
ES,lower_N5_median_k3,30,0.5,275,292,317,0,567,0.31108597285067874,0.33031674208144796,0.3585972850678733,0.0,-0.019230769230769218,0.5016585534687281,0.8383400423574233
ES,lower_N5_median_k3,60,0.5,275,292,317,0,567,0.31108597285067874,0.33031674208144796,0.3585972850678733,0.0,-0.019230769230769218,0.5016585534687281,0.8611979555031061
ES,lower_N5_median_k3,120,0.5,275,292,317,0,567,0.31108597285067874,0.33031674208144796,0.3585972850678733,0.0,-0.019230769230769218,0.5016585534687281,0.8611979555031061
ES,upper_N10_ema_k0,30,0.5,402,391,316,0,793,0.3624887285843102,0.3525698827772768,0.284941388638413,0.0,0.009918845807033394,0.7225313579483146,0.8895082134755111
ES,upper_N10_ema_k0,60,0.5,402,391,316,0,793,0.3624887285843102,0.3525698827772768,0.284941388638413,0.0,0.009918845807033394,0.7225313579483146,0.9018624942182265
ES,upper_N10_ema_k0,120,0.5,402,391,316,0,793,0.3624887285843102,0.3525698827772768,0.284941388638413,0.0,0.009918845807033394,0.7225313579483146,0.9018624942182265
