instrument,level_id,n_valid,n_touched,touch_rate,touch_by_30_rate,touch_by_60_rate,touch_by_120_rate
ES,lower_N20_ema_k0,1269,1106,0.8715524034672971,0.8163908589440504,0.8534278959810875,0.8715524034672971
ES,lower_N20_ema_k1,1269,1009,0.7951142631993696,0.7115839243498818,0.7628053585500394,0.7951142631993696
ES,lower_N20_ema_k2,1269,913,0.7194641449960599,0.6012608353033885,0.6745468873128447,0.7194641449960599
ES,lower_N20_ema_k3,1269,841,0.6627265563435776,0.49566587864460204,0.6004728132387707,0.6627265563435776
ES,lower_N20_mean_k0,1269,1108,0.8731284475965327,0.817966903073286,0.8542159180457053,0.8731284475965327
ES,lower_N20_mean_k1,1269,1003,0.7903861308116628,0.7060677698975572,0.7596532702915682,0.7903861308116628
ES,lower_N20_mean_k2,1269,918,0.723404255319149,0.6052009456264775,0.6784869976359338,0.723404255319149
ES,lower_N20_mean_k3,1269,840,0.6619385342789598,0.4980299448384555,0.6004728132387707,0.6619385342789598
ES,lower_N20_median_k0,1269,1137,0.8959810874704491,0.847123719464145,0.8825847123719465,0.8959810874704491
ES,lower_N20_median_k1,1269,1030,0.8116627265563435,0.7320724980299448,0.7801418439716312,0.8116627265563435
ES,lower_N20_median_k2,1269,930,0.7328605200945626,0.6256895193065406,0.6903073286052009,0.7328605200945626
ES,lower_N20_median_k3,1269,853,0.6721828211189913,0.5177304964539007,0.6170212765957447,0.6721828211189913
ES,lower_N5_ema_k0,1284,1124,0.8753894080996885,0.82398753894081,0.8590342679127726,0.8753894080996885
ES,lower_N5_ema_k1,1284,1039,0.809190031152648,0.7281931464174455,0.7795950155763239,0.809190031152648
ES,lower_N5_ema_k2,1284,959,0.7468847352024922,0.6347352024922118,0.706386292834891,0.7468847352024922
ES,lower_N5_ema_k3,1284,890,0.6931464174454829,0.5467289719626168,0.6394080996884736,0.6931464174454829
ES,lower_N5_mean_k0,1284,1123,0.8746105919003115,0.8271028037383178,0.8613707165109035,0.8746105919003115
ES,lower_N5_mean_k1,1284,1032,0.8037383177570093,0.7219626168224299,0.7733644859813084,0.8037383177570093
ES,lower_N5_mean_k2,1284,958,0.7461059190031153,0.6300623052959502,0.706386292834891,0.7461059190031153
ES,lower_N5_mean_k3,1284,888,0.6915887850467289,0.5490654205607477,0.6409657320872274,0.6915887850467289
ES,lower_N5_median_k0,1284,1155,0.8995327102803738,0.8566978193146417,0.8886292834890965,0.8995327102803738
ES,lower_N5_median_k1,1284,1057,0.823208722741433,0.7476635514018691,0.7967289719626168,0.823208722741433
ES,lower_N5_median_k2,1284,973,0.7577881619937694,0.6448598130841121,0.7204049844236761,0.7577881619937694
ES,lower_N5_median_k3,1284,901,0.7017133956386293,0.5654205607476636,0.6510903426791277,0.7017133956386293
ES,upper_N10_ema_k0,1279,1139,0.890539483971853,0.8217357310398749,0.8608287724784989,0.890539483971853
ES,upper_N10_ema_k1,1279,1042,0.8146989835809226,0.6989835809225958,0.7607505863956215,0.8146989835809226
ES,upper_N10_ema_k2,1279,941,0.7357310398749023,0.5942142298670836,0.6724003127443315,0.7357310398749023
ES,upper_N10_ema_k3,1279,859,0.671618451915559,0.5019546520719312,0.5934323690383112,0.671618451915559
ES,upper_N10_mean_k0,1279,1141,0.8921032056293979,0.8209538702111024,0.8623924941360438,0.8921032056293979
ES,upper_N10_mean_k1,1279,1040,0.8131352619233776,0.6966379984362784,0.7584050039093041,0.8131352619233776
ES,upper_N10_mean_k2,1279,939,0.7341673182173573,0.5957779515246286,0.673182173573104,0.7341673182173573
ES,upper_N10_mean_k3,1279,857,0.6700547302580141,0.5011727912431587,0.5910867865519938,0.6700547302580141
ES,upper_N10_median_k0,1279,1161,0.9077404222048475,0.8451915559030493,0.8819390148553558,0.9077404222048475
ES,upper_N10_median_k1,1279,1055,0.8248631743549648,0.7216575449569976,0.7756059421422987,0.8248631743549648
ES,upper_N10_median_k2,1279,952,0.7443315089913995,0.6090695856137608,0.6849100860046912,0.7443315089913995
ES,upper_N10_median_k3,1279,868,0.6786551993745114,0.5175918686473807,0.602814698983581,0.6786551993745114
ES,upper_N20_ema_k0,1269,1119,0.8817966903073287,0.8156028368794326,0.8542159180457053,0.8817966903073287
ES,upper_N20_ema_k1,1269,1019,0.8029944838455477,0.6832151300236406,0.7470449172576832,0.8029944838455477
ES,upper_N20_ema_k2,1269,921,0.7257683215130024,0.5815602836879432,0.661150512214342,0.7257683215130024
ES,upper_N20_ema_k3,1269,840,0.6619385342789598,0.491725768321513,0.5847123719464145,0.6619385342789598
ES,upper_N20_mean_k0,1269,1120,0.8825847123719465,0.8171788810086682,0.8550039401103231,0.8825847123719465
ES,upper_N20_mean_k1,1269,1013,0.7982663514578409,0.6847911741528763,0.7438928289992119,0.7982663514578409
ES,upper_N20_mean_k2,1269,927,0.7304964539007093,0.5870764381402679,0.6643026004728132,0.7304964539007093
ES,upper_N20_mean_k3,1269,844,0.665090622537431,0.4933018124507486,0.5870764381402679,0.665090622537431
ES,upper_N20_median_k0,1269,1159,0.913317572892041,0.8565799842395587,0.8857368006304176,0.913317572892041
ES,upper_N20_median_k1,1269,1036,0.8163908589440504,0.7163120567375887,0.7698975571315997,0.8163908589440504
ES,upper_N20_median_k2,1269,938,0.7391646966115051,0.6020488573680063,0.6761229314420804,0.7391646966115051
ES,upper_N20_median_k3,1269,862,0.6792750197005516,0.5106382978723404,0.6036249014972419,0.6792750197005516
