instrument,level_id,horizon,year,n_touches,n_continuation_first,n_reversal_first,cont_minus_rev_diff
ES,lower_N10_ema_k0,30,2020,222,97,99,-0.009009009009009009
ES,lower_N10_ema_k0,30,2021,211,99,82,0.08056872037914692
ES,lower_N10_ema_k0,30,2022,224,97,84,0.05803571428571429
ES,lower_N10_ema_k0,60,2018,214,88,89,-0.004672897196261682
ES,lower_N10_ema_k0,60,2019,213,93,96,-0.014084507042253521
ES,lower_N10_ema_k0,60,2020,222,97,99,-0.009009009009009009
ES,lower_N10_ema_k0,60,2021,211,99,82,0.08056872037914692
ES,lower_N10_ema_k0,60,2022,224,97,84,0.05803571428571429
ES,lower_N10_ema_k0,120,2018,214,88,89,-0.004672897196261682
ES,lower_N10_ema_k0,120,2019,213,93,96,-0.014084507042253521
ES,lower_N10_ema_k0,120,2020,222,97,99,-0.009009009009009009
ES,lower_N10_ema_k0,120,2021,211,99,82,0.08056872037914692
ES,lower_N10_ema_k0,120,2022,224,97,84,0.05803571428571429
ES,lower_N10_ema_k1,5,2018,199,73,88,-0.07537688442211055
ES,lower_N10_ema_k1,5,2019,196,88,78,0.05102040816326531
ES,lower_N10_ema_k1,5,2020,201,85,90,-0.024875621890547265
ES,lower_N10_ema_k1,5,2021,190,91,78,0.06842105263157895
ES,lower_N10_ema_k1,5,2022,217,96,79,0.07834101382488479
ES,lower_N10_ema_k1,15,2018,199,73,89,-0.08040201005025126
ES,lower_N10_ema_k1,15,2019,196,92,79,0.0663265306122449
ES,lower_N10_ema_k1,15,2020,201,85,95,-0.04975124378109453
ES,lower_N10_ema_k1,15,2021,190,91,80,0.05789473684210526
ES,lower_N10_ema_k1,15,2022,217,96,79,0.07834101382488479
ES,lower_N10_ema_k1,30,2018,199,73,89,-0.08040201005025126
ES,lower_N10_ema_k1,30,2019,196,92,80,0.061224489795918366
ES,lower_N10_ema_k1,30,2020,201,85,95,-0.04975124378109453
ES,lower_N10_ema_k1,30,2021,190,92,80,0.06315789473684211
ES,lower_N10_ema_k1,30,2022,217,96,79,0.07834101382488479
ES,lower_N10_ema_k1,60,2018,199,73,89,-0.08040201005025126
ES,lower_N10_ema_k1,60,2019,196,92,80,0.061224489795918366
ES,lower_N10_ema_k1,60,2020,201,85,95,-0.04975124378109453
ES,lower_N10_ema_k1,60,2021,190,92,80,0.06315789473684211
ES,lower_N10_ema_k1,60,2022,217,96,79,0.07834101382488479
ES,lower_N10_ema_k1,120,2018,199,73,89,-0.08040201005025126
ES,lower_N10_ema_k1,120,2019,196,92,80,0.061224489795918366
ES,lower_N10_ema_k1,120,2020,201,85,95,-0.04975124378109453
ES,lower_N10_ema_k1,120,2021,190,92,80,0.06315789473684211
ES,lower_N10_ema_k1,120,2022,217,96,79,0.07834101382488479
ES,lower_N10_ema_k2,5,2018,183,75,84,-0.04918032786885246
ES,lower_N10_ema_k2,5,2019,177,80,65,0.0847457627118644
ES,lower_N10_ema_k2,5,2020,181,76,78,-0.011049723756906077
ES,lower_N10_ema_k2,5,2021,170,64,82,-0.10588235294117647
ES,lower_N10_ema_k2,5,2022,209,83,88,-0.023923444976076555
ES,lower_N10_ema_k2,15,2018,183,76,84,-0.04371584699453552
