instrument,level_id,horizon,n_touch_events,n_nontied_barrier,n_years_with_floor,cont_minus_rev_diff,q_value,median_signed_close_sd,classification
ES,lower_N10_ema_k0,60,1113,924,5,0.022140221402214055,0.8748484406938318,-0.4416678367352206,MIXED_OR_NULL
ES,lower_N10_ema_k0,120,1113,924,5,0.022140221402214055,0.8586248593355672,-0.44394203363797535,MIXED_OR_NULL
ES,lower_N10_ema_k1,30,1025,861,5,0.014955134596211339,0.8984461909732973,-0.20458581178490473,MIXED_OR_NULL
ES,lower_N10_ema_k1,60,1025,861,5,0.014955134596211339,0.8984461909732973,-0.25031393349013087,MIXED_OR_NULL
ES,lower_N10_ema_k1,120,1025,861,5,0.014955134596211339,0.8699240896725576,-0.4128722512032897,MIXED_OR_NULL
ES,lower_N10_ema_k2,30,937,790,5,-0.021739130434782594,0.8744487529065605,-0.23826391408490782,MIXED_OR_NULL
ES,lower_N10_ema_k2,60,937,790,5,-0.021739130434782594,0.8748484406938318,0.08989948903852135,MIXED_OR_NULL
ES,lower_N10_ema_k2,120,937,790,5,-0.021739130434782594,0.8677851768981992,-0.39289041194521007,MIXED_OR_NULL
ES,lower_N10_ema_k3,30,869,736,5,-0.03271028037383178,0.7981310043602048,-0.42221954349611873,MIXED_OR_NULL
ES,lower_N10_ema_k3,60,869,736,5,-0.03271028037383178,0.8108343120160185,-0.49115831661346443,MIXED_OR_NULL
ES,lower_N10_ema_k3,120,869,736,5,-0.03271028037383178,0.8108343120160185,-0.8996944769057398,MIXED_OR_NULL
ES,lower_N10_mean_k0,30,1114,932,5,-0.0036832412523020164,1.0,-0.16366042042775453,MIXED_OR_NULL
ES,lower_N10_mean_k0,60,1114,932,5,-0.0036832412523020164,1.0,-0.6746025686153063,MIXED_OR_NULL
ES,lower_N10_mean_k0,120,1114,932,5,-0.0036832412523020164,0.9666884488011775,-0.40392073976147935,MIXED_OR_NULL
ES,lower_N10_mean_k1,30,1029,867,5,0.000994035785288283,1.0,-0.2411763278072983,MIXED_OR_NULL
ES,lower_N10_mean_k1,60,1029,867,5,0.000994035785288283,1.0,-0.3383992451447648,MIXED_OR_NULL
ES,lower_N10_mean_k1,120,1029,867,5,0.000994035785288283,1.0,-0.5318236776017217,MIXED_OR_NULL
ES,lower_N10_mean_k2,30,942,789,5,-0.04225352112676056,0.7715714096451649,-0.32257499516688254,MIXED_OR_NULL
ES,lower_N10_mean_k2,60,942,789,5,-0.04225352112676056,0.8083129053425537,-0.11004137184012933,MIXED_OR_NULL
ES,lower_N10_mean_k2,120,942,789,5,-0.04225352112676056,0.7962135592649535,-0.4180638230018203,MIXED_OR_NULL
ES,lower_N10_mean_k3,30,867,728,5,-0.046838407494145196,0.7715714096451649,-0.4300483342923631,MIXED_OR_NULL
ES,lower_N10_mean_k3,60,867,728,5,-0.046838407494145196,0.7879584284322592,-0.3593146273951746,MIXED_OR_NULL
ES,lower_N10_mean_k3,120,867,728,5,-0.046838407494145196,0.7962135592649535,-0.8195109298257115,MIXED_OR_NULL
ES,lower_N10_median_k0,30,1139,946,5,-0.03260869565217389,0.7981310043602048,0.0,MIXED_OR_NULL
ES,lower_N10_median_k0,60,1139,946,5,-0.03260869565217389,0.8108343120160185,-0.6337744910099827,MIXED_OR_NULL
ES,lower_N10_median_k0,120,1139,946,5,-0.03260869565217389,0.7962135592649535,-0.5930933672112182,MIXED_OR_NULL
ES,lower_N10_median_k1,30,1044,873,5,-0.02058823529411763,0.8744487529065605,-0.2999884540059557,MIXED_OR_NULL
ES,lower_N10_median_k1,60,1044,874,5,-0.019607843137254888,0.8748484406938318,-0.499095453567317,MIXED_OR_NULL
ES,lower_N10_median_k1,120,1044,874,5,-0.019607843137254888,0.8677851768981992,-0.29218423733863025,MIXED_OR_NULL
ES,lower_N10_median_k2,30,962,808,5,-0.027600849256900206,0.8102798847173216,-0.1901908712442283,MIXED_OR_NULL
ES,lower_N10_median_k2,60,962,808,5,-0.027600849256900206,0.8499139774702702,-0.07027640788784903,MIXED_OR_NULL
ES,lower_N10_median_k2,120,962,808,5,-0.027600849256900206,0.8296779303876447,-0.4747066178361018,MIXED_OR_NULL
ES,lower_N10_median_k3,30,882,742,5,-0.05523590333716916,0.7715714096451649,-0.28836927726738854,MIXED_OR_NULL
ES,lower_N10_median_k3,60,882,742,5,-0.05523590333716916,0.7879584284322592,-0.3524321756345137,MIXED_OR_NULL
ES,lower_N10_median_k3,120,882,742,5,-0.05523590333716916,0.7962135592649535,-0.5703951656360912,MIXED_OR_NULL
ES,lower_N20_ema_k0,30,1106,949,5,-0.021355617455896037,0.8694295388808037,-0.0560342685206515,MIXED_OR_NULL
ES,lower_N20_ema_k0,60,1106,949,5,-0.021355617455896037,0.8748484406938318,-0.646245045433914,MIXED_OR_NULL
ES,lower_N20_ema_k0,120,1106,949,5,-0.021355617455896037,0.8677851768981992,-0.47998541585853327,MIXED_OR_NULL
ES,lower_N20_ema_k1,30,1009,876,5,-0.006060606060606044,1.0,-0.3131911332903867,MIXED_OR_NULL
ES,lower_N20_ema_k1,60,1009,877,5,-0.007070707070707061,0.985978394436867,-0.24646547295594323,MIXED_OR_NULL
ES,lower_N20_ema_k1,120,1009,877,5,-0.007070707070707061,0.9475636517964696,-0.3460231342221384,MIXED_OR_NULL
ES,lower_N20_ema_k2,30,913,790,5,-0.03790412486064659,0.7981310043602048,-0.17301258913023654,MIXED_OR_NULL
ES,lower_N20_ema_k2,60,913,790,5,-0.03790412486064659,0.8108343120160185,-0.2000836977439197,MIXED_OR_NULL
ES,lower_N20_ema_k2,120,913,790,5,-0.03790412486064659,0.7962135592649535,-0.6049277604805708,MIXED_OR_NULL
ES,lower_N20_ema_k3,30,841,740,5,-0.004819277108433773,1.0,-0.12314678175911137,MIXED_OR_NULL
ES,lower_N20_ema_k3,60,841,740,5,-0.004819277108433773,1.0,-0.26629213371821403,MIXED_OR_NULL
ES,lower_N20_ema_k3,120,841,740,5,-0.004819277108433773,0.9666884488011775,-0.8745908175049499,MIXED_OR_NULL
ES,lower_N20_mean_k0,30,1108,963,5,-0.037998146431881374,0.7715714096451649,-0.10307679997822745,MIXED_OR_NULL
ES,lower_N20_mean_k0,60,1108,963,5,-0.037998146431881374,0.8083129053425537,-0.6145498096177959,MIXED_OR_NULL
ES,lower_N20_mean_k0,120,1108,963,5,-0.037998146431881374,0.7962135592649535,-0.5302512311519503,MIXED_OR_NULL
ES,lower_N20_mean_k1,30,1003,869,5,0.029471544715447162,0.7981310043602048,-0.2254019720979005,MIXED_OR_NULL
ES,lower_N20_mean_k1,60,1003,870,5,0.028455284552845517,0.8499139774702702,-0.2454594186778538,MIXED_OR_NULL
ES,lower_N20_mean_k1,120,1003,870,5,0.028455284552845517,0.8296779303876447,-0.3574090968675486,MIXED_OR_NULL
ES,lower_N20_mean_k2,30,918,797,5,-0.03440621531631516,0.7981310043602048,-0.2328830300151981,MIXED_OR_NULL
ES,lower_N20_mean_k2,60,918,797,5,-0.03440621531631516,0.8108343120160185,-0.25371778388031013,MIXED_OR_NULL
ES,lower_N20_mean_k2,120,918,797,5,-0.03440621531631516,0.7962135592649535,-0.658072699329901,MIXED_OR_NULL
ES,lower_N20_mean_k3,30,840,737,5,-0.027744270205066313,0.8102798847173216,-0.18450436058782413,MIXED_OR_NULL
ES,lower_N20_mean_k3,60,840,737,5,-0.027744270205066313,0.8553718591332216,-0.13855479346419106,MIXED_OR_NULL
ES,lower_N20_mean_k3,120,840,737,5,-0.027744270205066313,0.8354794903161699,-0.8504205754291536,MIXED_OR_NULL
ES,lower_N20_median_k0,30,1137,961,5,-0.040760869565217406,0.7715714096451649,0.0,MIXED_OR_NULL
ES,lower_N20_median_k0,60,1137,961,5,-0.040760869565217406,0.7879584284322592,-0.5843004731393534,MIXED_OR_NULL
ES,lower_N20_median_k0,120,1137,961,5,-0.040760869565217406,0.7962135592649535,-0.6288400973788821,MIXED_OR_NULL
ES,lower_N20_median_k1,30,1030,888,5,-0.015841584158415856,0.8984461909732973,-0.16666623918425094,MIXED_OR_NULL
ES,lower_N20_median_k1,60,1030,888,5,-0.015841584158415856,0.8960487019403202,-0.43485487043487714,MIXED_OR_NULL
ES,lower_N20_median_k1,120,1030,888,5,-0.015841584158415856,0.8677851768981992,-0.3371912545979358,MIXED_OR_NULL
ES,lower_N20_median_k2,30,930,806,5,-0.0482456140350877,0.7715714096451649,-0.10851261926166969,MIXED_OR_NULL
ES,lower_N20_median_k2,60,930,806,5,-0.0482456140350877,0.7879584284322592,-0.05293374147358701,MIXED_OR_NULL
ES,lower_N20_median_k2,120,930,806,5,-0.0482456140350877,0.7962135592649535,-0.5289573633471314,MIXED_OR_NULL
ES,lower_N20_median_k3,30,853,734,5,-0.019002375296912122,0.8748484406938318,-0.029145316758092912,MIXED_OR_NULL
ES,lower_N20_median_k3,60,853,734,5,-0.019002375296912122,0.8748484406938318,-0.04650917100570875,MIXED_OR_NULL
ES,lower_N20_median_k3,120,853,734,5,-0.019002375296912122,0.8677851768981992,-0.776224408568608,MIXED_OR_NULL
ES,lower_N5_ema_k0,30,1124,892,5,-0.011009174311926606,0.9320404800805823,0.029257575433155044,MIXED_OR_NULL
ES,lower_N5_ema_k0,60,1124,892,5,-0.011009174311926606,0.9147657869926786,-0.7542554630531046,MIXED_OR_NULL
ES,lower_N5_ema_k0,120,1124,892,5,-0.011009174311926606,0.8882508366450648,-0.4242991669791115,MIXED_OR_NULL
ES,lower_N5_ema_k1,30,1039,834,5,-0.019665683382497523,0.8744487529065605,0.003585675809820497,MIXED_OR_NULL
ES,lower_N5_ema_k1,60,1039,834,5,-0.019665683382497523,0.8748484406938318,-0.26335451158687656,MIXED_OR_NULL
ES,lower_N5_ema_k1,120,1039,834,5,-0.019665683382497523,0.8677851768981992,-0.5761019593084398,MIXED_OR_NULL
ES,lower_N5_ema_k2,30,959,765,5,-0.026539278131634814,0.8102798847173216,-0.3145555445094704,MIXED_OR_NULL
ES,lower_N5_ema_k2,60,959,765,5,-0.026539278131634814,0.8499139774702702,0.04893838896078756,MIXED_OR_NULL
ES,lower_N5_ema_k2,120,959,765,5,-0.026539278131634814,0.8296779303876447,-0.4125214063778495,MIXED_OR_NULL
ES,lower_N5_ema_k3,30,890,712,5,0.00915331807780323,0.9913342567950831,-0.17118082304100435,MIXED_OR_NULL
ES,lower_N5_ema_k3,60,890,712,5,0.00915331807780323,0.985978394436867,-0.4418176348184299,MIXED_OR_NULL
ES,lower_N5_ema_k3,120,890,712,5,0.00915331807780323,0.9472952890154832,-0.4003843404703533,MIXED_OR_NULL
ES,lower_N5_mean_k0,30,1123,884,5,-0.012808783165599247,0.9182073995690921,-0.170270586068746,MIXED_OR_NULL
ES,lower_N5_mean_k0,60,1123,884,5,-0.012808783165599247,0.9100713547368864,-0.6772854614785931,MIXED_OR_NULL
ES,lower_N5_mean_k0,120,1123,884,5,-0.012808783165599247,0.8866383863044958,-0.35856858280026377,MIXED_OR_NULL
ES,lower_N5_mean_k1,30,1032,820,5,0.007928642220019821,0.9913342567950831,0.07701467817305059,MIXED_OR_NULL
ES,lower_N5_mean_k1,60,1032,820,5,0.007928642220019821,0.985978394436867,-0.07686733724592466,MIXED_OR_NULL
ES,lower_N5_mean_k1,120,1032,820,5,0.007928642220019821,0.9475636517964696,-0.4519205036773019,MIXED_OR_NULL
ES,lower_N5_mean_k2,30,958,759,5,-0.032943676939426125,0.7981310043602048,-0.23598052565074665,MIXED_OR_NULL
ES,lower_N5_mean_k2,60,958,759,5,-0.032943676939426125,0.8108343120160185,-0.06268446313951087,MIXED_OR_NULL
ES,lower_N5_mean_k2,120,958,759,5,-0.032943676939426125,0.7962135592649535,-0.29331726514630774,MIXED_OR_NULL
ES,lower_N5_mean_k3,30,888,706,5,0.018327605956471926,0.8748484406938318,-0.30276339112968526,MIXED_OR_NULL
ES,lower_N5_mean_k3,60,888,706,5,0.018327605956471926,0.8748484406938318,-0.3962015175966569,MIXED_OR_NULL
ES,lower_N5_mean_k3,120,888,706,5,0.018327605956471926,0.8677851768981992,-0.570506426353748,MIXED_OR_NULL
ES,lower_N5_median_k0,30,1155,902,5,-0.09285714285714286,0.051346358880097545,-0.26609135948739965,MIXED_OR_NULL
ES,lower_N5_median_k0,60,1155,902,5,-0.09285714285714286,0.051346358880097545,-0.5851762872033599,MIXED_OR_NULL
ES,lower_N5_median_k0,120,1155,902,5,-0.09285714285714286,0.051346358880097545,-0.7719482443512151,MIXED_OR_NULL
ES,lower_N5_median_k1,30,1057,840,5,-0.025193798449612448,0.8102798847173216,0.040831760624479255,MIXED_OR_NULL
ES,lower_N5_median_k1,60,1057,840,5,-0.025193798449612448,0.8499139774702702,-0.3824227583793847,MIXED_OR_NULL
ES,lower_N5_median_k1,120,1057,840,5,-0.025193798449612448,0.8296779303876447,-0.5431058222450655,MIXED_OR_NULL
ES,lower_N5_median_k2,30,973,774,5,-0.012552301255230103,0.9320404800805823,-0.3450569930587623,MIXED_OR_NULL
ES,lower_N5_median_k2,60,973,774,5,-0.012552301255230103,0.9135062161925108,-0.045563631547751844,MIXED_OR_NULL
ES,lower_N5_median_k2,120,973,774,5,-0.012552301255230103,0.8866383863044958,-0.3488820013823531,MIXED_OR_NULL
ES,lower_N5_median_k3,30,901,716,5,-0.004524886877828038,1.0,-0.3018461330656857,MIXED_OR_NULL
ES,lower_N5_median_k3,60,901,716,5,-0.004524886877828038,1.0,-0.23252802303327008,MIXED_OR_NULL
ES,lower_N5_median_k3,120,901,716,5,-0.004524886877828038,0.9666884488011775,-0.35353928772162124,MIXED_OR_NULL
ES,upper_N10_ema_k0,30,1139,985,5,0.006311992786293963,1.0,0.38671928652246557,MIXED_OR_NULL
ES,upper_N10_ema_k0,60,1139,985,5,0.006311992786293963,0.985978394436867,0.7381725716970204,MIXED_OR_NULL
ES,upper_N10_ema_k0,120,1139,985,5,0.006311992786293963,0.9475636517964696,0.6927846148593105,MIXED_OR_NULL
ES,upper_N10_ema_k1,30,1042,911,5,0.0323212536728697,0.7981310043602048,0.3931873979557136,MIXED_OR_NULL
ES,upper_N10_ema_k1,60,1042,911,5,0.0323212536728697,0.8108343120160185,0.4979342208671123,MIXED_OR_NULL
ES,upper_N10_ema_k1,120,1042,911,5,0.0323212536728697,0.7962135592649535,0.7477225287801221,MIXED_OR_NULL
ES,upper_N10_ema_k2,30,941,825,5,0.033441208198489725,0.7981310043602048,0.2586153290000875,MIXED_OR_NULL
ES,upper_N10_ema_k2,60,941,825,5,0.033441208198489725,0.8108343120160185,0.7005548092776283,MIXED_OR_NULL
ES,upper_N10_ema_k2,120,941,825,5,0.033441208198489725,0.7962135592649535,0.7058582067347456,MIXED_OR_NULL
ES,upper_N10_ema_k3,30,859,757,5,0.003546099290780147,1.0,0.04625034027938783,MIXED_OR_NULL
ES,upper_N10_ema_k3,60,859,757,5,0.003546099290780147,1.0,0.958542713097896,MIXED_OR_NULL
ES,upper_N10_ema_k3,120,859,757,5,0.003546099290780147,0.9761084639426871,1.04986517360024,MIXED_OR_NULL
ES,upper_N10_mean_k0,30,1141,979,5,0.03513513513513511,0.7981310043602048,0.4267549790888556,MIXED_OR_NULL
ES,upper_N10_mean_k0,60,1141,979,5,0.03513513513513511,0.8108343120160185,0.6330043623292463,MIXED_OR_NULL
ES,upper_N10_mean_k0,120,1141,979,5,0.03513513513513511,0.7962135592649535,0.7190107110398516,MIXED_OR_NULL
ES,upper_N10_mean_k1,30,1040,900,5,0.031403336604514276,0.7981310043602048,0.35929267633039885,MIXED_OR_NULL
ES,upper_N10_mean_k1,60,1040,901,5,0.03238469087340534,0.8108343120160185,0.47560813051368545,MIXED_OR_NULL
ES,upper_N10_mean_k1,120,1040,901,5,0.03238469087340534,0.7962135592649535,0.5990053726671057,MIXED_OR_NULL
ES,upper_N10_mean_k2,30,939,830,5,0.04535637149028077,0.7715714096451649,0.2852638476092636,MIXED_OR_NULL
ES,upper_N10_mean_k2,60,939,830,5,0.04535637149028077,0.7879584284322592,0.6707261750942854,MIXED_OR_NULL
ES,upper_N10_mean_k2,120,939,830,5,0.04535637149028077,0.7962135592649535,0.7801755760935429,MIXED_OR_NULL
ES,upper_N10_mean_k3,30,857,749,5,-0.005924170616113722,1.0,0.030740675430378565,MIXED_OR_NULL
ES,upper_N10_mean_k3,60,857,749,5,-0.005924170616113722,1.0,0.7953943594559707,MIXED_OR_NULL
ES,upper_N10_mean_k3,120,857,749,5,-0.005924170616113722,0.9666884488011775,1.122427055306066,MIXED_OR_NULL
ES,upper_N10_median_k0,30,1161,986,5,0.010619469026548645,0.9320404800805823,0.41027573041425347,MIXED_OR_NULL
ES,upper_N10_median_k0,60,1161,986,5,0.010619469026548645,0.9183340024323384,0.6272310695221873,MIXED_OR_NULL
ES,upper_N10_median_k0,120,1161,986,5,0.010619469026548645,0.8920958880771288,0.6911321084053501,MIXED_OR_NULL
ES,upper_N10_median_k1,30,1055,906,5,0.0,1.0,0.30508816168285513,MIXED_OR_NULL
ES,upper_N10_median_k1,60,1055,906,5,0.0,1.0,0.5990053726671057,MIXED_OR_NULL
ES,upper_N10_median_k1,120,1055,906,5,0.0,1.0,0.7834760124090702,MIXED_OR_NULL
ES,upper_N10_median_k2,30,952,833,5,0.02023429179978703,0.8744487529065605,0.3705653082159365,MIXED_OR_NULL
ES,upper_N10_median_k2,60,952,833,5,0.02023429179978703,0.8748484406938318,0.6643571694949431,MIXED_OR_NULL
ES,upper_N10_median_k2,120,952,833,5,0.02023429179978703,0.8677851768981992,0.7693979882622529,MIXED_OR_NULL
ES,upper_N10_median_k3,30,868,759,5,-0.008177570093457931,1.0,0.13240142246551873,MIXED_OR_NULL
ES,upper_N10_median_k3,60,868,759,5,-0.008177570093457931,0.985978394436867,0.8478700396606272,MIXED_OR_NULL
ES,upper_N10_median_k3,120,868,759,5,-0.008177570093457931,0.9475636517964696,1.0506847392212428,MIXED_OR_NULL
ES,upper_N20_ema_k0,30,1119,973,5,0.02846648301193755,0.7981310043602048,0.5363874744176853,MIXED_OR_NULL
ES,upper_N20_ema_k0,60,1119,974,5,0.029384756657483968,0.8108343120160185,0.7147880674651375,MIXED_OR_NULL
ES,upper_N20_ema_k0,120,1119,974,5,0.029384756657483968,0.8108343120160185,0.7880167346886691,MIXED_OR_NULL
ES,upper_N20_ema_k1,30,1019,895,5,0.04312938816449352,0.7715714096451649,0.26028779168076044,MIXED_OR_NULL
ES,upper_N20_ema_k1,60,1019,896,5,0.044132397191574746,0.7879584284322592,0.66159202751269,MIXED_OR_NULL
ES,upper_N20_ema_k1,120,1019,896,5,0.044132397191574746,0.7962135592649535,0.7901017939754158,MIXED_OR_NULL
ES,upper_N20_ema_k2,30,921,813,5,0.04735682819383258,0.7715714096451649,0.29659563097031394,MIXED_OR_NULL
ES,upper_N20_ema_k2,60,921,813,5,0.04735682819383258,0.7879584284322592,0.5803126689381128,MIXED_OR_NULL
ES,upper_N20_ema_k2,120,921,813,5,0.04735682819383258,0.7962135592649535,0.9239509945400965,MIXED_OR_NULL
ES,upper_N20_ema_k3,30,840,753,5,-0.020481927710843395,0.8748484406938318,0.27381939720127363,MIXED_OR_NULL
ES,upper_N20_ema_k3,60,840,753,5,-0.020481927710843395,0.8748484406938318,0.579849334894692,MIXED_OR_NULL
ES,upper_N20_ema_k3,120,840,753,5,-0.020481927710843395,0.8677851768981992,0.7087418489389625,MIXED_OR_NULL
ES,upper_N20_mean_k0,30,1120,976,5,0.011009174311926606,0.9320404800805823,0.5571294426240625,MIXED_OR_NULL
ES,upper_N20_mean_k0,60,1120,977,5,0.011926605504587129,0.9135062161925108,0.7291078966224507,MIXED_OR_NULL
ES,upper_N20_mean_k0,120,1120,977,5,0.011926605504587129,0.8866383863044958,0.738277814822953,MIXED_OR_NULL
ES,upper_N20_mean_k1,30,1013,888,5,0.06048387096774194,0.7715714096451649,0.30913194989574205,MIXED_OR_NULL
ES,upper_N20_mean_k1,60,1013,888,5,0.06048387096774194,0.7879584284322592,0.8068868385357155,MIXED_OR_NULL
ES,upper_N20_mean_k1,120,1013,888,5,0.06048387096774194,0.7962135592649535,0.9123822968176976,MIXED_OR_NULL
ES,upper_N20_mean_k2,30,927,820,5,0.01969365426695846,0.8748484406938318,0.21066154642073548,MIXED_OR_NULL
ES,upper_N20_mean_k2,60,927,820,5,0.01969365426695846,0.8748484406938318,0.5355080324039503,MIXED_OR_NULL
ES,upper_N20_mean_k2,120,927,820,5,0.01969365426695846,0.8677851768981992,0.957588532103416,MIXED_OR_NULL
ES,upper_N20_mean_k3,30,844,752,5,0.002398081534772223,1.0,0.16557700901654604,MIXED_OR_NULL
ES,upper_N20_mean_k3,60,844,752,5,0.002398081534772223,1.0,0.5929951767781472,MIXED_OR_NULL
ES,upper_N20_mean_k3,120,844,752,5,0.002398081534772223,0.9940308106408471,0.6605165169971432,MIXED_OR_NULL
ES,upper_N20_median_k0,30,1159,1001,5,-0.008007117437722422,0.9913342567950831,0.4103090886548818,MIXED_OR_NULL
ES,upper_N20_median_k0,60,1159,1002,5,-0.007117437722419961,0.985978394436867,0.6105395441831243,MIXED_OR_NULL
ES,upper_N20_median_k0,120,1159,1002,5,-0.007117437722419961,0.9475636517964696,0.5894183665339977,MIXED_OR_NULL
ES,upper_N20_median_k1,30,1036,901,5,0.024679170779861814,0.8102798847173216,0.2031704150362723,MIXED_OR_NULL
ES,upper_N20_median_k1,60,1036,902,5,0.0256663376110563,0.8499139774702702,0.6365437025070478,MIXED_OR_NULL
ES,upper_N20_median_k1,120,1036,902,5,0.0256663376110563,0.8296779303876447,0.8752842616257781,MIXED_OR_NULL
ES,upper_N20_median_k2,30,938,839,5,0.07027027027027027,0.5821958730614443,0.40321331620309714,MIXED_OR_NULL
ES,upper_N20_median_k2,60,938,839,5,0.07027027027027027,0.7762611640819257,0.6967994498530814,MIXED_OR_NULL
ES,upper_N20_median_k2,120,938,839,5,0.07027027027027027,0.7762611640819257,1.0917740531872384,MIXED_OR_NULL
ES,upper_N20_median_k3,30,862,760,5,0.01645123384253816,0.8984461909732973,0.30026055717174377,MIXED_OR_NULL
ES,upper_N20_median_k3,60,862,760,5,0.01645123384253816,0.8984461909732973,0.5129432191788061,MIXED_OR_NULL
ES,upper_N20_median_k3,120,862,760,5,0.01645123384253816,0.8699240896725576,0.63202974921538,MIXED_OR_NULL
ES,upper_N5_ema_k0,30,1143,926,5,0.023465703971119134,0.8102798847173216,0.4160134027515535,MIXED_OR_NULL
