instrument,level_id,timing_bin,n
ES,lower_N10_mean_k0,MINUTES_31_TO_60,42
ES,lower_N10_mean_k0,MINUTES_61_TO_120,24
ES,lower_N10_mean_k0,MINUTES_6_TO_15,111
ES,lower_N10_mean_k1,BAR_0930,234
ES,lower_N10_mean_k1,MINUTES_16_TO_30,94
ES,lower_N10_mean_k1,MINUTES_2_TO_5,399
ES,lower_N10_mean_k1,MINUTES_31_TO_60,68
ES,lower_N10_mean_k1,MINUTES_61_TO_120,38
ES,lower_N10_mean_k1,MINUTES_6_TO_15,196
ES,lower_N10_mean_k2,BAR_0930,110
ES,lower_N10_mean_k2,MINUTES_16_TO_30,125
ES,lower_N10_mean_k2,MINUTES_2_TO_5,343
ES,lower_N10_mean_k2,MINUTES_31_TO_60,91
ES,lower_N10_mean_k2,MINUTES_61_TO_120,49
ES,lower_N10_mean_k2,MINUTES_6_TO_15,224
ES,lower_N10_mean_k3,BAR_0930,63
ES,lower_N10_mean_k3,MINUTES_16_TO_30,141
ES,lower_N10_mean_k3,MINUTES_2_TO_5,241
ES,lower_N10_mean_k3,MINUTES_31_TO_60,124
ES,lower_N10_mean_k3,MINUTES_61_TO_120,67
ES,lower_N10_mean_k3,MINUTES_6_TO_15,231
ES,lower_N10_median_k0,BAR_0930,672
ES,lower_N10_median_k0,MINUTES_16_TO_30,47
ES,lower_N10_median_k0,MINUTES_2_TO_5,275
ES,lower_N10_median_k0,MINUTES_31_TO_60,38
ES,lower_N10_median_k0,MINUTES_61_TO_120,18
ES,lower_N10_median_k0,MINUTES_6_TO_15,89
ES,lower_N10_median_k1,BAR_0930,277
ES,lower_N10_median_k1,MINUTES_16_TO_30,81
ES,lower_N10_median_k1,MINUTES_2_TO_5,410
ES,lower_N10_median_k1,MINUTES_31_TO_60,63
ES,lower_N10_median_k1,MINUTES_61_TO_120,33
ES,lower_N10_median_k1,MINUTES_6_TO_15,180
ES,lower_N10_median_k2,BAR_0930,128
ES,lower_N10_median_k2,MINUTES_16_TO_30,117
ES,lower_N10_median_k2,MINUTES_2_TO_5,359
ES,lower_N10_median_k2,MINUTES_31_TO_60,85
ES,lower_N10_median_k2,MINUTES_61_TO_120,50
ES,lower_N10_median_k2,MINUTES_6_TO_15,223
ES,lower_N10_median_k3,BAR_0930,67
ES,lower_N10_median_k3,MINUTES_16_TO_30,142
ES,lower_N10_median_k3,MINUTES_2_TO_5,257
ES,lower_N10_median_k3,MINUTES_31_TO_60,116
ES,lower_N10_median_k3,MINUTES_61_TO_120,68
ES,lower_N10_median_k3,MINUTES_6_TO_15,232
ES,lower_N20_ema_k0,BAR_0930,516
ES,lower_N20_ema_k0,MINUTES_16_TO_30,49
ES,lower_N20_ema_k0,MINUTES_2_TO_5,351
ES,lower_N20_ema_k0,MINUTES_31_TO_60,47
