instrument,level_id,n_reversal_proxy,n_blast_through_proxy,n_neutral,n_total_touch_bars,n_nonneutral,reversal_rate,blast_through_rate,neutral_rate,reversal_minus_blast_diff,p_raw,q_value,same_bar_classification
ES,PR_VWAP_p1,245,216,0,461,461,0.5314533622559653,0.4685466377440347,0.0,0.06290672451193059,0.19214672881342615,0.6762518950518571,SAME_BAR_MIXED
ES,PR_VWAP_p2,200,184,0,384,384,0.5208333333333334,0.4791666666666667,0.0,0.041666666666666664,0.4440356912114315,0.7637413888836622,SAME_BAR_MIXED
ES,PR_VWAP_p3,174,140,0,314,314,0.554140127388535,0.445859872611465,0.0,0.10828025477707007,0.06238901852182554,0.529562125836555,SAME_BAR_MIXED
ES,lower_N10_ema_k0,544,569,0,1113,1113,0.4887690925426775,0.5112309074573226,0.0,-0.022461814914645103,0.47191745959429143,0.7757764805789217,SAME_BAR_MIXED
ES,lower_N10_ema_k1,505,520,0,1025,1025,0.4926829268292683,0.5073170731707317,0.0,-0.014634146341463415,0.6619244473642976,0.8434458638541631,SAME_BAR_MIXED
ES,lower_N10_ema_k2,482,455,0,937,937,0.5144076840981857,0.4855923159018143,0.0,0.0288153681963714,0.3956799905906828,0.757529536087832,SAME_BAR_MIXED
ES,lower_N10_ema_k3,448,421,0,869,869,0.5155350978135789,0.4844649021864212,0.0,0.031070195627157654,0.3777926677413582,0.757529536087832,SAME_BAR_MIXED
ES,lower_N10_mean_k0,579,525,10,1114,1104,0.5197486535008977,0.47127468581687615,0.008976660682226212,0.04847396768402154,0.11064549280051587,0.568716360377631,SAME_BAR_MIXED
ES,lower_N10_mean_k1,508,520,1,1029,1028,0.4936831875607386,0.5053449951409135,0.0009718172983479105,-0.011661807580174927,0.7315563339218486,0.8566635667880358,SAME_BAR_MIXED
ES,lower_N10_mean_k2,491,451,0,942,942,0.5212314225053079,0.47876857749469215,0.0,0.04246284501061571,0.20381487792151418,0.6762518950518571,SAME_BAR_MIXED
ES,lower_N10_mean_k3,440,426,1,867,866,0.5074971164936563,0.4913494809688581,0.0011534025374855825,0.016147635524798153,0.658689159097093,0.8434458638541631,SAME_BAR_MIXED
ES,lower_N10_median_k0,594,496,49,1139,1090,0.5215100965759438,0.4354697102721686,0.04302019315188762,0.08604038630377524,0.003284618652570124,0.09415906804034356,SAME_BAR_MIXED
ES,lower_N10_median_k1,501,543,0,1044,1044,0.47988505747126436,0.5201149425287356,0.0,-0.040229885057471264,0.2044482473412591,0.6762518950518571,SAME_BAR_MIXED
ES,lower_N10_median_k2,509,453,0,962,962,0.5291060291060291,0.4708939708939709,0.0,0.058212058212058215,0.07612920421811205,0.529562125836555,SAME_BAR_MIXED
ES,lower_N10_median_k3,426,455,1,882,881,0.48299319727891155,0.5158730158730159,0.0011337868480725624,-0.032879818594104306,0.3455100863449647,0.757529536087832,SAME_BAR_MIXED
ES,lower_N20_ema_k0,584,522,0,1106,1106,0.5280289330922242,0.4719710669077758,0.0,0.05605786618444846,0.06657230831429164,0.529562125836555,SAME_BAR_MIXED
ES,lower_N20_ema_k1,512,497,0,1009,1009,0.5074331020812686,0.49256689791873143,0.0,0.014866204162537165,0.6594225198008217,0.8434458638541631,SAME_BAR_MIXED
ES,lower_N20_ema_k2,499,414,0,913,913,0.5465498357064622,0.4534501642935378,0.0,0.09309967141292443,0.00540739031551511,0.11625889178357487,SAME_BAR_MIXED
ES,lower_N20_ema_k3,410,431,0,841,841,0.4875148632580262,0.5124851367419738,0.0,-0.02497027348394768,0.4904336773667346,0.7757764805789217,SAME_BAR_MIXED
ES,lower_N20_mean_k0,581,523,4,1108,1104,0.5243682310469314,0.4720216606498195,0.0036101083032490976,0.052346570397111915,0.08620778792688105,0.529562125836555,SAME_BAR_MIXED
ES,lower_N20_mean_k1,484,518,1,1003,1002,0.48255234297108673,0.5164506480558325,0.0009970089730807576,-0.03389830508474576,0.297172020959316,0.7301941086428907,SAME_BAR_MIXED
ES,lower_N20_mean_k2,488,430,0,918,918,0.5315904139433552,0.4684095860566449,0.0,0.06318082788671024,0.059874805120056385,0.529562125836555,SAME_BAR_MIXED
ES,lower_N20_mean_k3,400,440,0,840,840,0.47619047619047616,0.5238095238095238,0.0,-0.047619047619047616,0.17838768494921287,0.6762518950518571,SAME_BAR_MIXED
