instrument,level_id,year,n_valid,n_touched,touch_rate
NQ,upper_N5_mean_k3,2018,251,183,0.7290836653386454
NQ,upper_N5_mean_k3,2019,257,162,0.6303501945525292
NQ,upper_N5_mean_k3,2020,258,173,0.6705426356589147
NQ,upper_N5_mean_k3,2021,258,175,0.6782945736434108
NQ,upper_N5_mean_k3,2022,258,167,0.6472868217054264
NQ,upper_N5_median_k0,2018,251,229,0.9123505976095617
NQ,upper_N5_median_k0,2019,257,220,0.8560311284046692
NQ,upper_N5_median_k0,2020,258,230,0.8914728682170543
NQ,upper_N5_median_k0,2021,258,238,0.9224806201550387
NQ,upper_N5_median_k0,2022,258,228,0.8837209302325582
NQ,upper_N5_median_k1,2018,251,221,0.8804780876494024
NQ,upper_N5_median_k1,2019,257,205,0.7976653696498055
NQ,upper_N5_median_k1,2020,258,218,0.8449612403100775
NQ,upper_N5_median_k1,2021,258,216,0.8372093023255814
NQ,upper_N5_median_k1,2022,258,212,0.8217054263565892
NQ,upper_N5_median_k2,2018,251,198,0.7888446215139442
NQ,upper_N5_median_k2,2019,257,184,0.7159533073929961
NQ,upper_N5_median_k2,2020,258,195,0.7558139534883721
NQ,upper_N5_median_k2,2021,258,194,0.751937984496124
NQ,upper_N5_median_k2,2022,258,184,0.7131782945736435
NQ,upper_N5_median_k3,2018,251,183,0.7290836653386454
NQ,upper_N5_median_k3,2019,257,162,0.6303501945525292
NQ,upper_N5_median_k3,2020,258,174,0.6744186046511628
NQ,upper_N5_median_k3,2021,258,174,0.6744186046511628
NQ,upper_N5_median_k3,2022,258,168,0.6511627906976745
