level_id,level_family,anchor_type,lookback_N,center_estimator,k_or_j
upper_N20_ema_k0,family_b_excursion,upper_09_30_excursion,20.0,ema,0
upper_N20_ema_k1,family_b_excursion,upper_09_30_excursion,20.0,ema,1
upper_N20_ema_k2,family_b_excursion,upper_09_30_excursion,20.0,ema,2
upper_N20_ema_k3,family_b_excursion,upper_09_30_excursion,20.0,ema,3
lower_N5_mean_k0,family_b_excursion,lower_09_30_excursion,5.0,mean,0
lower_N5_mean_k1,family_b_excursion,lower_09_30_excursion,5.0,mean,1
lower_N5_mean_k2,family_b_excursion,lower_09_30_excursion,5.0,mean,2
lower_N5_mean_k3,family_b_excursion,lower_09_30_excursion,5.0,mean,3
lower_N5_median_k0,family_b_excursion,lower_09_30_excursion,5.0,median,0
lower_N5_median_k1,family_b_excursion,lower_09_30_excursion,5.0,median,1
lower_N5_median_k2,family_b_excursion,lower_09_30_excursion,5.0,median,2
lower_N5_median_k3,family_b_excursion,lower_09_30_excursion,5.0,median,3
lower_N5_ema_k0,family_b_excursion,lower_09_30_excursion,5.0,ema,0
lower_N5_ema_k1,family_b_excursion,lower_09_30_excursion,5.0,ema,1
lower_N5_ema_k2,family_b_excursion,lower_09_30_excursion,5.0,ema,2
lower_N5_ema_k3,family_b_excursion,lower_09_30_excursion,5.0,ema,3
lower_N10_mean_k0,family_b_excursion,lower_09_30_excursion,10.0,mean,0
lower_N10_mean_k1,family_b_excursion,lower_09_30_excursion,10.0,mean,1
lower_N10_mean_k2,family_b_excursion,lower_09_30_excursion,10.0,mean,2
lower_N10_mean_k3,family_b_excursion,lower_09_30_excursion,10.0,mean,3
lower_N10_median_k0,family_b_excursion,lower_09_30_excursion,10.0,median,0
lower_N10_median_k1,family_b_excursion,lower_09_30_excursion,10.0,median,1
lower_N10_median_k2,family_b_excursion,lower_09_30_excursion,10.0,median,2
lower_N10_median_k3,family_b_excursion,lower_09_30_excursion,10.0,median,3
lower_N10_ema_k0,family_b_excursion,lower_09_30_excursion,10.0,ema,0
lower_N10_ema_k1,family_b_excursion,lower_09_30_excursion,10.0,ema,1
lower_N10_ema_k2,family_b_excursion,lower_09_30_excursion,10.0,ema,2
lower_N10_ema_k3,family_b_excursion,lower_09_30_excursion,10.0,ema,3
lower_N20_mean_k0,family_b_excursion,lower_09_30_excursion,20.0,mean,0
lower_N20_mean_k1,family_b_excursion,lower_09_30_excursion,20.0,mean,1
lower_N20_mean_k2,family_b_excursion,lower_09_30_excursion,20.0,mean,2
lower_N20_mean_k3,family_b_excursion,lower_09_30_excursion,20.0,mean,3
lower_N20_median_k0,family_b_excursion,lower_09_30_excursion,20.0,median,0
lower_N20_median_k1,family_b_excursion,lower_09_30_excursion,20.0,median,1
lower_N20_median_k2,family_b_excursion,lower_09_30_excursion,20.0,median,2
lower_N20_median_k3,family_b_excursion,lower_09_30_excursion,20.0,median,3
lower_N20_ema_k0,family_b_excursion,lower_09_30_excursion,20.0,ema,0
lower_N20_ema_k1,family_b_excursion,lower_09_30_excursion,20.0,ema,1
lower_N20_ema_k2,family_b_excursion,lower_09_30_excursion,20.0,ema,2
lower_N20_ema_k3,family_b_excursion,lower_09_30_excursion,20.0,ema,3
