instrument,level_type,side,touch_sub,n_events,rotation_first_n,breakout_first_n,tie_n,neither_n,n_nontied,rotation_first_rate,breakout_first_rate,rot_minus_brk_first_rate,binom_p,sample_status,median_signed_close_atr_h5,median_rotation_exc_atr_h5,median_breakout_exc_atr_h5,median_dominance_h5,horizon_min,barrier,median_signed_close_atr_h10,median_rotation_exc_atr_h10,median_breakout_exc_atr_h10,median_dominance_h10,median_signed_close_atr_h15,median_rotation_exc_atr_h15,median_breakout_exc_atr_h15,median_dominance_h15,median_signed_close_atr_h30,median_rotation_exc_atr_h30,median_breakout_exc_atr_h30,median_dominance_h30,median_signed_close_atr_h60,median_rotation_exc_atr_h60,median_breakout_exc_atr_h60,median_dominance_h60
ES,prev_rth_high,upper,TOUCH_CLOSE_AT_LEVEL,115,55,9,48,0,64,0.4782608695652174,0.0782608695652174,0.4,3.542223380175076e-09,OK,,,,,10,0.25,0.0,1.2390350877192984,1.2325917887502262,0.0,,,,,,,,,,,,
ES,prev_rth_high,upper,TOUCH_CLOSE_INSIDE,371,248,15,98,0,263,0.6684636118598383,0.04043126684636118,0.628032345013477,1.4560360719689429e-55,OK,,,,,10,0.25,0.42105263157894735,1.8181818181818183,0.7407407407407407,0.40740740740740744,,,,,,,,,,,,
ES,prev_rth_low,lower,TOUCH_CLOSE_AT_LEVEL,36,15,6,14,0,21,0.4166666666666667,0.16666666666666666,0.25,0.0783538818359375,UNDERPOWERED,,,,,10,0.25,0.5882352941176471,1.6666666666666665,1.8181818181818181,0.0,,,,,,,,,,,,
ES,prev_rth_low,lower,TOUCH_CLOSE_INSIDE,307,195,12,93,0,207,0.6351791530944625,0.03908794788273615,0.5960912052117264,9.66712514927256e-44,OK,,,,,10,0.25,0.7004845548152635,1.9165217391304348,0.7982300884955752,0.39999999999999997,,,,,,,,,,,,
NQ,overnight_high,upper,TOUCH_CLOSE_AT_LEVEL,6,3,0,3,0,3,0.5,0.0,0.5,0.25,UNDERPOWERED,,,,,10,0.25,-0.5535572178895432,1.2572215281849934,1.0428139423842113,0.023809523809523826,,,,,,,,,,,,
NQ,overnight_high,upper,TOUCH_CLOSE_INSIDE,131,103,4,24,0,107,0.7862595419847328,0.030534351145038167,0.7557251908396947,6.612717750057298e-26,OK,,,,,10,0.25,0.3007518796992481,1.7607771706132362,0.78125,0.36363636363636365,,,,,,,,,,,,
NQ,overnight_low,lower,TOUCH_CLOSE_AT_LEVEL,2,0,0,2,0,0,0.0,0.0,0.0,,UNDERPOWERED,,,,,10,0.25,-1.5757713477755895,0.5544614452355703,2.627127202949048,-0.6097297297297298,,,,,,,,,,,,
NQ,overnight_low,lower,TOUCH_CLOSE_INSIDE,87,55,4,25,0,59,0.632183908045977,0.04597701149425287,0.5862068965517241,1.6979681549678105e-12,OK,,,,,10,0.25,0.9088190111070327,1.8164715719063547,1.318055712474422,0.1226768968456948,,,,,,,,,,,,
NQ,prev_rth_high,upper,TOUCH_CLOSE_AT_LEVEL,9,3,3,3,0,6,0.3333333333333333,0.3333333333333333,0.0,1.0,UNDERPOWERED,,,,,10,0.25,0.3773584905660377,2.2878228782287824,1.1267605633802817,0.09999999999999999,,,,,,,,,,,,
NQ,prev_rth_high,upper,TOUCH_CLOSE_INSIDE,136,94,7,33,0,101,0.6911764705882353,0.051470588235294115,0.6397058823529411,1.4633698424991997e-20,OK,,,,,10,0.25,0.4853086827335754,1.79894917933696,0.887665494513941,0.3748388285135384,,,,,,,,,,,,
NQ,prev_rth_low,lower,TOUCH_CLOSE_AT_LEVEL,6,2,3,1,0,5,0.3333333333333333,0.5,-0.16666666666666666,1.0,UNDERPOWERED,,,,,10,0.25,-0.17341040462427745,0.9675199559592623,1.6829907942624704,-0.3816823899371069,,,,,,,,,,,,
