instrument,horizon,metric,n_valid,n_defined,n_undefined,mean,median,q5,q10,q25,q50,q75,q90,q95,mean_ci_lo,mean_ci_hi
ES,10,R,1286,1286,0,0.06434681181959565,0.25,-12.25,-8.5,-4.0,0.25,4.0,8.5,13.0,-0.3232017884914463,0.5401389968895797
ES,10,U,1286,1286,0,5.577760497667185,3.75,0.5,0.75,1.75,3.75,7.25,12.625,17.1875,5.27241932348367,5.927230754276827
ES,10,D,1286,1286,0,5.409603421461897,3.75,0.25,0.75,1.75,3.75,7.5,12.0,15.4375,5.084306959564541,5.690202177293934
ES,10,Q,1286,1286,0,0.0040369650061085035,-0.0304147465437788,-0.8888888888888888,-0.7912885662431942,-0.5294117647058824,-0.0304147465437788,0.5555555555555556,0.8490506329113924,0.9183673469387755,-0.029638665107936852,0.03837622117510323
ES,10,E,1286,1286,0,0.014632204316048216,0.02506265664160401,-0.7970239479190886,-0.7009933774834437,-0.46395502645502645,0.02506265664160401,0.49241885809049984,0.7424633936261843,0.8290940766550523,-0.014779545269848572,0.045420551744864555
ES,15,R,1286,1286,0,-0.006609642301710731,0.25,-13.75,-9.25,-4.25,0.25,4.25,9.0,14.0,-0.48094381804043546,0.4466417185069983
ES,15,U,1286,1286,0,6.3291213063763605,4.25,0.5,0.75,2.0,4.25,8.4375,14.25,19.6875,5.957644828926905,6.727386275272162
ES,15,D,1286,1286,0,6.365668740279938,4.375,0.5,0.75,1.75,4.375,8.5,13.75,18.9375,6.017982115085537,6.730122472783826
ES,15,Q,1286,1286,0,0.0033371650618199238,-0.03225806451612903,-0.9,-0.8078529045491173,-0.5403530895334174,-0.03225806451612903,0.5652173913043478,0.8502336448598131,0.9225708502024292,-0.029682026720642716,0.037055678572501756
ES,15,E,1286,1286,0,0.022932429282680453,0.036375661375661374,-0.7921960072595282,-0.7024151811385855,-0.4271978021978022,0.036375661375661374,0.4872468117029257,0.7226495726495726,0.8135901162790697,-0.004487690145692136,0.05070776365338093
ES,30,R,1286,1286,0,0.33145412130637636,0.25,-18.4375,-12.375,-5.25,0.25,5.75,13.125,19.6875,-0.24976185847589424,0.9297531104199066
ES,30,U,1286,1286,0,8.216757387247279,5.75,0.5,1.0,2.5,5.75,10.75,18.5,24.5,7.788476866251944,8.68849630637636
ES,30,D,1286,1286,0,8.449261275272162,5.75,0.5,0.75,2.5,5.75,11.5,19.875,24.5,8.01047336702955,8.887757581648522
ES,30,Q,1286,1286,0,-0.003344762938354355,-0.0343108504398827,-0.9041811846689896,-0.821952185972791,-0.5550161812297735,-0.0343108504398827,0.5675675675675675,0.8509259259259259,0.9252136752136753,-0.037278156816450914,0.02933879598294289
ES,30,E,1286,1286,0,0.03664411170490795,0.024876644736842105,-0.7796437218955379,-0.6833751044277361,-0.4258274231678487,0.024876644736842105,0.5056050288108958,0.7464285714285714,0.8378378378378378,0.008946031648638754,0.06417478613401648
ES,60,R,1285,1285,0,0.27509727626459146,0.75,-24.7,-17.25,-7.25,0.75,7.5,17.400000000000034,25.399999999999977,-0.49845817120622565,1.0642120622568094
ES,60,U,1285,1285,0,10.684046692607003,7.25,0.5,1.25,3.25,7.25,14.0,24.650000000000034,33.19999999999999,10.084299610894941,11.232976653696499
ES,60,D,1285,1285,0,11.385408560311284,7.75,0.5,1.0,3.0,7.75,15.75,25.900000000000034,34.44999999999999,10.747801556420233,11.959980544747081
ES,60,Q,1285,1285,0,-0.014429105081390486,-0.03636363636363636,-0.9117126496616346,-0.8424600827912477,-0.5897435897435898,-0.03636363636363636,0.55,0.85044776119403,0.9327131782945736,-0.048577300786483396,0.0198965370739761
ES,60,E,1285,1285,0,0.040801650365904614,0.06666666666666667,-0.7777777777777778,-0.6906744868035191,-0.4444444444444444,0.06666666666666667,0.49557522123893805,0.75,0.8532549019607844,0.014469535859293696,0.0702662414324094
NQ,1,R,1284,1284,0,1.5983255451713396,0.75,-18.25,-13.174999999999997,-5.0,0.75,7.5,17.25,24.25,0.877798870716511,2.2860494548286594
NQ,1,U,1284,1284,0,10.33781152647975,7.25,0.75,1.5,3.25,7.25,13.75,23.5,30.75,9.795760319314642,10.881741627725855
NQ,1,D,1284,1284,0,9.361565420560748,6.75,0.5,1.0,2.75,6.75,12.75,21.17500000000001,28.5,8.84797507788162,9.88254964953271
NQ,1,Q,1284,1284,0,0.049425259387735565,0.06731391585760518,-0.8787088274044795,-0.7876853642811089,-0.46891288160833955,0.06731391585760518,0.5714285714285714,0.8559010309278351,0.9304037005887297,0.018242755092250016,0.08400470341604496
NQ,1,E,1284,1284,0,0.06716016789500087,0.07392228293867638,-0.7432757718472004,-0.6270348837209302,-0.3793103448275862,0.07392228293867638,0.5124643874643875,0.7449728827701293,0.8428447150935188,0.04161155798069518,0.09371885234960232
NQ,3,R,1284,1284,0,1.5683411214953271,1.0,-34.75,-24.0,-10.5,1.0,14.0,28.25,39.0,0.2606016355140188,2.863205802180685
NQ,3,U,1284,1284,0,17.27570093457944,12.5,1.25,2.25,5.75,12.5,23.5,39.92500000000001,50.5,16.348130841121495,18.19435845015576
NQ,3,D,1284,1284,0,15.49493769470405,10.75,0.75,1.5,4.5,10.75,21.75,35.5,46.88749999999993,14.67389992211838,16.31499707943925
NQ,3,Q,1284,1284,0,0.04899322273849151,0.0693664795509222,-0.8782290562036056,-0.8128556910569106,-0.4846141830677913,0.0693664795509222,0.5774291497975708,0.8754186602870814,0.9375,0.017184483729562168,0.0807288012007077
NQ,3,E,1284,1284,0,0.041011628279385134,0.06698717948717949,-0.7950641848523748,-0.7012539184952978,-0.45454545454545453,0.06698717948717949,0.5299417064122947,0.7601397679324895,0.8376906438910763,0.010334851945259918,0.07081950289296618
NQ,5,R,1284,1284,0,0.2918613707165109,1.0,-44.7125,-33.175,-14.75,1.0,14.25,32.85000000000002,44.21249999999998,-1.2485251168224298,1.72757496105919
NQ,5,U,1284,1284,0,20.437305295950157,14.5,1.2875000000000014,2.5,7.0,14.5,27.8125,47.75,56.71249999999998,19.425204439252337,21.45492601246106
NQ,5,D,1284,1284,0,19.180295950155763,13.25,1.0,2.0,5.75,13.25,26.5,45.25,58.75,18.233693535825545,20.248491043613708
NQ,5,Q,1284,1284,0,0.032479497311514956,0.030640958832725378,-0.8902238005896542,-0.8065052010557366,-0.4979050279329609,0.030640958832725378,0.5870061657912765,0.8618641174462274,0.9362937062937062,0.00012908081483946983,0.0622155825713192
NQ,5,E,1284,1284,0,0.01563667416152844,0.03501110855741975,-0.8077738592824799,-0.7050651534258092,-0.47526280405818355,0.03501110855741975,0.498015873015873,0.7315151515151518,0.8265599815795531,-0.011883976348495785,0.042860907859793844
NQ,10,R,1284,1284,0,0.4067367601246106,0.75,-63.56249999999999,-45.27499999999999,-18.3125,0.75,19.8125,44.67500000000001,63.21249999999998,-1.7419295171339564,2.546621884735202
NQ,10,U,1284,1284,0,26.643496884735203,19.0,1.5,3.325000000000003,8.75,19.0,36.0,60.67500000000001,76.5,25.353767523364485,27.97456191588785
NQ,10,D,1284,1284,0,26.15401090342679,17.75,1.25,2.5,7.5,17.75,35.25,61.92500000000001,78.75,24.822264408099688,27.625068146417444
NQ,10,Q,1284,1284,0,0.019969698178109098,-0.008032902769744875,-0.9045314900153609,-0.8168573376770967,-0.5205878125898247,-0.008032902769744875,0.6011299435028248,0.8592407592407594,0.9459267563527651,-0.0119262360922517,0.0519559841505264
NQ,10,E,1284,1284,0,0.027490947004424292,0.03258312119108231,-0.8032870504490336,-0.7242739403453688,-0.46279376235449154,0.03258312119108231,0.5119070482043403,0.7766608118187726,0.8512605889471561,-0.0029552708341154944,0.05687003271556365
NQ,15,R,1284,1284,0,0.3382009345794392,1.75,-73.7125,-49.02499999999999,-19.8125,1.75,21.8125,48.67500000000001,67.67499999999995,-1.9784170560747663,2.6277501947040496
NQ,15,U,1284,1284,0,30.154205607476637,21.75,1.75,3.75,9.75,21.75,41.3125,67.25,89.59999999999991,28.69503504672897,31.742518496884735
NQ,15,D,1284,1284,0,30.3547507788162,20.75,1.25,2.75,8.25,20.75,41.3125,73.75,93.13749999999993,28.760927764797508,32.107729750778816
NQ,15,Q,1284,1284,0,0.019391699046295872,0.014235055724417425,-0.9046997929606625,-0.827887323943662,-0.5299903461154984,0.014235055724417425,0.5950774612693653,0.8603675394373068,0.94846455527601,-0.012161435277787092,0.05241391558974357
NQ,15,E,1284,1284,0,0.029916231612494952,0.05497985031663788,-0.8139097744360901,-0.7217265846736045,-0.438125,0.05497985031663788,0.5091187953151143,0.758448137228625,0.8331888246628131,0.0010857459704089925,0.05785741395281004
NQ,30,R,1284,1284,0,1.876752336448598,2.75,-87.675,-60.099999999999994,-23.5,2.75,28.5,64.25,91.71249999999998,-0.8580996884735203,4.7408878504672884
NQ,30,U,1284,1284,0,38.14933800623053,26.25,2.25,4.75,12.25,26.25,52.25,89.62500000000006,110.96249999999998,36.334345794392526,40.2292445482866
NQ,30,D,1284,1284,0,39.10942367601246,27.0,1.5,3.5,10.75,27.0,54.5,92.35000000000002,115.56249999999989,36.97352998442368,41.144718652647974
NQ,30,Q,1284,1284,0,0.007746000018293874,-0.017442450055775275,-0.9109612983770287,-0.8222017661559584,-0.5575221238938053,-0.017442450055775275,0.5804232804232805,0.8610683653803717,0.9481810796172594,-0.02503116276329434,0.040912698078279845
NQ,30,E,1284,1284,0,0.04790732575348985,0.07052562550443905,-0.78818510282567,-0.681056163899682,-0.4299938177203657,0.07052562550443905,0.5087944664031621,0.7587129288621827,0.8364626284917823,0.020780431555957816,0.07913593947206836
NQ,60,R,1283,1283,0,1.4583008573655496,2.25,-118.32499999999996,-79.64999999999999,-34.375,2.25,36.0,82.59999999999997,112.69999999999993,-1.9804705767731878,5.398592166796569
NQ,60,U,1283,1283,0,48.18939984411536,32.5,2.775000000000002,6.0,14.75,32.5,66.0,111.39999999999998,144.64999999999986,45.51220284489478,50.83237529228371
NQ,60,D,1283,1283,0,50.747661730319564,34.0,1.7750000000000021,4.25,13.125,34.0,69.0,118.75,160.22499999999997,47.90817420109119,53.32183846453624
NQ,60,Q,1283,1283,0,-0.002712632597092238,-0.032407407407407406,-0.9250265934048356,-0.831919923989659,-0.5515030946065429,-0.032407407407407406,0.5731538992408558,0.8576507936507936,0.9476164232570955,-0.035989266333444674,0.036529168830810504
NQ,60,E,1283,1283,0,0.04656998583548838,0.051470588235294115,-0.7830511083743843,-0.6869227029654836,-0.4183418736039942,0.051470588235294115,0.5229667088074168,0.7760730593607306,0.852272199786473,0.019857353996040883,0.07781529069865885
