instrument,horizon,metric,year,n,mean,note
NQ,15,Q,2021,258,0.012078062867864689,
NQ,15,Q,2022,258,-0.01830751495121965,
NQ,30,R,2018,256,1.0947265625,
NQ,30,R,2019,257,2.019455252918288,
NQ,30,R,2020,255,3.069607843137255,
NQ,30,R,2021,258,2.729651162790698,
NQ,30,R,2022,258,0.4786821705426357,
NQ,30,Q,2018,256,0.03381137610590682,
NQ,30,Q,2019,257,0.0010153414963595011,
NQ,30,Q,2020,255,0.0022147948757994707,
NQ,30,Q,2021,258,0.015066158643924781,
NQ,30,Q,2022,258,-0.013266018014142098,
NQ,60,R,2018,256,0.291015625,
NQ,60,R,2019,257,3.252918287937743,
NQ,60,R,2020,254,5.631889763779528,
NQ,60,R,2021,258,1.2936046511627908,
NQ,60,R,2022,258,-3.11531007751938,
NQ,60,Q,2018,256,0.02266292609502605,
NQ,60,Q,2019,257,-0.022053852400660334,
NQ,60,Q,2020,254,0.014827478896963597,
NQ,60,Q,2021,258,0.0015532805146771895,
NQ,60,Q,2022,258,-0.030159312589309175,
