instrument,feature,window,horizon,target,n_valid,pearson_r,pearson_ci_lo,pearson_ci_hi,spearman_rho,spearman_ci_lo,spearman_ci_hi,p_raw_approx,significant_bonf,quintile_monotonicity_spearman,cov100_acc,cov50_acc,cov30_acc,cov15_acc,bull_bear_diff,bull_bear_diff_ci_lo,bull_bear_diff_ci_hi,spearman_drop_top_outlier
ES,close_location,15,15,R,1240,0.029948906942331613,-0.023828621643456983,0.08871972276285828,0.011967448834125635,-0.04442780001462222,0.06822399840772145,0.6826564949551583,False,0.7,0.49581939799331104,0.5081699346405228,0.5122615803814714,0.5191256830601093,0.44667207792207797,-0.5983357683982684,1.4210458603896097,0.010629467952838045
ES,close_location,15,15,Q,1240,-0.02566289705736359,-0.0836063092395033,0.03287559955791887,-0.02481234776822051,-0.08163372200083414,0.036203625432049705,0.39655424188375643,False,-0.6,0.49165275459098495,0.5057283142389526,0.49591280653950953,0.5136612021857924,-0.045132502643368766,-0.114942218820981,0.02948095111768331,-0.027169860558184673
ES,close_location,15,30,R,1240,0.023821727852513422,-0.032595898161533805,0.07718832594640569,0.015050486976643095,-0.040795390646725944,0.06726490497087524,0.6071260795025695,False,0.19999999999999998,0.4929343308395677,0.48697068403908794,0.4986376021798365,0.5136612021857924,0.575189393939394,-0.7347265963203462,1.7985321969696955,0.014134026101352119
ES,close_location,15,30,Q,1240,-0.005612619005400664,-0.05927021903750153,0.04671279846010975,-0.00569728690194622,-0.06373500631201592,0.04808006892845815,0.8456843966769403,False,0.09999999999999999,0.5091362126245847,0.5292207792207793,0.5353260869565217,0.5355191256830601,-0.019798093988676983,-0.09659715520456928,0.04796736933675767,-0.007955645991826816
ES,close_location,30,5,R,1240,-0.004075282199026276,-0.06285351912268677,0.05757388078213958,-0.0030167319237663893,-0.057010038729454295,0.05596642043454114,0.9179191527057577,False,0.19999999999999998,0.478369384359401,0.4852941176470588,0.5163043478260869,0.5409836065573771,-0.11294842452629339,-0.7502452030551415,0.5004854494890352,-0.004806388569111188
ES,close_location,30,5,Q,1240,-0.06695357105797901,-0.12470533416871113,-0.010946286179461681,-0.06606575022578526,-0.12293068966043708,-0.008812733897448364,0.02381062674995693,False,-0.7,0.47753743760399336,0.4639344262295082,0.48484848484848486,0.5136612021857924,-0.09084474291823881,-0.15343067085849268,-0.030760592417712222,-0.06843824021988917
ES,close_location,30,10,R,1240,0.019085308407990765,-0.039180567848964884,0.07875097881744919,0.012764382193407947,-0.04523048951903676,0.07060565901659067,0.6627866019169026,False,-0.09999999999999999,0.4995850622406639,0.5024630541871922,0.5040871934604905,0.5081967213114754,0.3340909090909091,-0.6352855878752396,1.2117070736640405,0.01077642182743262
ES,close_location,30,10,Q,1240,-0.03995603445647414,-0.09906432156392313,0.021703586855831385,-0.03939596825613642,-0.09925565840377819,0.022799687878305195,0.1781391514234354,False,-0.7,0.48514851485148514,0.48697068403908794,0.5054054054054054,0.5271739130434783,-0.06334789964323853,-0.12843449773426502,0.006847389898482541,-0.04179498982582502
ES,close_location,30,15,R,1240,0.03579110049206052,-0.01898329947849014,0.09445117066356935,0.01767174561873912,-0.03697141384023558,0.07173624522492882,0.5460103843701924,False,0.3,0.4946058091286307,0.513911620294599,0.5287671232876713,0.5191256830601093,0.5008582605918671,-0.512915092080051,1.6050608433574605,0.01635460621381685
ES,close_location,30,15,Q,1240,-0.03162509211974415,-0.08827884854438024,0.02741692543762291,-0.029833994633990012,-0.08660081522150027,0.03096147512002843,0.3079823677346649,False,-0.6,0.49337748344370863,0.4959083469721768,0.5068119891008175,0.5081967213114754,-0.053771973278347554,-0.11664733632861689,0.010940860444952948,-0.03220873250775825
ES,close_location,30,30,R,1240,0.019793316071830575,-0.04015697834787268,0.08034425816088914,0.010348384573636588,-0.041509786834748146,0.0650423045862966,0.7236949816944624,False,0.3,0.4814509480626546,0.4730831973898858,0.4822888283378747,0.5108695652173914,0.05174180327868855,-1.2197327749095168,1.4460404912710234,0.009426189847966294
ES,close_location,30,30,Q,1240,-0.010746220912035358,-0.06452120084835093,0.04101540250843651,-0.010144955982030185,-0.06423400353820088,0.04138380260880826,0.7289107788480274,False,-0.3,0.5,0.5275974025974026,0.5392953929539296,0.5355191256830601,-0.03785237731915374,-0.1005471652599774,0.03826125183543604,-0.012418748715314025
ES,close_location,60,5,R,1240,0.0066895612525386195,-0.052941705104368186,0.06792805954252548,0.009495947047589548,-0.04831990397496255,0.06422894996227092,0.7456338569073089,False,0.09999999999999999,0.4904722452361226,0.4934640522875817,0.5231607629427792,0.5604395604395604,0.14323970985155196,-0.5354772899797571,0.7857179381747632,0.0077346246911545275
ES,close_location,60,5,Q,1240,-0.04975053347443976,-0.10695704809835,0.008284250072958289,-0.05038852042082302,-0.10752804320291358,0.008075112329612399,0.08492712173235972,False,-0.7,0.48218724109362054,0.47549019607843135,0.5041095890410959,0.5081967213114754,-0.06778683602389979,-0.13147204991680955,-0.0005131467295873193,-0.05272711196026788
ES,close_location,60,10,R,1240,0.02626307644709369,-0.028659676673309882,0.0870400210895651,0.02422769958286256,-0.0342788793877717,0.08288945833623383,0.4077798114453228,False,0.0,0.5057851239669422,0.5115131578947368,0.5204359673024523,0.5,0.583797233468286,-0.317578125,1.38359005988529,0.022261334988843095
ES,close_location,60,10,Q,1240,-0.018612084668260056,-0.07610849109170559,0.04537399422496491,-0.02076698704356121,-0.07922020219935293,0.042378264389337936,0.47799859024210534,False,-0.7,0.49835796387520526,0.4943089430894309,0.5094850948509485,0.5217391304347826,-0.0307726938880864,-0.09674113662487524,0.03636793781359798,-0.02312622862999291
ES,close_location,60,15,R,1240,0.028827400033099575,-0.029698763129776744,0.08916274388994937,0.016593000108490776,-0.03528780461665222,0.06857195409753068,0.5707907814118425,False,0.39999999999999997,0.504950495049505,0.5073891625615764,0.5342465753424658,0.5384615384615384,0.6671411099865048,-0.3510269062078272,1.5803783421896072,0.015281795873766522
ES,close_location,60,15,Q,1240,-0.017967805963969546,-0.07442862027999378,0.044522287947074635,-0.01826343279691665,-0.07499680575827626,0.04508551683923637,0.5326483136525193,False,-0.6,0.5057660626029654,0.5016393442622951,0.5192307692307693,0.5136612021857924,-0.0275460911114306,-0.09233106377263012,0.03556684787670717,-0.020614788863674332
ES,close_location,60,30,R,1240,0.013762328138822498,-0.04296156779213361,0.07617923948319177,0.009510659653239524,-0.0434331197893804,0.06522038204122522,0.7452533929244183,False,-0.09999999999999999,0.4901639344262295,0.47479674796747967,0.49318801089918257,0.5217391304347826,0.308356528340081,-1.0395780617408907,1.468339342948718,0.008595383299070686
ES,close_location,60,30,Q,1240,0.002410789553296506,-0.051774366784500654,0.06028872852334041,0.0012232212187893198,-0.05343138050134023,0.058445732454083354,0.9666688093609672,False,-0.09999999999999999,0.5073770491803279,0.5260586319218241,0.5486486486486486,0.5434782608695652,-0.009663323447235634,-0.07254877273987446,0.057753221517645274,-0.0010276097017901098
ES,signed_efficiency,1,5,R,1180,0.010877565286008584,-0.04377595752904535,0.061782814353581635,0.005833038899038855,-0.04862657070051735,0.058988408969730816,0.8458841242079502,False,,0.49524632670700086,0.4834782608695652,0.43768115942028984,0.43023255813953487,0.1250730975200136,-0.5596792279173473,0.7933906158628093,0.0063923424034641445
ES,signed_efficiency,1,5,Q,1180,-0.03278818886285083,-0.09175915293893408,0.020561887056559067,-0.0340068028752579,-0.09326187803203026,0.01958948658941205,0.25695277237672665,False,,0.4874675885911841,0.46539792387543255,0.43352601156069365,0.40350877192982454,-0.03864554650883535,-0.10974855558579341,0.039081244342010026,-0.0335819631814624
ES,signed_efficiency,1,10,R,1180,0.012086282527423853,-0.03739024155069846,0.06364661062075087,0.009784254856535292,-0.04428093965038003,0.06148704830364754,0.7443906665774196,False,,0.5038759689922481,0.4991364421416235,0.5174418604651163,0.5321637426900585,0.1957926075721829,-0.791354363813919,1.14911789657745,0.010465229423099243
ES,signed_efficiency,1,10,Q,1180,-0.006663685664754768,-0.060672749923686806,0.04375046211739476,-0.008094311535580892,-0.06292718991432712,0.04264279659663871,0.787370154647721,False,,0.49871685201026517,0.49140893470790376,0.4785100286532951,0.49710982658959535,-0.007970839629949638,-0.07740190554357658,0.06825444341558143,-0.0073796972080105725
