instrument,side,freshness,activation_window,horizon_min,year,n_observations,rev_minus_brk_first_rate,median_signed_close_atr,same_bar_reversal_rate,same_bar_breakthrough_rate,sign
ES,lower,PRETOUCHED,WITHIN_10MIN,3,2022,66,-0.015151515151515152,0.031677018633540374,0.3787878787878788,0.3333333333333333,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,5,2018,42,0.07142857142857142,0.0,0.4523809523809524,0.19047619047619047,0.0
ES,lower,PRETOUCHED,WITHIN_10MIN,5,2019,56,0.0,0.09722222222222221,0.5892857142857143,0.125,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,5,2020,40,0.15,0.10884857460199926,0.625,0.075,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,5,2021,51,0.1568627450980392,0.07246376811594203,0.5294117647058824,0.1568627450980392,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,5,2022,66,0.030303030303030304,0.01,0.3787878787878788,0.3333333333333333,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,10,2018,42,0.11904761904761904,0.1335294117647059,0.4523809523809524,0.19047619047619047,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,10,2019,56,0.03571428571428571,0.022727272727272728,0.5892857142857143,0.125,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,10,2020,40,0.25,0.11442483262325015,0.625,0.075,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,10,2021,51,0.23529411764705882,0.12643678160919541,0.5294117647058824,0.1568627450980392,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,10,2022,66,0.030303030303030304,0.013276397515527949,0.3787878787878788,0.3333333333333333,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,15,2018,42,0.11904761904761904,0.08514492753623187,0.4523809523809524,0.19047619047619047,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,15,2019,56,0.05357142857142857,0.036111111111111115,0.5892857142857143,0.125,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,15,2020,40,0.275,0.26944971537001894,0.625,0.075,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,15,2021,51,0.27450980392156865,0.09259259259259259,0.5294117647058824,0.1568627450980392,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,15,2022,66,0.0,-0.008403361344537815,0.3787878787878788,0.3333333333333333,-1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,30,2018,42,0.14285714285714285,0.05357142857142857,0.4523809523809524,0.19047619047619047,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,30,2019,56,0.10714285714285714,0.016129032258064516,0.5892857142857143,0.125,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,30,2020,40,0.375,0.3035185185185185,0.625,0.075,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,30,2021,51,0.35294117647058826,0.12389380530973451,0.5294117647058824,0.1568627450980392,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,30,2022,66,0.045454545454545456,0.0,0.3787878787878788,0.3333333333333333,0.0
ES,lower,PRETOUCHED,WITHIN_10MIN,60,2018,42,0.07142857142857142,0.06521739130434782,0.4523809523809524,0.19047619047619047,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,60,2019,56,0.10714285714285714,0.0,0.5892857142857143,0.125,0.0
ES,lower,PRETOUCHED,WITHIN_10MIN,60,2020,40,0.375,0.11577013030404276,0.625,0.075,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,60,2021,51,0.3333333333333333,0.08490566037735849,0.5294117647058824,0.1568627450980392,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,60,2022,66,0.0,0.0,0.3787878787878788,0.3333333333333333,0.0
ES,lower,PRETOUCHED,WITHIN_15MIN,1,2018,56,0.0,0.06266149870801033,0.5,0.17857142857142858,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,1,2019,70,0.02857142857142857,0.029386529386529386,0.5857142857142857,0.11428571428571428,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,1,2020,51,0.0,0.0136986301369863,0.6078431372549019,0.09803921568627451,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,1,2021,60,0.0,0.020032840722495893,0.5333333333333333,0.13333333333333333,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,1,2022,67,0.0,0.0,0.3880597014925373,0.3283582089552239,0.0
ES,lower,PRETOUCHED,WITHIN_15MIN,3,2018,56,0.0,0.020833333333333332,0.5,0.17857142857142858,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,3,2019,70,0.02857142857142857,0.0136986301369863,0.5857142857142857,0.11428571428571428,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,3,2020,51,0.09803921568627451,0.1111111111111111,0.6078431372549019,0.09803921568627451,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,3,2021,60,0.03333333333333333,0.0,0.5333333333333333,0.13333333333333333,0.0
ES,lower,PRETOUCHED,WITHIN_15MIN,3,2022,67,-0.014925373134328358,0.02857142857142857,0.3880597014925373,0.3283582089552239,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,5,2018,56,0.03571428571428571,0.0,0.5,0.17857142857142858,0.0
ES,lower,PRETOUCHED,WITHIN_15MIN,5,2019,70,0.0,0.08134920634920634,0.5857142857142857,0.11428571428571428,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,5,2020,51,0.11764705882352941,0.07407407407407407,0.6078431372549019,0.09803921568627451,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,5,2021,60,0.13333333333333333,0.07781813290287867,0.5333333333333333,0.13333333333333333,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,5,2022,67,0.029850746268656716,0.0,0.3880597014925373,0.3283582089552239,0.0
ES,lower,PRETOUCHED,WITHIN_15MIN,10,2018,56,0.03571428571428571,0.052740863787375414,0.5,0.17857142857142858,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,10,2019,70,0.04285714285714286,0.039968652037617555,0.5857142857142857,0.11428571428571428,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,10,2020,51,0.21568627450980393,0.0410958904109589,0.6078431372549019,0.09803921568627451,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,10,2021,60,0.21666666666666667,0.13078595837216528,0.5333333333333333,0.13333333333333333,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,10,2022,67,0.029850746268656716,0.017857142857142856,0.3880597014925373,0.3283582089552239,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,15,2018,56,0.05357142857142857,0.05405405405405406,0.5,0.17857142857142858,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,15,2019,70,0.07142857142857142,0.02835249042145594,0.5857142857142857,0.11428571428571428,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,15,2020,51,0.21568627450980393,0.175,0.6078431372549019,0.09803921568627451,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,15,2021,60,0.21666666666666667,0.0973167044595616,0.5333333333333333,0.13333333333333333,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,15,2022,67,0.0,0.0,0.3880597014925373,0.3283582089552239,0.0
ES,lower,PRETOUCHED,WITHIN_15MIN,30,2018,56,0.08928571428571429,0.05357142857142857,0.5,0.17857142857142858,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,30,2019,70,0.1,0.03398617511520737,0.5857142857142857,0.11428571428571428,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,30,2020,51,0.2549019607843137,0.23404255319148937,0.6078431372549019,0.09803921568627451,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,30,2021,60,0.3,0.12444690265486726,0.5333333333333333,0.13333333333333333,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,30,2022,67,0.05970149253731343,0.0,0.3880597014925373,0.3283582089552239,0.0
ES,lower,PRETOUCHED,WITHIN_15MIN,60,2018,56,0.03571428571428571,0.025,0.5,0.17857142857142858,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,60,2019,70,0.1,0.021739130434782608,0.5857142857142857,0.11428571428571428,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,60,2020,51,0.27450980392156865,0.1095890410958904,0.6078431372549019,0.09803921568627451,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,60,2021,60,0.2833333333333333,0.06923854447439352,0.5333333333333333,0.13333333333333333,1.0
ES,lower,PRETOUCHED,WITHIN_15MIN,60,2022,67,0.014925373134328358,0.0,0.3880597014925373,0.3283582089552239,0.0
ES,lower,PRETOUCHED,WITHIN_30MIN,1,2018,66,0.0,0.054804804804804805,0.5303030303030303,0.16666666666666666,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,1,2019,78,0.02564102564102564,0.009433962264150943,0.5769230769230769,0.11538461538461539,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,1,2020,63,0.0,0.0,0.5555555555555556,0.12698412698412698,0.0
ES,lower,PRETOUCHED,WITHIN_30MIN,1,2021,72,0.0,0.018214055448098003,0.4861111111111111,0.1527777777777778,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,1,2022,80,0.0,0.0,0.4125,0.2875,0.0
ES,lower,PRETOUCHED,WITHIN_30MIN,3,2018,66,0.015151515151515152,0.0,0.5303030303030303,0.16666666666666666,0.0
ES,lower,PRETOUCHED,WITHIN_30MIN,3,2019,78,0.02564102564102564,0.0136986301369863,0.5769230769230769,0.11538461538461539,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,3,2020,63,0.047619047619047616,0.0,0.5555555555555556,0.12698412698412698,0.0
ES,lower,PRETOUCHED,WITHIN_30MIN,3,2021,72,0.041666666666666664,0.0,0.4861111111111111,0.1527777777777778,0.0
ES,lower,PRETOUCHED,WITHIN_30MIN,3,2022,80,-0.0125,0.031677018633540374,0.4125,0.2875,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,5,2018,66,0.045454545454545456,0.0,0.5303030303030303,0.16666666666666666,0.0
ES,lower,PRETOUCHED,WITHIN_30MIN,5,2019,78,0.0,0.07671957671957672,0.5769230769230769,0.11538461538461539,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,5,2020,63,0.06349206349206349,0.05172413793103448,0.5555555555555556,0.12698412698412698,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,5,2021,72,0.125,0.07436747727831,0.4861111111111111,0.1527777777777778,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,5,2022,80,0.0375,0.01,0.4125,0.2875,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,10,2018,66,0.045454545454545456,0.03416149068322981,0.5303030303030303,0.16666666666666666,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,10,2019,78,0.038461538461538464,0.017241379310344827,0.5769230769230769,0.11538461538461539,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,10,2020,63,0.15873015873015872,0.0410958904109589,0.5555555555555556,0.12698412698412698,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,10,2021,72,0.18055555555555555,0.05319148936170213,0.4861111111111111,0.1527777777777778,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,10,2022,80,0.0625,0.026118555530320237,0.4125,0.2875,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,15,2018,66,0.06060606060606061,0.06406995230524642,0.5303030303030303,0.16666666666666666,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,15,2019,78,0.07692307692307693,0.026262626262626265,0.5769230769230769,0.11538461538461539,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,15,2020,63,0.1746031746031746,0.16666666666666666,0.5555555555555556,0.12698412698412698,1.0
ES,lower,PRETOUCHED,WITHIN_30MIN,15,2021,72,0.18055555555555555,0.06350806451612903,0.4861111111111111,0.1527777777777778,1.0
