instrument,side,freshness,activation_window,horizon_min,n_observations,n_nontied,rev_minus_brk_first_rate,median_signed_close_atr,binom_p,is_primary,q_value,n_years_ge10,max_year_sign_agreement,effect_pp,classification
ES,lower,PRETOUCHED,WITHIN_60MIN,15,411,193,0.0705596107055961,0.022222222222222223,0.04357407848555546,False,0.16378510942790633,5,5,7.0559610705596105,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_60MIN,30,411,303,0.10948905109489052,0.07894736842105263,0.011357328891835723,False,0.07572115384615384,5,4,10.948905109489052,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_60MIN,60,411,364,0.0827250608272506,0.0625,0.08354814523249121,False,0.2599275629455282,5,4,8.27250608272506,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_10AM_CANDLE,10,67,25,-0.04477611940298507,0.036585365853658534,0.6900379657745361,False,0.8986540949621866,4,3,-4.477611940298507,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_10AM_CANDLE,15,67,35,0.07462686567164178,0.0,0.4995598332025112,False,0.7483552631578947,4,3,7.462686567164178,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_10AM_CANDLE,30,67,47,0.04477611940298507,-0.02857142857142857,0.7708669945730263,False,0.9227061170212766,4,3,4.477611940298507,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_10AM_CANDLE,60,67,56,0.029850746268656716,0.06666666666666667,0.8938530948350216,False,1.0,4,4,2.9850746268656714,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_5MIN,10,100,35,-0.05,0.03278543655001767,0.4995598332025112,False,0.7483552631578947,5,3,-5.0,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_5MIN,15,100,55,0.03,0.0,0.7877061896700431,False,0.9319340835532904,5,2,3.0,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_5MIN,30,100,70,0.0,0.027777777777777776,1.0,False,1.0,5,3,0.0,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_5MIN,60,100,85,-0.01,0.03018018018018018,1.0,False,1.0,5,3,-1.0,MIXED_OR_NULL
ES,lower,PRISTINE,WITHIN_10MIN,10,128,43,-0.0078125,0.04178716020821284,1.0,False,1.0,5,4,-0.78125,MIXED_OR_NULL
