instrument,session,direction,year,state,n,resolved,reversal_rate,median_progress_ratio
NQ,LONDON,-1,2018,HIGH_VOLUME_DECAY,34,29,0.41379310344827586,0.0480549199084668
NQ,LONDON,-1,2018,LOW_VOLUME_DECAY_CONTROL,24,23,0.5652173913043478,0.01666666666666665
NQ,LONDON,-1,2019,HIGH_VOLUME_DECAY,35,28,0.42857142857142855,0.0253164556962025
NQ,LONDON,-1,2019,LOW_VOLUME_DECAY_CONTROL,33,32,0.40625,0.0
NQ,LONDON,-1,2020,HIGH_VOLUME_DECAY,37,34,0.5,0.0757575757575757
NQ,LONDON,-1,2020,LOW_VOLUME_DECAY_CONTROL,25,25,0.52,0.0
NQ,LONDON,-1,2021,HIGH_VOLUME_DECAY,29,26,0.5384615384615384,0.0833333333333333
NQ,LONDON,-1,2021,LOW_VOLUME_DECAY_CONTROL,21,19,0.47368421052631576,0.0
NQ,LONDON,-1,2022,HIGH_VOLUME_DECAY,38,37,0.35135135135135137,0.049163879598662155
NQ,LONDON,-1,2022,LOW_VOLUME_DECAY_CONTROL,26,22,0.5,0.06117334905660375
NQ,LONDON,1,2018,HIGH_VOLUME_DECAY,38,30,0.6333333333333333,0.03869047619047615
NQ,LONDON,1,2018,LOW_VOLUME_DECAY_CONTROL,28,24,0.5833333333333334,0.0533333333333333
NQ,LONDON,1,2019,HIGH_VOLUME_DECAY,46,35,0.6285714285714286,0.0801282051282051
NQ,LONDON,1,2019,LOW_VOLUME_DECAY_CONTROL,41,39,0.5897435897435898,0.0357142857142857
NQ,LONDON,1,2020,HIGH_VOLUME_DECAY,43,33,0.45454545454545453,0.0680272108843537
NQ,LONDON,1,2020,LOW_VOLUME_DECAY_CONTROL,47,40,0.575,0.0383141762452107
NQ,LONDON,1,2021,HIGH_VOLUME_DECAY,33,28,0.5357142857142857,0.0344827586206896
NQ,LONDON,1,2021,LOW_VOLUME_DECAY_CONTROL,32,29,0.5172413793103449,0.050862068965517204
NQ,LONDON,1,2022,HIGH_VOLUME_DECAY,44,41,0.36585365853658536,0.0912162162162162
NQ,LONDON,1,2022,LOW_VOLUME_DECAY_CONTROL,36,35,0.37142857142857144,0.0227732793522267
NQ,NEW_YORK,-1,2018,HIGH_VOLUME_DECAY,29,28,0.42857142857142855,0.0977443609022556
NQ,NEW_YORK,-1,2018,LOW_VOLUME_DECAY_CONTROL,20,16,0.4375,0.019852941176470552
NQ,NEW_YORK,-1,2019,HIGH_VOLUME_DECAY,27,20,0.55,0.0140845070422535
