instrument,session_date,n_clustered_pairs
ES,2018-05-18,8
ES,2018-05-21,12
ES,2018-05-22,10
ES,2018-05-23,5
ES,2018-05-24,9
ES,2018-05-25,7
ES,2018-05-28,8
ES,2018-05-29,4
ES,2018-05-30,5
ES,2018-05-31,6
ES,2018-06-01,7
ES,2018-06-04,7
ES,2018-06-05,12
ES,2018-06-06,16
ES,2018-06-07,11
ES,2018-06-08,9
ES,2018-06-11,14
ES,2018-06-12,10
ES,2018-06-13,19
ES,2018-06-14,6
ES,2018-06-15,8
ES,2018-06-18,9
ES,2018-06-19,6
ES,2018-06-20,11
ES,2018-06-21,14
ES,2018-06-22,13
ES,2018-06-25,12
ES,2018-06-26,9
ES,2018-06-27,10
ES,2018-06-28,8
ES,2018-06-29,11
ES,2018-07-02,7
ES,2018-07-03,7
ES,2018-07-04,9
ES,2018-07-05,5
ES,2018-07-06,15
ES,2018-07-09,11
ES,2018-07-10,15
ES,2018-07-11,14
ES,2018-07-12,8
ES,2018-07-13,5
ES,2018-07-16,13
ES,2018-07-17,9
ES,2018-07-18,8
ES,2018-07-19,10
ES,2018-07-20,7
ES,2018-07-23,13
ES,2018-07-24,8
ES,2018-07-25,9
ES,2018-07-26,9
ES,2018-07-27,12
ES,2018-07-30,10
ES,2018-07-31,7
ES,2018-08-01,9
ES,2018-08-02,10
ES,2018-08-03,10
ES,2018-08-06,15
ES,2018-08-07,18
ES,2018-08-08,10
ES,2018-08-09,15
ES,2018-08-10,9
ES,2018-08-13,7
ES,2018-08-14,11
ES,2018-08-15,9
ES,2018-08-16,9
ES,2018-08-17,8
ES,2018-08-20,10
ES,2018-08-21,8
ES,2018-08-22,13
ES,2018-08-23,15
ES,2018-08-24,23
ES,2018-08-27,12
ES,2018-08-28,10
ES,2018-08-29,15
ES,2018-08-30,11
ES,2018-08-31,7
ES,2018-09-03,14
ES,2018-09-04,9
ES,2018-09-05,10
ES,2018-09-06,11
ES,2018-09-07,11
ES,2018-09-10,9
ES,2018-09-11,7
ES,2018-09-12,9
ES,2018-09-13,13
ES,2018-09-14,15
ES,2018-09-17,10
ES,2018-09-18,13
ES,2018-09-19,8
ES,2018-09-20,11
ES,2018-09-21,12
ES,2018-09-24,16
ES,2018-09-25,7
ES,2018-09-26,13
ES,2018-09-27,8
ES,2018-09-28,13
ES,2018-10-01,12
ES,2018-10-02,10
ES,2018-10-03,12
ES,2018-10-04,13
ES,2018-10-05,10
ES,2018-10-08,10
ES,2018-10-09,8
ES,2018-10-10,11
ES,2018-10-11,8
ES,2018-10-12,7
ES,2018-10-15,7
ES,2018-10-16,7
ES,2018-10-17,7
ES,2018-10-18,7
ES,2018-10-19,10
ES,2018-10-22,8
ES,2018-10-23,10
ES,2018-10-24,8
ES,2018-10-25,7
ES,2018-10-26,6
ES,2018-10-29,9
ES,2018-10-30,9
ES,2018-10-31,8
ES,2018-11-01,9
ES,2018-11-02,8
ES,2018-11-05,8
ES,2018-11-06,8
ES,2018-11-07,6
ES,2018-11-08,8
ES,2018-11-09,6
ES,2018-11-12,8
ES,2018-11-13,11
ES,2018-11-14,7
ES,2018-11-15,8
ES,2018-11-16,10
ES,2018-11-19,9
ES,2018-11-20,4
ES,2018-11-21,4
ES,2018-11-22,4
ES,2018-11-23,3
ES,2018-11-26,3
ES,2018-11-27,5
ES,2018-11-28,9
ES,2018-11-29,7
ES,2018-11-30,13
ES,2018-12-03,6
ES,2018-12-04,7
ES,2018-12-05,0
ES,2018-12-06,6
ES,2018-12-07,7
ES,2018-12-10,9
ES,2018-12-11,6
ES,2018-12-12,6
ES,2018-12-13,8
ES,2018-12-14,8
ES,2018-12-17,8
ES,2018-12-18,9
ES,2018-12-19,6
ES,2018-12-20,8
ES,2018-12-21,17
ES,2018-12-24,10
ES,2018-12-26,8
ES,2018-12-27,8
ES,2018-12-28,12
ES,2018-12-31,10
ES,2019-01-02,9
ES,2019-01-03,12
ES,2019-01-04,9
ES,2019-01-07,12
ES,2019-01-08,8
ES,2019-01-09,14
ES,2019-01-10,11
ES,2019-01-11,12
ES,2019-01-14,13
ES,2019-01-15,11
ES,2019-01-16,15
ES,2019-01-17,11
ES,2019-01-18,9
ES,2019-01-21,15
ES,2019-01-22,16
ES,2019-01-23,10
ES,2019-01-24,8
ES,2019-01-25,7
ES,2019-01-28,8
ES,2019-01-29,9
ES,2019-01-30,8
ES,2019-01-31,5
ES,2019-02-01,13
ES,2019-02-04,11
ES,2019-02-05,3
ES,2019-02-06,11
ES,2019-02-07,5
ES,2019-02-08,9
ES,2019-02-11,6
ES,2019-02-12,10
ES,2019-02-13,10
ES,2019-02-14,4
ES,2019-02-15,4
ES,2019-02-18,17
ES,2019-02-19,6
ES,2019-02-20,14
ES,2019-02-21,6
ES,2019-02-22,7
ES,2019-02-25,6
ES,2019-02-26,14
ES,2019-02-27,12
ES,2019-02-28,17
ES,2019-03-01,11
ES,2019-03-04,17
ES,2019-03-05,16
ES,2019-03-06,22
ES,2019-03-07,13
ES,2019-03-08,5
ES,2019-03-11,7
ES,2019-03-12,4
ES,2019-03-13,4
ES,2019-03-14,4
ES,2019-03-15,7
ES,2019-03-18,11
ES,2019-03-19,5
ES,2019-03-20,14
ES,2019-03-21,9
ES,2019-03-22,6
ES,2019-03-25,9
ES,2019-03-26,8
ES,2019-03-27,18
ES,2019-03-28,6
ES,2019-03-29,6
ES,2019-04-01,16
ES,2019-04-02,9
ES,2019-04-03,8
ES,2019-04-04,13
ES,2019-04-05,8
ES,2019-04-08,13
ES,2019-04-09,7
ES,2019-04-10,9
ES,2019-04-11,10
ES,2019-04-12,9
ES,2019-04-15,17
ES,2019-04-16,12
ES,2019-04-17,11
ES,2019-04-18,13
ES,2019-04-22,11
ES,2019-04-23,17
ES,2019-04-24,13
ES,2019-04-25,14
ES,2019-04-26,10
ES,2019-04-29,18
ES,2019-04-30,16
ES,2019-05-01,13
ES,2019-05-02,13
ES,2019-05-03,12
ES,2019-05-06,9
ES,2019-05-07,7
ES,2019-05-08,8
ES,2019-05-09,8
ES,2019-05-10,7
ES,2019-05-13,11
ES,2019-05-14,12
ES,2019-05-15,10
ES,2019-05-16,7
ES,2019-05-17,9
ES,2019-05-20,6
ES,2019-05-21,8
ES,2019-05-22,7
ES,2019-05-23,8
ES,2019-05-24,7
ES,2019-05-27,11
ES,2019-05-28,8
ES,2019-05-29,8
ES,2019-05-30,11
ES,2019-05-31,8
ES,2019-06-03,8
ES,2019-06-04,8
ES,2019-06-05,6
ES,2019-06-06,7
ES,2019-06-07,9
ES,2019-06-10,7
ES,2019-06-11,7
ES,2019-06-12,13
ES,2019-06-13,10
ES,2019-06-14,11
ES,2019-06-17,11
ES,2019-06-18,7
ES,2019-06-19,17
ES,2019-06-20,7
ES,2019-06-21,11
ES,2019-06-24,14
ES,2019-06-25,10
ES,2019-06-26,8
ES,2019-06-27,7
ES,2019-06-28,11
ES,2019-07-01,10
ES,2019-07-02,12
ES,2019-07-03,9
ES,2019-07-04,13
ES,2019-07-05,6
ES,2019-07-08,10
ES,2019-07-09,10
ES,2019-07-10,8
ES,2019-07-11,10
ES,2019-07-12,11
ES,2019-07-15,14
ES,2019-07-16,14
ES,2019-07-17,13
ES,2019-07-18,12
ES,2019-07-19,10
ES,2019-07-22,12
ES,2019-07-23,9
ES,2019-07-24,15
ES,2019-07-25,9
ES,2019-07-26,13
ES,2019-07-29,12
ES,2019-07-30,10
ES,2019-07-31,13
ES,2019-08-01,9
ES,2019-08-02,9
ES,2019-08-05,10
ES,2019-08-06,8
ES,2019-08-07,10
ES,2019-08-08,11
ES,2019-08-09,13
ES,2019-08-12,8
ES,2019-08-13,8
ES,2019-08-14,8
ES,2019-08-15,10
ES,2019-08-16,6
ES,2019-08-19,6
ES,2019-08-20,7
ES,2019-08-21,9
ES,2019-08-22,10
ES,2019-08-23,9
ES,2019-08-26,6
ES,2019-08-27,6
ES,2019-08-28,6
ES,2019-08-29,8
ES,2019-08-30,6
ES,2019-09-02,8
ES,2019-09-03,5
ES,2019-09-04,6
ES,2019-09-05,7
ES,2019-09-06,11
ES,2019-09-09,13
ES,2019-09-10,9
ES,2019-09-11,10
ES,2019-09-12,8
ES,2019-09-13,8
ES,2019-09-16,9
ES,2019-09-17,14
ES,2019-09-18,15
ES,2019-09-19,8
ES,2019-09-20,11
ES,2019-09-23,8
ES,2019-09-24,11
ES,2019-09-25,10
ES,2019-09-26,9
ES,2019-09-27,8
ES,2019-09-30,9
ES,2019-10-01,9
ES,2019-10-02,5
ES,2019-10-03,8
ES,2019-10-04,5
ES,2019-10-07,8
ES,2019-10-08,7
ES,2019-10-09,6
ES,2019-10-10,9
ES,2019-10-11,4
ES,2019-10-14,6
ES,2019-10-15,5
ES,2019-10-16,10
ES,2019-10-17,5
ES,2019-10-18,9
ES,2019-10-21,7
ES,2019-10-22,10
ES,2019-10-23,8
ES,2019-10-24,4
ES,2019-10-25,8
ES,2019-10-28,9
ES,2019-10-29,5
ES,2019-10-30,18
ES,2019-10-31,9
ES,2019-11-01,10
ES,2019-11-04,7
ES,2019-11-05,9
ES,2019-11-06,8
ES,2019-11-07,6
ES,2019-11-08,11
ES,2019-11-11,11
ES,2019-11-12,6
ES,2019-11-13,10
ES,2019-11-14,11
ES,2019-11-15,10
ES,2019-11-18,11
ES,2019-11-19,7
ES,2019-11-20,11
ES,2019-11-21,9
ES,2019-11-22,11
ES,2019-11-25,17
ES,2019-11-26,15
ES,2019-11-27,15
ES,2019-11-28,11
ES,2019-11-29,14
ES,2019-12-02,9
ES,2019-12-03,8
ES,2019-12-04,8
ES,2019-12-05,12
ES,2019-12-06,10
ES,2019-12-09,14
ES,2019-12-10,11
ES,2019-12-11,5
ES,2019-12-12,10
ES,2019-12-13,6
ES,2019-12-16,7
ES,2019-12-17,13
ES,2019-12-18,9
ES,2019-12-19,10
ES,2019-12-20,11
ES,2019-12-23,9
ES,2019-12-24,17
ES,2019-12-26,13
ES,2019-12-27,14
ES,2019-12-30,17
ES,2019-12-31,11
ES,2020-01-02,11
ES,2020-01-03,10
ES,2020-01-06,8
ES,2020-01-07,11
ES,2020-01-08,11
ES,2020-01-09,11
ES,2020-01-10,14
ES,2020-01-13,18
ES,2020-01-14,6
ES,2020-01-15,12
ES,2020-01-16,9
ES,2020-01-17,11
ES,2020-01-20,12
ES,2020-01-21,6
ES,2020-01-22,11
ES,2020-01-23,8
ES,2020-01-24,9
ES,2020-01-27,5
ES,2020-01-28,8
ES,2020-01-29,9
ES,2020-01-30,8
ES,2020-01-31,5
ES,2020-02-03,7
ES,2020-02-04,5
ES,2020-02-05,7
ES,2020-02-06,7
ES,2020-02-07,9
ES,2020-02-10,7
ES,2020-02-11,3
ES,2020-02-12,4
ES,2020-02-13,4
ES,2020-02-14,4
ES,2020-02-17,7
ES,2020-02-18,7
ES,2020-02-19,6
ES,2020-02-20,5
ES,2020-02-21,5
ES,2020-02-24,3
ES,2020-02-25,4
ES,2020-02-26,2
ES,2020-02-27,3
ES,2020-02-28,3
ES,2020-03-02,3
ES,2020-03-03,2
ES,2020-03-04,3
ES,2020-03-05,4
ES,2020-03-06,4
ES,2020-03-09,7
ES,2020-03-10,6
ES,2020-03-11,6
ES,2020-03-12,2
ES,2020-03-13,5
ES,2020-03-16,62
ES,2020-03-17,9
ES,2020-03-18,12
ES,2020-03-19,9
ES,2020-03-20,9
ES,2020-03-23,11
ES,2020-03-24,9
ES,2020-03-25,10
ES,2020-03-26,9
ES,2020-03-27,5
ES,2020-03-30,11
ES,2020-03-31,5
ES,2020-04-01,7
ES,2020-04-02,3
ES,2020-04-03,3
ES,2020-04-06,6
ES,2020-04-07,8
ES,2020-04-08,9
ES,2020-04-09,7
ES,2020-04-13,13
ES,2020-04-14,9
ES,2020-04-15,7
ES,2020-04-16,9
ES,2020-04-17,12
ES,2020-04-20,7
ES,2020-04-21,5
ES,2020-04-22,10
ES,2020-04-23,8
ES,2020-04-24,6
ES,2020-04-27,13
ES,2020-04-28,7
ES,2020-04-29,6
ES,2020-04-30,3
ES,2020-05-01,12
ES,2020-05-04,8
ES,2020-05-05,7
ES,2020-05-06,10
ES,2020-05-07,11
ES,2020-05-08,14
ES,2020-05-11,11
ES,2020-05-12,12
ES,2020-05-13,15
ES,2020-05-14,7
ES,2020-05-15,10
ES,2020-05-18,7
ES,2020-05-19,9
ES,2020-05-20,11
ES,2020-05-21,14
ES,2020-05-22,7
ES,2020-05-25,8
ES,2020-05-26,13
ES,2020-05-27,13
ES,2020-05-28,11
ES,2020-05-29,14
ES,2020-06-01,12
ES,2020-06-02,10
ES,2020-06-03,13
ES,2020-06-04,11
ES,2020-06-05,7
ES,2020-06-08,8
ES,2020-06-09,9
ES,2020-06-10,7
ES,2020-06-11,5
ES,2020-06-12,9
ES,2020-06-15,10
ES,2020-06-16,5
ES,2020-06-17,8
ES,2020-06-18,7
ES,2020-06-19,10
ES,2020-06-22,9
ES,2020-06-23,7
ES,2020-06-24,9
ES,2020-06-25,7
ES,2020-06-26,8
ES,2020-06-29,8
ES,2020-06-30,13
ES,2020-07-01,7
ES,2020-07-02,8
ES,2020-07-03,12
ES,2020-07-06,14
ES,2020-07-07,12
ES,2020-07-08,12
ES,2020-07-09,12
ES,2020-07-10,12
ES,2020-07-13,6
ES,2020-07-14,6
ES,2020-07-15,7
ES,2020-07-16,10
ES,2020-07-17,12
ES,2020-07-20,10
ES,2020-07-21,15
ES,2020-07-22,6
ES,2020-07-23,15
ES,2020-07-24,12
ES,2020-07-27,10
ES,2020-07-28,12
ES,2020-07-29,9
ES,2020-07-30,8
ES,2020-07-31,8
ES,2020-08-03,5
ES,2020-08-04,6
ES,2020-08-05,8
ES,2020-08-06,10
ES,2020-08-07,9
ES,2020-08-10,11
ES,2020-08-11,12
ES,2020-08-12,10
ES,2020-08-13,18
ES,2020-08-14,10
ES,2020-08-17,14
ES,2020-08-18,17
ES,2020-08-19,12
ES,2020-08-20,14
ES,2020-08-21,13
ES,2020-08-24,7
ES,2020-08-25,10
ES,2020-08-26,16
ES,2020-08-27,7
ES,2020-08-28,9
ES,2020-08-31,11
ES,2020-09-01,9
ES,2020-09-02,10
ES,2020-09-03,7
ES,2020-09-04,4
ES,2020-09-07,4
ES,2020-09-08,7
ES,2020-09-09,10
ES,2020-09-10,11
ES,2020-09-11,13
ES,2020-09-14,12
ES,2020-09-15,8
ES,2020-09-16,9
ES,2020-09-17,7
ES,2020-09-18,9
ES,2020-09-21,5
ES,2020-09-22,8
ES,2020-09-23,9
ES,2020-09-24,10
ES,2020-09-25,9
ES,2020-09-28,6
ES,2020-09-29,11
ES,2020-09-30,8
ES,2020-10-01,12
ES,2020-10-02,10
ES,2020-10-05,11
ES,2020-10-06,15
ES,2020-10-07,13
ES,2020-10-08,10
ES,2020-10-09,12
ES,2020-10-12,9
ES,2020-10-13,13
ES,2020-10-14,11
ES,2020-10-15,8
ES,2020-10-16,10
ES,2020-10-19,17
ES,2020-10-20,11
ES,2020-10-21,9
ES,2020-10-22,10
ES,2020-10-23,9
ES,2020-10-26,9
ES,2020-10-27,9
ES,2020-10-28,7
ES,2020-10-29,9
ES,2020-10-30,5
ES,2020-11-02,4
ES,2020-11-03,8
ES,2020-11-04,2
ES,2020-11-05,3
ES,2020-11-06,4
ES,2020-11-09,1
ES,2020-11-10,4
ES,2020-11-11,4
ES,2020-11-12,9
ES,2020-11-13,5
ES,2020-11-16,3
ES,2020-11-17,8
ES,2020-11-18,5
ES,2020-11-19,5
ES,2020-11-20,5
ES,2020-11-23,6
ES,2020-11-24,9
ES,2020-11-25,8
ES,2020-11-26,11
ES,2020-11-27,3
ES,2020-11-30,3
ES,2020-12-01,7
ES,2020-12-02,9
ES,2020-12-03,16
ES,2020-12-04,10
ES,2020-12-07,11
ES,2020-12-08,10
ES,2020-12-09,9
ES,2020-12-10,6
ES,2020-12-11,5
ES,2020-12-14,11
ES,2020-12-15,9
ES,2020-12-16,9
ES,2020-12-17,11
ES,2020-12-18,11
ES,2020-12-21,6
ES,2020-12-22,8
ES,2020-12-23,8
ES,2020-12-24,14
ES,2020-12-28,9
ES,2020-12-29,11
ES,2020-12-30,18
ES,2020-12-31,16
ES,2021-01-04,4
ES,2021-01-05,6
ES,2021-01-06,4
ES,2021-01-07,4
ES,2021-01-08,6
ES,2021-01-11,9
ES,2021-01-12,15
ES,2021-01-13,13
ES,2021-01-14,24
ES,2021-01-15,16
ES,2021-01-18,12
ES,2021-01-19,11
ES,2021-01-20,8
ES,2021-01-21,16
ES,2021-01-22,7
ES,2021-01-25,7
ES,2021-01-26,7
ES,2021-01-27,4
ES,2021-01-28,6
ES,2021-01-29,6
ES,2021-02-01,7
ES,2021-02-02,8
ES,2021-02-03,10
ES,2021-02-04,7
ES,2021-02-05,8
ES,2021-02-08,7
ES,2021-02-09,8
ES,2021-02-10,5
ES,2021-02-11,14
ES,2021-02-12,10
ES,2021-02-15,15
ES,2021-02-16,10
ES,2021-02-17,8
ES,2021-02-18,8
ES,2021-02-19,9
ES,2021-02-22,8
ES,2021-02-23,6
ES,2021-02-24,8
ES,2021-02-25,8
ES,2021-02-26,8
ES,2021-03-01,8
ES,2021-03-02,16
ES,2021-03-03,12
ES,2021-03-04,9
ES,2021-03-05,8
ES,2021-03-08,8
ES,2021-03-09,6
ES,2021-03-10,7
ES,2021-03-11,12
ES,2021-03-12,8
ES,2021-03-15,10
ES,2021-03-16,13
ES,2021-03-17,5
ES,2021-03-18,6
ES,2021-03-19,10
ES,2021-03-22,3
ES,2021-03-23,14
ES,2021-03-24,7
ES,2021-03-25,10
ES,2021-03-26,12
ES,2021-03-29,6
ES,2021-03-30,8
ES,2021-03-31,13
ES,2021-04-01,8
ES,2021-04-02,0
ES,2021-04-05,10
ES,2021-04-06,17
ES,2021-04-07,11
ES,2021-04-08,12
ES,2021-04-09,12
ES,2021-04-12,13
ES,2021-04-13,8
ES,2021-04-14,8
ES,2021-04-15,9
ES,2021-04-16,6
ES,2021-04-19,12
ES,2021-04-20,9
ES,2021-04-21,10
ES,2021-04-22,12
ES,2021-04-23,10
ES,2021-04-26,9
ES,2021-04-27,12
ES,2021-04-28,14
ES,2021-04-29,10
ES,2021-04-30,9
ES,2021-05-03,6
ES,2021-05-04,5
ES,2021-05-05,6
ES,2021-05-06,7
ES,2021-05-07,7
ES,2021-05-10,10
ES,2021-05-11,4
ES,2021-05-12,6
ES,2021-05-13,10
ES,2021-05-14,9
ES,2021-05-17,13
ES,2021-05-18,8
ES,2021-05-19,7
ES,2021-05-20,7
ES,2021-05-21,10
ES,2021-05-24,8
ES,2021-05-25,15
ES,2021-05-26,13
ES,2021-05-27,13
ES,2021-05-28,15
ES,2021-05-31,10
ES,2021-06-01,6
ES,2021-06-02,10
ES,2021-06-03,5
ES,2021-06-04,5
ES,2021-06-07,4
ES,2021-06-08,7
ES,2021-06-09,7
ES,2021-06-10,5
ES,2021-06-11,11
ES,2021-06-14,11
ES,2021-06-15,7
ES,2021-06-16,16
ES,2021-06-17,5
ES,2021-06-18,6
ES,2021-06-21,6
ES,2021-06-22,9
ES,2021-06-23,8
ES,2021-06-24,6
ES,2021-06-25,10
ES,2021-06-28,14
ES,2021-06-29,14
ES,2021-06-30,10
ES,2021-07-01,7
ES,2021-07-02,12
ES,2021-07-05,13
ES,2021-07-06,11
ES,2021-07-07,12
ES,2021-07-08,4
ES,2021-07-09,5
ES,2021-07-12,8
ES,2021-07-13,4
ES,2021-07-14,4
ES,2021-07-15,8
ES,2021-07-16,6
ES,2021-07-19,4
ES,2021-07-20,7
ES,2021-07-21,6
ES,2021-07-22,7
ES,2021-07-23,9
ES,2021-07-26,8
ES,2021-07-27,13
ES,2021-07-28,9
ES,2021-07-29,9
ES,2021-07-30,4
ES,2021-08-02,11
ES,2021-08-03,7
ES,2021-08-04,9
ES,2021-08-05,8
ES,2021-08-06,11
ES,2021-08-09,14
ES,2021-08-10,10
ES,2021-08-11,8
ES,2021-08-12,12
ES,2021-08-13,9
ES,2021-08-16,12
ES,2021-08-17,6
ES,2021-08-18,14
ES,2021-08-19,5
ES,2021-08-20,8
ES,2021-08-23,17
ES,2021-08-24,12
ES,2021-08-25,23
ES,2021-08-26,14
ES,2021-08-27,18
ES,2021-08-30,17
ES,2021-08-31,16
ES,2021-09-01,12
ES,2021-09-02,13
ES,2021-09-03,14
ES,2021-09-06,5
ES,2021-09-07,10
ES,2021-09-08,5
ES,2021-09-09,11
ES,2021-09-10,8
ES,2021-09-13,4
ES,2021-09-14,4
ES,2021-09-15,4
ES,2021-09-16,9
ES,2021-09-17,7
ES,2021-09-20,6
ES,2021-09-21,5
ES,2021-09-22,9
ES,2021-09-23,16
ES,2021-09-24,8
ES,2021-09-27,9
ES,2021-09-28,8
ES,2021-09-29,5
ES,2021-09-30,4
ES,2021-10-01,2
ES,2021-10-04,7
ES,2021-10-05,10
ES,2021-10-06,9
ES,2021-10-07,7
ES,2021-10-08,7
ES,2021-10-11,6
ES,2021-10-12,5
ES,2021-10-13,5
ES,2021-10-14,3
ES,2021-10-15,7
ES,2021-10-18,8
ES,2021-10-19,7
ES,2021-10-20,7
ES,2021-10-21,10
ES,2021-10-22,8
ES,2021-10-25,8
ES,2021-10-26,13
ES,2021-10-27,13
ES,2021-10-28,10
ES,2021-10-29,13
ES,2021-11-01,14
ES,2021-11-02,14
ES,2021-11-03,16
ES,2021-11-04,13
ES,2021-11-05,7
ES,2021-11-08,11
ES,2021-11-09,13
ES,2021-11-10,11
ES,2021-11-11,15
ES,2021-11-12,16
ES,2021-11-15,18
ES,2021-11-16,23
ES,2021-11-17,12
ES,2021-11-18,9
ES,2021-11-19,12
ES,2021-11-22,10
ES,2021-11-23,10
ES,2021-11-24,8
ES,2021-11-25,13
ES,2021-11-26,10
ES,2021-11-29,13
ES,2021-11-30,8
ES,2021-12-01,7
ES,2021-12-02,11
ES,2021-12-03,11
ES,2021-12-06,9
ES,2021-12-07,7
ES,2021-12-08,8
ES,2021-12-09,14
ES,2021-12-10,12
ES,2021-12-13,6
ES,2021-12-14,10
ES,2021-12-15,14
ES,2021-12-16,6
ES,2021-12-17,6
ES,2021-12-20,5
ES,2021-12-21,6
ES,2021-12-22,11
ES,2021-12-23,9
ES,2021-12-27,10
ES,2021-12-28,11
ES,2021-12-29,15
ES,2021-12-30,10
ES,2021-12-31,13
ES,2022-01-03,8
ES,2022-01-04,10
ES,2022-01-05,8
ES,2022-01-06,9
ES,2022-01-07,10
ES,2022-01-10,10
ES,2022-01-11,9
ES,2022-01-12,7
ES,2022-01-13,7
ES,2022-01-14,6
ES,2022-01-17,9
ES,2022-01-18,8
ES,2022-01-19,6
ES,2022-01-20,10
ES,2022-01-21,7
ES,2022-01-24,5
ES,2022-01-25,5
ES,2022-01-26,7
ES,2022-01-27,7
ES,2022-01-28,6
ES,2022-01-31,5
ES,2022-02-01,8
ES,2022-02-02,7
ES,2022-02-03,5
ES,2022-02-04,7
ES,2022-02-07,7
ES,2022-02-08,10
ES,2022-02-09,9
ES,2022-02-10,8
ES,2022-02-11,10
ES,2022-02-14,8
ES,2022-02-15,6
ES,2022-02-16,11
ES,2022-02-17,9
ES,2022-02-18,10
ES,2022-02-21,9
ES,2022-02-22,5
ES,2022-02-23,11
ES,2022-02-24,7
ES,2022-02-25,6
ES,2022-02-28,9
ES,2022-03-01,9
ES,2022-03-02,9
ES,2022-03-03,8
ES,2022-03-04,7
ES,2022-03-07,9
ES,2022-03-08,9
ES,2022-03-09,8
ES,2022-03-10,5
ES,2022-03-11,6
ES,2022-03-14,10
ES,2022-03-15,15
ES,2022-03-16,6
ES,2022-03-17,6
ES,2022-03-18,9
ES,2022-03-21,13
ES,2022-03-22,10
ES,2022-03-23,6
ES,2022-03-24,10
ES,2022-03-25,12
ES,2022-03-28,8
ES,2022-03-29,9
ES,2022-03-30,7
ES,2022-03-31,11
ES,2022-04-01,14
ES,2022-04-04,15
ES,2022-04-05,10
ES,2022-04-06,7
ES,2022-04-07,12
ES,2022-04-08,9
ES,2022-04-11,9
ES,2022-04-12,7
ES,2022-04-13,12
ES,2022-04-14,14
ES,2022-04-18,13
ES,2022-04-19,11
ES,2022-04-20,9
ES,2022-04-21,9
ES,2022-04-22,15
ES,2022-04-25,9
ES,2022-04-26,9
ES,2022-04-27,10
ES,2022-04-28,11
ES,2022-04-29,11
ES,2022-05-02,10
ES,2022-05-03,13
ES,2022-05-04,13
ES,2022-05-05,15
ES,2022-05-06,9
ES,2022-05-09,13
ES,2022-05-10,7
ES,2022-05-11,6
ES,2022-05-12,8
ES,2022-05-13,6
ES,2022-05-16,9
ES,2022-05-17,12
ES,2022-05-18,8
ES,2022-05-19,6
ES,2022-05-20,9
ES,2022-05-23,10
ES,2022-05-24,9
ES,2022-05-25,7
ES,2022-05-26,8
ES,2022-05-27,9
ES,2022-05-30,10
ES,2022-05-31,8
ES,2022-06-01,8
ES,2022-06-02,12
ES,2022-06-03,15
ES,2022-06-06,10
ES,2022-06-07,9
ES,2022-06-08,12
ES,2022-06-09,12
ES,2022-06-10,10
ES,2022-06-13,13
ES,2022-06-14,11
ES,2022-06-15,11
ES,2022-06-16,9
ES,2022-06-17,8
ES,2022-06-20,12
ES,2022-06-21,14
ES,2022-06-22,10
ES,2022-06-23,8
ES,2022-06-24,10
ES,2022-06-27,11
ES,2022-06-28,10
ES,2022-06-29,12
ES,2022-06-30,14
ES,2022-07-01,10
ES,2022-07-04,12
