year,segment,direction,n,instrument,k,z_thr
2019,precash,1,320,ES,3,3.0
2020,afternoon,-1,1209,ES,3,3.0
2020,afternoon,1,1172,ES,3,3.0
2020,cashopen,-1,349,ES,3,3.0
2020,cashopen,1,290,ES,3,3.0
2020,close,-1,893,ES,3,3.0
2020,close,1,852,ES,3,3.0
2020,european,-1,4259,ES,3,3.0
2020,european,1,3957,ES,3,3.0
2020,midday,-1,2168,ES,3,3.0
2020,midday,1,1908,ES,3,3.0
2020,morning,-1,1143,ES,3,3.0
2020,morning,1,1029,ES,3,3.0
2020,overnight,-1,6832,ES,3,3.0
2020,overnight,1,6667,ES,3,3.0
2020,precash,-1,678,ES,3,3.0
2020,precash,1,717,ES,3,3.0
2021,afternoon,-1,691,ES,3,3.0
2021,afternoon,1,711,ES,3,3.0
2021,cashopen,-1,170,ES,3,3.0
2021,cashopen,1,172,ES,3,3.0
2021,close,-1,551,ES,3,3.0
2021,close,1,457,ES,3,3.0
2021,european,-1,2583,ES,3,3.0
2021,european,1,2309,ES,3,3.0
2021,midday,-1,1258,ES,3,3.0
2021,midday,1,1133,ES,3,3.0
2021,morning,-1,677,ES,3,3.0
2021,morning,1,641,ES,3,3.0
2021,overnight,-1,3918,ES,3,3.0
2021,overnight,1,3719,ES,3,3.0
2021,precash,-1,487,ES,3,3.0
2021,precash,1,527,ES,3,3.0
2022,afternoon,-1,593,ES,3,3.0
2022,afternoon,1,630,ES,3,3.0
2022,cashopen,-1,89,ES,3,3.0
2022,cashopen,1,115,ES,3,3.0
2022,close,-1,607,ES,3,3.0
2022,close,1,598,ES,3,3.0
2022,european,-1,1903,ES,3,3.0
2022,european,1,1843,ES,3,3.0
2022,midday,-1,853,ES,3,3.0
2022,midday,1,773,ES,3,3.0
2022,morning,-1,421,ES,3,3.0
2022,morning,1,477,ES,3,3.0
2022,overnight,-1,3545,ES,3,3.0
2022,overnight,1,3536,ES,3,3.0
2022,precash,-1,441,ES,3,3.0
2022,precash,1,426,ES,3,3.0
2018,afternoon,-1,587,ES,3,4.0
2018,afternoon,1,612,ES,3,4.0
2018,cashopen,-1,69,ES,3,4.0
2018,cashopen,1,82,ES,3,4.0
2018,close,-1,433,ES,3,4.0
2018,close,1,348,ES,3,4.0
2018,european,-1,1722,ES,3,4.0
2018,european,1,1626,ES,3,4.0
2018,midday,-1,912,ES,3,4.0
2018,midday,1,831,ES,3,4.0
2018,morning,-1,373,ES,3,4.0
2018,morning,1,313,ES,3,4.0
2018,overnight,-1,2897,ES,3,4.0
2018,overnight,1,2926,ES,3,4.0
2018,precash,-1,267,ES,3,4.0
2018,precash,1,272,ES,3,4.0
2019,afternoon,-1,178,ES,3,4.0
2019,afternoon,1,205,ES,3,4.0
2019,cashopen,-1,32,ES,3,4.0
2019,cashopen,1,46,ES,3,4.0
2019,close,-1,170,ES,3,4.0
2019,close,1,110,ES,3,4.0
2019,european,-1,1205,ES,3,4.0
2019,european,1,1164,ES,3,4.0
2019,midday,-1,347,ES,3,4.0
2019,midday,1,326,ES,3,4.0
2019,morning,-1,175,ES,3,4.0
2019,morning,1,145,ES,3,4.0
2019,overnight,-1,1402,ES,3,4.0
2019,overnight,1,1483,ES,3,4.0
2019,precash,-1,170,ES,3,4.0
2019,precash,1,157,ES,3,4.0
2020,afternoon,-1,814,ES,3,4.0
2020,afternoon,1,789,ES,3,4.0
2020,cashopen,-1,222,ES,3,4.0
2020,cashopen,1,171,ES,3,4.0
2020,close,-1,604,ES,3,4.0
2020,close,1,567,ES,3,4.0
2020,european,-1,2906,ES,3,4.0
2020,european,1,2674,ES,3,4.0
2020,midday,-1,1496,ES,3,4.0
2020,midday,1,1290,ES,3,4.0
2020,morning,-1,728,ES,3,4.0
2020,morning,1,656,ES,3,4.0
2020,overnight,-1,4747,ES,3,4.0
2020,overnight,1,4602,ES,3,4.0
2020,precash,-1,443,ES,3,4.0
2020,precash,1,476,ES,3,4.0
2021,afternoon,-1,347,ES,3,4.0
2021,afternoon,1,373,ES,3,4.0
2021,cashopen,-1,71,ES,3,4.0
2021,cashopen,1,67,ES,3,4.0
2021,close,-1,316,ES,3,4.0
2021,close,1,226,ES,3,4.0
2021,european,-1,1244,ES,3,4.0
2021,european,1,986,ES,3,4.0
2021,midday,-1,653,ES,3,4.0
2021,midday,1,583,ES,3,4.0
2021,morning,-1,334,ES,3,4.0
2021,morning,1,289,ES,3,4.0
2021,overnight,-1,2093,ES,3,4.0
2021,overnight,1,1947,ES,3,4.0
2021,precash,-1,259,ES,3,4.0
2021,precash,1,280,ES,3,4.0
2022,afternoon,-1,303,ES,3,4.0
2022,afternoon,1,305,ES,3,4.0
2022,cashopen,-1,29,ES,3,4.0
2022,cashopen,1,30,ES,3,4.0
2022,close,-1,324,ES,3,4.0
2022,close,1,312,ES,3,4.0
2022,european,-1,821,ES,3,4.0
2022,european,1,836,ES,3,4.0
2022,midday,-1,363,ES,3,4.0
2022,midday,1,320,ES,3,4.0
2022,morning,-1,146,ES,3,4.0
2022,morning,1,174,ES,3,4.0
2022,overnight,-1,1753,ES,3,4.0
2022,overnight,1,1702,ES,3,4.0
2022,precash,-1,207,ES,3,4.0
2022,precash,1,213,ES,3,4.0
2018,afternoon,-1,889,NQ,1,3.0
2018,afternoon,1,872,NQ,1,3.0
2018,cashopen,-1,150,NQ,1,3.0
2018,cashopen,1,140,NQ,1,3.0
2018,close,-1,706,NQ,1,3.0
2018,close,1,693,NQ,1,3.0
2018,european,-1,2751,NQ,1,3.0
2018,european,1,2688,NQ,1,3.0
2018,midday,-1,1370,NQ,1,3.0
2018,midday,1,1304,NQ,1,3.0
2018,morning,-1,546,NQ,1,3.0
2018,morning,1,536,NQ,1,3.0
2018,overnight,-1,4952,NQ,1,3.0
2018,overnight,1,5147,NQ,1,3.0
2018,precash,-1,458,NQ,1,3.0
2018,precash,1,435,NQ,1,3.0
2019,afternoon,-1,415,NQ,1,3.0
2019,afternoon,1,395,NQ,1,3.0
2019,cashopen,-1,76,NQ,1,3.0
2019,cashopen,1,81,NQ,1,3.0
2019,close,-1,347,NQ,1,3.0
2019,close,1,309,NQ,1,3.0
2019,european,-1,1770,NQ,1,3.0
2019,european,1,1803,NQ,1,3.0
2019,midday,-1,695,NQ,1,3.0
2019,midday,1,602,NQ,1,3.0
2019,morning,-1,306,NQ,1,3.0
2019,morning,1,271,NQ,1,3.0
2019,overnight,-1,2516,NQ,1,3.0
2019,overnight,1,2574,NQ,1,3.0
2019,precash,-1,321,NQ,1,3.0
2019,precash,1,318,NQ,1,3.0
2020,afternoon,-1,1215,NQ,1,3.0
2020,afternoon,1,1154,NQ,1,3.0
2020,cashopen,-1,268,NQ,1,3.0
2020,cashopen,1,230,NQ,1,3.0
