instrument,k,z_thr,anchor,rule,status,n,post_cont_rate,post_n_decided,post_fret_15_ticks,post_fret_30_ticks,post_fret_60_ticks,evt_cont_rate
ES,3,3.0,r,A2,ACCEPT,4127,,,,,,0.59559902200489
ES,3,3.0,r,A2,REJECT,133,,,,,,0.11278195488721804
ES,3,4.0,g,A1,ACCEPT,6773,0.49241973840665876,6728.0,-0.1449624060150376,0.30830524057615694,-0.29673776662484314,0.556
ES,3,4.0,g,A1,REJECT,106,0.4811320754716981,106.0,-2.6320754716981134,5.90566037735849,6.160377358490566,0.12264150943396226
ES,3,4.0,g,A2,ACCEPT,6229,0.49036749231018295,6177.0,-0.2844502703588399,-0.09505512863347812,-0.6254060523166354,0.5663446054750403
ES,3,4.0,g,A2,REJECT,238,0.4177215189873418,237.0,-0.19327731092436976,6.987394957983193,6.886075949367089,0.1729957805907173
ES,3,4.0,r,A1,ACCEPT,2631,,,,,,0.5637970791698693
ES,3,4.0,r,A1,REJECT,33,,,,,,0.0
ES,3,4.0,r,A2,ACCEPT,2453,,,,,,0.5797280593325093
ES,3,4.0,r,A2,REJECT,78,,,,,,0.14102564102564102
NQ,1,3.0,g,A1,ACCEPT,8975,0.49589287723641273,8887.0,1.764326160815402,3.9837718789845833,0.051759337096193105,0.563984760197221
NQ,1,3.0,g,A1,REJECT,108,0.49074074074074076,108.0,-10.36111111111111,4.046296296296297,13.336448598130842,0.07407407407407407
NQ,1,3.0,g,A2,ACCEPT,8371,0.49842767295597484,8268.0,1.9620021921812203,3.64253619570644,-0.8935041407867494,0.5770385492974661
NQ,1,3.0,g,A2,REJECT,276,0.43636363636363634,275.0,-4.7898550724637685,-4.2644927536231885,-11.84981684981685,0.16
NQ,1,3.0,r,A1,ACCEPT,3241,,,,,,0.5921507064364208
NQ,1,3.0,r,A1,REJECT,28,,,,,,0.03571428571428571
NQ,1,3.0,r,A2,ACCEPT,3038,,,,,,0.6158475426278837
NQ,1,3.0,r,A2,REJECT,83,,,,,,0.04819277108433735
NQ,1,4.0,g,A1,ACCEPT,5639,0.49427549194991055,5590.0,3.771268925739005,5.759718622732321,3.5575408261287222,0.5509003387413086
NQ,1,4.0,g,A1,REJECT,68,0.5,68.0,-22.205882352941178,-2.7794117647058822,-14.925373134328359,0.07352941176470588
NQ,1,4.0,g,A2,ACCEPT,5277,0.4984650805832694,5212.0,3.8341708542713566,5.024046104928458,1.279966989890654,0.563047619047619
NQ,1,4.0,g,A2,REJECT,166,0.41818181818181815,165.0,-7.686746987951807,-6.674698795180723,-29.78527607361963,0.16363636363636364
NQ,1,4.0,r,A1,ACCEPT,1906,,,,,,0.5722666666666667
NQ,1,4.0,r,A1,REJECT,15,,,,,,0.0
NQ,1,4.0,r,A2,ACCEPT,1785,,,,,,0.5949943117178612
NQ,1,4.0,r,A2,REJECT,49,,,,,,0.04081632653061224
NQ,3,3.0,g,A1,ACCEPT,12174,0.4993784702080053,12067.0,3.642803441650656,5.6542957085572905,2.5080652269722346,0.5618701470345283
NQ,3,3.0,g,A1,REJECT,112,0.5,112.0,-0.875,11.026785714285714,10.45045045045045,0.07142857142857142
NQ,3,3.0,g,A2,ACCEPT,11344,0.5011588518452487,11218.0,3.6453410009884086,4.659717119764879,1.8401176582218426,0.5760474798476393
NQ,3,3.0,g,A2,REJECT,330,0.44072948328267475,329.0,-7.378787878787879,2.1363636363636362,-2.851063829787234,0.15501519756838905
NQ,3,3.0,r,A1,ACCEPT,4302,,,,,,0.5791213982050071
NQ,3,3.0,r,A1,REJECT,33,,,,,,0.06060606060606061
NQ,3,3.0,r,A2,ACCEPT,4027,,,,,,0.5978342986653236
NQ,3,3.0,r,A2,REJECT,100,,,,,,0.11
NQ,3,4.0,g,A1,ACCEPT,7516,0.49745171673819744,7456.0,4.459623968618964,6.5295993345348675,1.4400977995110025,0.5504476814111987
NQ,3,4.0,g,A1,REJECT,69,0.4927536231884058,69.0,-13.376811594202898,2.3768115942028984,-7.720588235294118,0.10144927536231885
NQ,3,4.0,g,A2,ACCEPT,7045,0.505234475835365,6973.0,3.9037765880480393,5.539249146757679,0.6176833025261861,0.5618409803362782
NQ,3,4.0,g,A2,REJECT,200,0.41708542713567837,199.0,-17.19,-8.855,-20.743718592964825,0.1708542713567839
NQ,3,4.0,r,A1,ACCEPT,2529,,,,,,0.5655836341756919
NQ,3,4.0,r,A1,REJECT,22,,,,,,0.09090909090909091
NQ,3,4.0,r,A2,ACCEPT,2371,,,,,,0.5843656557026912
NQ,3,4.0,r,A2,REJECT,61,,,,,,0.09836065573770492
