instrument,k,z_thr,feature,quintile,n,feat_lo,feat_hi,cont_rate,fret_15_ticks,fret_30_ticks,fret_60_ticks
ES,1,3.0,E5_d,0,19449,-1.0,-0.5384615384615384,0.4911820659159854,-0.11750984864192411,-0.022852350752135858,-0.09757276339813124
ES,1,3.0,E5_d,1,18991,-0.5370370370370371,-0.18518518518518517,0.4956558369754094,-0.003236245954692557,0.006103437198843559,0.1389997267012845
ES,1,3.0,E5_d,2,19171,-0.18446601941747573,0.20279720279720279,0.48599447081529396,-0.15869097021589537,0.2009009009009009,0.7026572668112798
ES,1,3.0,E5_d,3,19311,0.2033898305084746,0.5555555555555556,0.47599813577753614,-0.27374126967580525,-0.5834561920808762,-0.4283558764886566
ES,1,3.0,E5_d,4,19096,0.5566502463054187,1.0,0.4674801005446167,-0.519350745479539,-0.19802033172819689,0.05580430271923119
ES,1,3.0,E15_d,0,19614,-1.0,-0.2894736842105263,0.48817171408177834,-0.9015828964950149,-0.8045648331080378,-0.39626158270316325
ES,1,3.0,E15_d,1,19589,-0.28939828080229224,-0.08396946564885496,0.4912450865281536,-0.005452955398940275,0.5281196448044867,0.7834854595627255
ES,1,3.0,E15_d,2,19592,-0.08391608391608392,0.11627906976744186,0.4892813393221723,0.10697961070309692,-0.6022462605455204,-0.41253968253968254
ES,1,3.0,E15_d,3,19674,0.11646586345381527,0.3157894736842105,0.48139676730710584,0.01749897666803111,-0.22003207615500026,-0.5618831477278725
ES,1,3.0,E15_d,4,19522,0.3161290322580645,1.0,0.4631697571970085,-0.31315585422589814,0.36468189659679023,0.6785828962859896
ES,1,3.0,E60_d,0,19428,-1.0,-0.14942528735632185,0.4881099444101297,-0.7332363787461694,-0.2770412457912458,1.362793705539987
ES,1,3.0,E60_d,1,19398,-0.14939024390243902,-0.04231166150670795,0.48535931539333954,-0.279640780730897,-0.2968373651691277,-0.04141030442458937
ES,1,3.0,E60_d,2,19420,-0.04230769230769231,0.056338028169014086,0.48527291452111226,0.15206011920186577,0.26840482783844505,0.4777943845414754
ES,1,3.0,E60_d,3,19409,0.05636070853462158,0.16161616161616163,0.4860116440826421,0.21018513716745318,0.22304306821754166,0.5529342534638635
ES,1,3.0,E60_d,4,19410,0.1616266944734098,1.0,0.47274600721277693,-0.4804768846314036,-0.7453989347677056,-2.5226608977825853
ES,1,3.0,run_d,0,20198,-15.0,-2.0,0.4950985246063967,-0.30578141367785705,-0.4020540703821175,-0.33581049698095683
ES,1,3.0,run_d,1,24841,-1.0,-1.0,0.48943279256068595,-0.10390821373550636,-0.16502231137675524,-0.2679423833849761
ES,1,3.0,run_d,2,35381,-0.0,1.0,0.4805969305559481,-0.009313055365686945,0.1951472239012175,0.1551572400844872
ES,1,3.0,run_d,3,11238,2.0,2.0,0.4750845346147001,-0.10993448801938437,0.061609654296343346,0.9212306551756093
ES,1,3.0,run_d,4,9210,3.0,14.0,0.45678610206297504,-1.118664477285167,-0.8818453368735479,-0.06536541080344985
ES,1,3.0,z_vol,0,20174,-1.9770600496550312,0.7822626525668772,0.49251511846931695,0.07297919167667066,-0.09161114476075106,-0.2332284845047182
ES,1,3.0,z_vol,1,20174,0.782284503668384,1.865992057054193,0.4846832556756221,-0.1055128333166883,-0.24343398699400112,0.10778567353078479
ES,1,3.0,z_vol,2,20173,1.8659981961552912,3.271763629631156,0.49511723590938383,-0.14280009982530573,0.19331117155233202,0.8771059431524548
ES,1,3.0,z_vol,3,20173,3.271997726822632,5.93243935771425,0.481485153422892,-0.22191684989006596,-0.21880056634304207,-0.3285559062451493
ES,1,3.0,z_vol,4,20174,5.932564709264943,210.76924759644308,0.4606424110240904,-0.6242139934125163,-0.2723326940547088,-0.32799346972093263
ES,1,3.0,vol_ratio,0,20174,0.013513513513513514,1.5583333333333333,0.4949439873103995,0.20764535174622237,0.05140894859105141,-0.1752448426755574
ES,1,3.0,vol_ratio,1,20173,1.5583482944344704,2.3059548254620124,0.4856491349824022,-0.3155344655344655,-0.39619595378638817,0.2966362451108214
ES,1,3.0,vol_ratio,2,20174,2.305986696230599,3.3072164948453606,0.4908297809061168,-0.13269125205848595,0.1531685709971309,0.479756562999639
ES,1,3.0,vol_ratio,3,20173,3.3072407045009786,5.314285714285714,0.4844098547563575,-0.17705262105841788,-0.12589181804381927,-0.1676351108140073
ES,1,3.0,vol_ratio,4,20174,5.314475873544093,241.875,0.45861009219787846,-0.6033321694019055,-0.3149697580645161,-0.3352074152864306
ES,1,3.0,body_eff,0,20086,0.0,0.6060606060606061,0.4827740714925819,-0.20177550406259404,-0.17090245015979302,0.33762792872357006
ES,1,3.0,body_eff,1,20375,0.6071428571428571,0.7272727272727273,0.4885889570552147,-0.43007667573583974,-0.4296636849732647,0.174861991412799
ES,1,3.0,body_eff,2,24496,0.7288135593220338,0.8333333333333334,0.4837524493794905,-0.0948992184286302,-0.11015576323987539,-0.250743352306516
ES,1,3.0,body_eff,3,15391,0.835820895522388,0.9090909090909091,0.48287960496393995,-0.04055559195439953,0.398424571390746,-0.053923896086278233
ES,1,3.0,body_eff,4,19997,0.9099099099099099,1.0,0.47702155323298495,-0.2443336355394379,-0.19787428803905616,-0.06508355321020229
ES,1,3.0,closeloc_dir,0,21395,0.0,0.75,0.485814442626782,-0.17348670563831795,-0.1824768805415197,0.2226170772076721
ES,1,3.0,closeloc_dir,1,20411,0.7524752475247525,0.8571428571428571,0.4866003625496056,-0.09060435768510303,0.1041863706506048,0.26524700142305346
ES,1,3.0,closeloc_dir,2,18663,0.8571428571428572,0.9166666666666666,0.4883995070460269,0.09444354446784384,0.41851710404277376,0.6222991457763386
ES,1,3.0,closeloc_dir,3,39876,0.9174311926605505,1.0,0.47727956665663557,-0.42274347243636734,-0.47038852299994893,-0.49543057078698627
ES,1,3.0,dev_g_d,0,20174,-3.9599756748296437,-0.9604086889319559,0.4891940120947755,-0.3397956116621581,0.00994873356682402,1.0489011561295698
ES,1,3.0,dev_g_d,1,20173,-0.9604078130828071,-0.10455256002652732,0.4844098547563575,-0.29795836869165876,-0.6160507501762159,-0.8362338929103137
ES,1,3.0,dev_g_d,2,20174,-0.10451153362873393,0.8015278167723108,0.4891444433429166,0.05884699780570517,0.25383802285196555,0.3763617677286742
ES,1,3.0,dev_g_d,3,20173,0.8015285021510158,1.5517736863287068,0.48540127893719326,0.047647557750835706,0.3557973204392062,0.7082454606244535
ES,1,3.0,dev_g_d,4,20174,1.5517927548713149,4.969704122505996,0.4662932487359968,-0.4920301803827512,-0.6358725831692665,-1.1976972325485338
ES,1,3.0,dev_r_d,0,6380,-3.7381921860513176,-1.0286982603349943,0.48385579937304074,-1.0270226537216829,-0.9651397777029302,0.5333939945404913
ES,1,3.0,dev_r_d,1,6379,-1.028678932116484,-0.10997846772344888,0.47750431102053614,-1.046679499518768,-0.7519893899204244,-1.5868359864067252
ES,1,3.0,dev_r_d,2,6379,-0.10994852993993925,0.8754575340936775,0.49694309452892305,0.06257001120179229,0.6251028129626583,1.8700564971751412
ES,1,3.0,dev_r_d,3,6379,0.8756760413311118,1.6885245918406546,0.49020222605424046,-0.18341102716605048,0.6193408788282291,1.9715622750179986
ES,1,3.0,dev_r_d,4,6380,1.6885615226519919,6.400495553438388,0.49968652037617556,0.45984,0.8663480553724456,-0.5586267605633802
ES,1,3.0,slope_d,0,20174,-0.9998297199216041,-0.017970088242249663,0.4856250619609398,0.19904790240999704,0.8818502509067422,2.8373144948160194
ES,1,3.0,slope_d,1,20173,-0.017969191044694403,-0.004104159989199207,0.4830714321122292,-0.5633009224632262,-0.8862549700538528,-1.6388290782323387
ES,1,3.0,slope_d,2,20174,-0.004103890839010442,0.006195980396482133,0.4889461683354813,0.31567677797603877,0.47340201850294367,1.405887118552525
ES,1,3.0,slope_d,3,20173,0.006196555457511701,0.021406800762811255,0.4921429633668765,0.11891138862629981,0.5254602919781267,0.9222602215302945
ES,1,3.0,slope_d,4,20174,0.02140768972005985,2.0645469613812364,0.4646574799246555,-1.079085680285601,-1.5962760675273089,-3.3674092157461093
ES,1,4.0,D5_atr_d,0,12594,-30.0,-1.25,0.48673971732571064,-0.3493156167453774,-0.3047165239864319,-0.5434585971548392
ES,1,4.0,D5_atr_d,1,12557,-1.2484237074401008,-0.32967032967032966,0.5005176395635901,0.19653039916472573,0.19621538211646228,0.07935451671934786
ES,1,4.0,D5_atr_d,2,12572,-0.3292181069958848,0.425531914893617,0.4790804963410754,-0.17774033060503933,0.1043174241808277,0.31548709408825976
ES,1,4.0,D5_atr_d,3,12576,0.42586750788643535,1.348314606741573,0.4716921119592875,-0.30877164849262345,-0.5229060244871483,-1.0603198276576353
ES,1,4.0,D5_atr_d,4,12565,1.3492063492063493,30.0,0.45403899721448465,-0.5262525050100201,-0.08643670732692463,0.311575139756659
ES,1,4.0,D15_atr_d,0,12574,-30.0,-2.1428571428571432,0.48552568792746936,-1.1383259911894272,-0.8648495632481398,-0.7079273327828242
ES,1,4.0,D15_atr_d,1,12572,-2.142857142857143,-0.5317577548005908,0.4867960547247852,-0.10691621817013415,0.47465475223395615,0.35476368469141956
ES,1,4.0,D15_atr_d,2,12573,-0.5314960629921259,0.8372093023255813,0.49001829316789947,0.43022229355589436,-0.20632603406326033,-0.2939373861189332
ES,1,4.0,D15_atr_d,3,12598,0.8373786407766991,2.4324324324324325,0.47880615970789014,-0.08451943067327683,-0.6524271844660194,-1.069867194588798
ES,1,4.0,D15_atr_d,4,12547,2.433628318584071,30.0,0.45086474854546904,-0.26574044330228075,0.6372549019607843,0.8235099337748344
ES,1,4.0,D60_atr_d,0,12213,-110.39999999999999,-4.576271186440677,0.488659624989765,-0.6610267894169363,-0.09706204225944945,1.1760751529776783
ES,1,4.0,D60_atr_d,1,12248,-4.575389948006932,-1.2,0.48293598954931416,-0.6444572085008615,-0.7466325097099413,-0.3722713864306785
ES,1,4.0,D60_atr_d,2,12191,-1.1977186311787071,1.7647058823529411,0.48043638749897466,0.6847262247838617,1.0227272727272727,1.1462795225598916
ES,1,4.0,D60_atr_d,3,12201,1.7647058823529413,5.078740157480315,0.47815752807146955,0.09541858932102834,0.20129708156647544,0.5836873406966865
ES,1,4.0,D60_atr_d,4,12212,5.07936507936508,32.19679633867277,0.4640517523747134,-0.769889433868152,-1.1638804457953393,-3.7925881133379407
ES,1,4.0,P5_d,0,29470,0.0,0.4,0.4854088903970139,-0.07389415346720947,-0.25273965499360457,-0.6328925970444743
ES,1,4.0,P5_d,1,20975,0.6,0.6,0.4798092967818832,-0.41626587148903427,-0.19476984397025227,-0.06407458837532236
ES,1,4.0,P5_d,2,9239,0.8,1.0,0.45535231085615324,-0.3841789416257501,0.5333112728877123,1.3369050304534176
ES,1,4.0,P15_d,0,16803,0.0,0.4,0.48158067011843125,-0.8770929604512993,-1.1591294859359844,-1.8805691915739762
ES,1,4.0,P15_d,1,13408,0.4666666666666667,0.4666666666666667,0.4819510739856802,-0.07732191163210099,-0.1615378770610136,-0.17648878576952823
ES,1,4.0,P15_d,2,13516,0.5333333333333333,0.5333333333333333,0.48231725362533295,0.45874365860937033,0.5195812622382889,0.9265359276850008
ES,1,4.0,P15_d,3,9542,0.6,0.6,0.4744288409138545,-0.032773020403848184,-0.0254192032468226,-0.01529386060738475
ES,1,4.0,P15_d,4,7683,0.6666666666666666,0.9333333333333333,0.46297019393466093,-0.7355718782791185,0.6048612033470581,1.2489422683226423
ES,1,4.0,P60_d,0,12692,0.016666666666666666,0.43333333333333335,0.46769618657421996,-1.3451425847962506,-1.3996792301523657,-0.5016810168101681
ES,1,4.0,P60_d,1,12274,0.44999999999999996,0.4833333333333333,0.4842757047417305,0.16906386126407497,-0.378068058906731,-0.5771351030446951
ES,1,4.0,P60_d,2,11571,0.48333333333333334,0.5166666666666666,0.48483277158413274,-0.636054718131916,-0.32470733210104746,-0.09526796917010216
ES,1,4.0,P60_d,3,12009,0.5166666666666667,0.55,0.486301940211508,0.37180779569892475,1.1083446634942216,0.41194393662400974
ES,1,4.0,P60_d,4,11651,0.5666666666666667,0.9833333333333333,0.47274912024718907,0.10371396415894728,0.15537464985994398,-0.4918312387791742
ES,1,4.0,E5_d,0,11970,-1.0,-0.5384615384615384,0.487468671679198,-0.1554806070826307,0.02584221748400853,-0.2917285352432527
ES,1,4.0,E5_d,1,11922,-0.5370370370370371,-0.18181818181818182,0.4989095789297098,-0.20785043566534134,-0.25006407518154633,-0.5758920800696258
ES,1,4.0,E5_d,2,11925,-0.18120805369127516,0.21428571428571427,0.4829350104821803,0.13579934127185203,0.24803821221426134,0.5147225862822193
ES,1,4.0,E5_d,3,11932,0.21495327102803738,0.56,0.467063359034529,-0.25890595981765996,-0.37946618913618146,-0.11828800557880056
ES,1,4.0,E5_d,4,11935,0.5609756097560976,1.0,0.457561793045664,-0.7255499153976311,-0.19828840393667094,-0.16736474694589878
ES,1,4.0,E15_d,0,12206,-1.0,-0.28888888888888886,0.4882025233491725,-1.0310692447529335,-0.8997405640639384,-0.9368204776988271
ES,1,4.0,E15_d,1,12175,-0.28859060402684567,-0.0812720848056537,0.4854209445585216,-0.20540450928381962,0.6531704868663208,0.8481196581196582
ES,1,4.0,E15_d,2,12190,-0.08108108108108109,0.12138728323699421,0.48958162428219854,0.36146667767776036,-0.808972864990844,-0.9768490935398757
ES,1,4.0,E15_d,3,12203,0.12149532710280374,0.32142857142857145,0.4743915430631812,-0.01997194024923661,-0.4448244223871883,-0.8136355917812872
ES,1,4.0,E15_d,4,12178,0.3216374269005848,1.0,0.45417966825422895,-0.38057351234874853,0.6679808740877443,0.9133047210300429
ES,1,4.0,E60_d,0,12040,-1.0,-0.14837153196622438,0.4867109634551495,-0.7673657718120805,-0.20054384772263767,1.1494082840236686
ES,1,4.0,E60_d,1,12040,-0.14836223506743737,-0.04051172707889126,0.4841362126245847,-0.6210993056136535,-0.7196758673081793,-0.41216507280089604
ES,1,4.0,E60_d,2,12038,-0.040498442367601244,0.0584958217270195,0.48172453895996015,0.5703294865362101,0.7229484692586657,0.7412250516173434
ES,1,4.0,E60_d,3,12041,0.0585480093676815,0.16535433070866143,0.47894693131799687,0.10715479772651287,0.34573119188503804,0.376046973491063
ES,1,4.0,E60_d,4,12038,0.16541353383458646,1.0,0.46378135902973916,-0.6797275708399899,-1.0770868824531517,-3.150693293799599
ES,1,4.0,run_d,0,28064,-15.0,-1.0,0.4892032497149373,-0.039112164637431314,-0.21447487756212588,-0.442724573125464
ES,1,4.0,run_d,1,22054,-0.0,1.0,0.4764215108370364,-0.12232583653318706,0.10037415123100374,-0.28929427805726643
ES,1,4.0,run_d,2,7010,2.0,2.0,0.4651925820256776,-0.38378456221198154,-0.20850939822235173,0.40855742088842667
ES,1,4.0,run_d,3,5736,3.0,14.0,0.449442119944212,-1.426713532513181,-0.43044945816308405,0.8124316441851986
ES,1,4.0,z_vol,0,12573,-1.498868354392434,0.9494512967076127,0.4854052334367295,-0.3477597559017183,-0.47310088180567916,-0.8977975748577085
ES,1,4.0,z_vol,1,12574,0.9495258264476341,2.2117022578186027,0.486718625735645,-0.09672249378956647,0.03825004043344655,0.8842507899550973
ES,1,4.0,z_vol,2,12571,2.2119329318129517,3.880305663341824,0.49526688409832154,0.17027590632017967,0.07250020274105912,0.35375789823744597
ES,1,4.0,z_vol,3,12573,3.8804036285937453,7.041464436809606,0.4733953710331663,-0.10641539695268645,-0.224395390358708,-1.4327378479434982
ES,1,4.0,z_vol,4,12573,7.043479286210283,210.76924759644308,0.45128449852859304,-0.7856112802435508,-0.028151874087295147,0.19363026035696743
ES,1,4.0,vol_ratio,0,12573,0.013513513513513514,1.7180114099429502,0.4889047959914102,-0.1728712712068827,-0.7070404277728267,-0.9179204279505182
ES,1,4.0,vol_ratio,1,12573,1.7180395080134179,2.6213286024048887,0.48333731010896364,-0.19354063151146017,0.0882138517618469,0.5760387927430817
ES,1,4.0,vol_ratio,2,12572,2.6216216216216215,3.8226600985221677,0.4915685650652243,-0.04577888238595366,0.40637901724277503,0.34393159555039016
ES,1,4.0,vol_ratio,3,12573,3.823451209784632,6.242698477992596,0.4771335401256661,-0.037369687249398556,-0.24441556331735845,-1.141751728679618
ES,1,4.0,vol_ratio,4,12573,6.242829295460875,241.875,0.45112542750338025,-0.7159663865546219,-0.15913874048891047,0.2393759648980255
ES,1,4.0,body_eff,0,12644,0.0,0.6,0.4823631762100601,-0.007727852135117909,0.036019339242546335,0.5764764022732889
ES,1,4.0,body_eff,1,12351,0.6025641025641025,0.7368421052631579,0.4863573799692333,-0.6935312831389183,-0.5857437165224557,-0.5037118272313144
ES,1,4.0,body_eff,2,13324,0.7380952380952381,0.8333333333333334,0.47530771540078054,0.06668180442022403,-0.12480881003364944,-0.3663776267479103
ES,1,4.0,body_eff,3,11670,0.835820895522388,0.9166666666666666,0.477120822622108,-0.3077589192933841,0.13024804978525725,-0.9856502242152466
ES,1,4.0,body_eff,4,12352,0.9175531914893617,1.0,0.4722312176165803,-0.2696794192022188,-0.06154858882580433,0.3341139081709459
ES,1,4.0,closeloc_dir,0,13068,0.0,0.75,0.48492500765228036,-0.029153169828782972,-0.23351798392759615,0.2559840954274354
ES,1,4.0,closeloc_dir,1,12626,0.7524752475247525,0.8571428571428572,0.48154601615713605,0.024324108780604516,0.3296260477111541,-0.048559670781893
ES,1,4.0,closeloc_dir,2,12247,0.8586956521739131,0.9230769230769231,0.47913774801992326,-0.08009228740936059,0.1273227231064078,0.033165657771336
ES,1,4.0,closeloc_dir,3,24400,0.9239130434782609,1.0,0.4735655737704918,-0.5594691802058787,-0.4249279959928205,-0.5831805194251354
ES,1,4.0,dev_g_d,0,12573,-3.9599756748296437,-0.9586328989936752,0.4897796866300803,-0.30405405405405406,0.3117507950746147,1.1363636363636365
ES,1,4.0,dev_g_d,1,12573,-0.9585679827638732,-0.0935354506747467,0.48079217370555954,-0.6002242332025306,-1.2478577202910266,-2.026802598043246
ES,1,4.0,dev_g_d,2,12572,-0.09350404809949767,0.8230582277588284,0.486239261851734,-0.027063816158219234,0.5483610528015501,0.7375781507074696
ES,1,4.0,dev_g_d,3,12573,0.8231963427767675,1.580250190270455,0.47888332140300643,0.19081583587113318,0.35719485561756853,0.3655371900826446
ES,1,4.0,dev_g_d,4,12573,1.5803421474225197,4.969704122505996,0.4563747713354013,-0.4264057110772439,-0.5832521908471275,-1.0931929359091286
ES,1,4.0,dev_r_d,0,3740,-3.7199222513428944,-1.0472185138502335,0.48823529411764705,-0.692605926336195,-0.13186813186813187,1.8076561029181049
ES,1,4.0,dev_r_d,1,3739,-1.0470683904719367,-0.10184450631415895,0.480342337523402,-0.9300603400987384,-0.46088193456614507,-2.6665643229966225
ES,1,4.0,dev_r_d,2,3739,-0.10147914796412874,0.8967605691751159,0.505215298208077,0.023300438596491228,0.7619586753467308,1.4445118253486962
ES,1,4.0,dev_r_d,3,3739,0.8968357271428564,1.7223383016155143,0.48381920299545333,-0.21212121212121213,0.875995449374289,2.619283065512979
ES,1,4.0,dev_r_d,4,3740,1.7224809534606627,6.400495553438388,0.4834224598930481,0.033415502602026845,0.6292294569235144,-1.6643314042034725
ES,1,4.0,slope_d,0,12573,-0.9998297199216041,-0.01759675743803907,0.48254195498289987,0.1510860052510144,0.8645284825275251,2.9738151562117627
ES,1,4.0,slope_d,1,12573,-0.017596621802351636,-0.0038707668679831622,0.48103078024337864,-0.8463078648085857,-1.1112999838109114,-2.6069368924040206
ES,1,4.0,slope_d,2,12572,-0.003870672453458319,0.0063658586712188325,0.4902163538020999,0.6263006964358869,1.0033726812816188,2.1540654972781472
ES,1,4.0,slope_d,3,12573,0.006365992552916092,0.021784592915082612,0.4823828839576871,0.19171191312679656,0.6907390988957847,1.0420836751435603
ES,1,4.0,slope_d,4,12573,0.02178970542233059,2.0645469613812364,0.45589755825976297,-1.2670061261834673,-2.005417894988447,-4.346812326756889
ES,3,3.0,D5_atr_d,0,21572,-20.05025125628141,0.08823529411764705,0.48159651399962916,-0.2832919574687339,-0.025980811247268927,0.2869400814426992
ES,3,3.0,D5_atr_d,1,21590,0.08849557522123894,0.9278350515463918,0.4840203798054655,0.00037439161362785476,-0.13176560194220974,-0.0107269979033595
ES,3,3.0,D5_atr_d,2,21660,0.9285714285714286,1.6666666666666667,0.47072945521698983,-0.8125524573347012,-0.9171351632257759,-0.6593422444465814
ES,3,3.0,D5_atr_d,3,21468,1.6682926829268294,2.619047619047619,0.47540525433202907,-0.0008457454306253818,-0.2184965615366374,-0.15094248662199297
ES,3,3.0,D5_atr_d,4,21551,2.619718309859155,30.0,0.4695837780149413,0.1388330919792591,0.4930411886402106,0.22206344669905687
ES,3,3.0,D15_atr_d,0,21569,-20.05025125628141,-0.7648725212464589,0.47410635634475407,-0.8285847953216374,-0.2672957465977524,0.6573764939275173
ES,3,3.0,D15_atr_d,1,21571,-0.7643312101910827,0.7853403141361257,0.4864864864864865,0.12936046511627908,-0.026219541158029734,0.25562888198757766
ES,3,3.0,D15_atr_d,2,21566,0.7857142857142857,2.1140939597315436,0.48390985810998793,-0.10956082030152636,-0.6975452257727554,-1.2942540955878798
ES,3,3.0,D15_atr_d,3,21567,2.1142857142857143,3.702770780856423,0.47442852506143646,-0.11457455770850884,-0.3045372738467368,-0.40089483306071394
ES,3,3.0,D15_atr_d,4,21568,3.7037037037037033,30.0,0.46239799703264095,-0.036030990385512926,0.49195823927765236,0.46744430633903816
ES,3,3.0,D60_atr_d,0,21022,-110.39999999999999,-3.095723014256619,0.4701741033203311,-0.6864116540446674,-0.4367054434791145,0.8309231923942957
ES,3,3.0,D60_atr_d,1,21022,-3.0956848030018764,0.3157894736842105,0.4814004376367615,-0.19530988274706867,0.07110102814114012,0.8156561931454983
ES,3,3.0,D60_atr_d,2,21021,0.31578947368421056,3.230769230769231,0.4836116264687693,0.521071513991868,0.9595760057817393,1.1492493376508683
ES,3,3.0,D60_atr_d,3,21022,3.231334149326805,6.359999999999999,0.4798306536009894,0.002008224156067706,-0.2925557593897847,-0.32721727581287813
ES,3,3.0,D60_atr_d,4,21021,6.360601001669449,32.78350515463917,0.46767518196089625,-0.671148730350665,-1.104736556754892,-3.002511805485783
ES,3,3.0,P5_d,0,29860,0.0,0.4,0.48104487608841257,-0.1694915254237288,-0.050900870041789406,-0.2170834641275156
ES,3,3.0,P5_d,1,43163,0.6,0.6,0.47786298450061393,-0.2834038376142286,-0.37117521872783166,-0.17674094037249147
ES,3,3.0,P5_d,2,26297,0.8,0.8,0.47317184469711376,-0.04506750536974532,0.06195171182361618,0.2192854033949274
ES,3,3.0,P5_d,3,5370,1.0,1.0,0.4553072625698324,-0.42916274694261525,0.13478012564249,1.6145894285157012
ES,3,3.0,P15_d,0,22089,0.06666666666666665,0.4,0.474036850921273,-0.6580090539119301,-0.8754916022764078,-1.1886196492551386
ES,3,3.0,P15_d,1,22758,0.4666666666666667,0.4666666666666667,0.4742068723086387,-0.44175639151047896,-0.7701278313523211,-0.29466198659798515
ES,3,3.0,P15_d,2,25526,0.5333333333333333,0.5333333333333333,0.484603933244535,0.3217741616967495,0.3730139720558882,0.5663533986875152
ES,3,3.0,P15_d,3,19425,0.6,0.6,0.47716859716859716,0.04177925587196009,0.08650355169692187,-0.10674097095702496
ES,3,3.0,P15_d,4,15763,0.6666666666666666,1.0,0.4705956987883017,-0.29458109146810146,0.5177562812439135,1.002669514148425
ES,3,3.0,P60_d,0,22280,0.016666666666666666,0.43333333333333335,0.47078096947935366,-0.8195757383870822,-1.220833713399617,-1.080031475652657
