instrument,level_id,n_mutually_eligible,n_real_touched,n_synth_touched,real_touch_rate,synth_touch_rate,n_real_only,n_synth_only,n_both_touched,n_neither_touched,n_discordant,paired_touch_rate_diff,diff_ci_lo,diff_ci_hi,discordant_odds_ratio,or_ci_lo,or_ci_hi,p_raw,confirmatory_eligible,status,p_bonferroni,bonferroni_alpha,bonferroni_survivor
ES,vwap_on_j+0,1226,740,915,0.6035889070146819,0.7463295269168027,141,316,599,170,457,-0.14274061990212072,-0.17596965452549196,-0.10951158527874949,0.4462025316455696,0.3658680314618885,0.5441762661017157,1.6979917060684342e-16,True,tested,1.2904736966120101e-14,0.0006578947368421052,True
ES,vwap_on_j+1,1226,698,903,0.5693311582381729,0.736541598694943,54,259,644,269,313,-0.16721044045677003,-0.1939005967348676,-0.14052028417867235,0.2084942084942085,0.15550835200223237,0.27953376404504926,2.922205675488852e-33,True,tested,2.2208763133715277e-31,0.0006578947368421052,True
ES,vwap_on_j+2,1226,432,806,0.3523654159869494,0.6574225122349103,10,384,422,410,394,-0.3050570962479609,-0.3318040149649688,-0.2783101775309529,0.026041666666666668,0.0138997780213891,0.048789872883883936,1.1266868875946845e-99,True,tested,8.562820345719602e-98,0.0006578947368421052,True
ES,vwap_on_j+3,1226,202,774,0.16476345840130505,0.6313213703099511,1,573,201,451,574,-0.46655791190864604,-0.49457518899321484,-0.4385406348240771,0.0017452006980802793,0.00024540632105556976,0.01241094957733473,1.8598603214980097e-170,True,tested,1.4134938443384873e-168,0.0006578947368421052,True
ES,vwap_on_j-1,1226,630,911,0.5138662316476346,0.7430668841761827,32,313,598,283,345,-0.22920065252854815,-0.25598032545621024,-0.202420979600886,0.10223642172523961,0.07106003215639711,0.1470909259395837,4.344237114634074e-59,True,tested,3.3016202071218964e-57,0.0006578947368421052,True
ES,vwap_on_j-2,1226,393,857,0.3205546492659054,0.699021207177814,7,471,386,362,478,-0.37846655791190864,-0.406266916842153,-0.3506661989816643,0.014861995753715499,0.007046368020914971,0.03134649185620827,2.8155595813827763e-129,True,tested,2.13982528185091e-127,0.0006578947368421052,True
ES,vwap_on_j-3,1226,213,846,0.1737357259380098,0.6900489396411092,1,634,212,379,635,-0.5163132137030995,-0.544378108117754,-0.4882483192884449,0.0015772870662460567,0.00022183114209097155,0.011214992024550136,8.921540774203804e-189,True,tested,6.780370988394891e-187,0.0006578947368421052,True
NQ,mad_D_1.0,1224,1057,1058,0.863562091503268,0.8643790849673203,11,12,1046,155,23,-0.0008169934640522847,-0.008496456565682329,0.006862469637577753,0.9166666666666666,0.40447653877269973,2.0774450363114423,1.0,True,tested,1.0,0.0006578947368421052,False
NQ,mad_D_1.5,1224,985,973,0.8047385620915033,0.7949346405228758,23,11,962,228,34,0.009803921568627527,0.00048294460644681195,0.01912489853080809,2.090909090909091,1.0192681663312426,4.289254752439208,0.05761267291381955,True,tested,1.0,0.0006578947368421052,False
NQ,mad_D_2.0,1224,910,911,0.7434640522875817,0.744281045751634,15,16,895,298,31,-0.0008169934640522847,-0.00973257708216394,0.008098590154059363,0.9375,0.4634958239667608,1.8962549489184393,1.0,True,tested,1.0,0.0006578947368421052,False
NQ,mad_U_1.0,1224,1084,1082,0.8856209150326797,0.8839869281045751,14,12,1070,128,26,0.0016339869281045694,-0.006530596521691232,0.009798570377900382,1.1666666666666667,0.5396096901459643,2.5223993118858394,0.8450189828872681,True,tested,1.0,0.0006578947368421052,False
NQ,mad_U_1.5,1224,1000,1003,0.8169934640522876,0.8194444444444444,16,19,984,205,35,-0.002450980392156854,-0.011923446319012373,0.007021485534698647,0.8421052631578947,0.43305145184192023,1.6375450797405242,0.735878800856881,True,tested,1.0,0.0006578947368421052,False
NQ,mad_U_2.0,1224,932,930,0.761437908496732,0.7598039215686274,15,13,917,279,28,0.0016339869281045694,-0.006838839774905494,0.010106813631114644,1.1538461538461537,0.5490275765799765,2.4249436704781315,0.8505540192127228,True,tested,1.0,0.0006578947368421052,False
NQ,mult_D_0.5,1224,1122,1077,0.9166666666666666,0.8799019607843137,45,0,1077,102,45,0.03676470588235292,0.02622212105567115,0.047307290709034736,inf,5.605860365383372,1477.2041150250227,5.684341886080802e-14,True,tested,4.320099833421409e-12,0.0006578947368421052,True
NQ,mult_D_1.0,1224,1037,982,0.8472222222222222,0.8022875816993464,55,0,982,187,55,0.04493464052287577,0.03332890832591475,0.05654037271983688,inf,6.856614212775128,1796.9510340896416,5.551115123125783e-17,True,tested,4.218847493575595e-15,0.0006578947368421052,True
NQ,mult_D_1.5,1224,946,906,0.7728758169934641,0.7401960784313726,40,0,906,278,40,0.0326797385620915,0.02271904013445066,0.042640436989732355,inf,4.980512613346624,1317.3342804951521,1.8189894035458565e-12,True,tested,1.382431946694851e-10,0.0006578947368421052,True
NQ,mult_D_2.0,1224,879,803,0.7181372549019608,0.6560457516339869,76,0,803,345,76,0.06209150326797386,0.048571970435603275,0.07561103610034445,inf,9.483331995498062,2468.4362006004567,2.6469779601696886e-23,True,tested,2.0117032497289633e-21,0.0006578947368421052,True
NQ,mult_U_0.5,1224,1141,1090,0.9321895424836601,0.8905228758169934,51,0,1090,83,51,0.04166666666666674,0.03047182285536979,0.05286151047796354,inf,6.356305316620423,1669.051354764168,8.881784197001252e-16,True,tested,6.750155989720952e-14,0.0006578947368421052,True
NQ,mult_U_1.0,1224,1047,1002,0.8553921568627451,0.8186274509803921,45,0,1002,177,45,0.03676470588235292,0.02622212105567115,0.047307290709034736,inf,5.605860365383372,1477.2041150250227,5.684341886080802e-14,True,tested,4.320099833421409e-12,0.0006578947368421052,True
NQ,mult_U_1.5,1224,962,921,0.7859477124183006,0.7524509803921569,41,0,921,262,41,0.03349673202614378,0.023416553000586073,0.04357691105170151,inf,5.105580088337648,1349.3079886722592,9.094947017729282e-13,True,tested,6.912159733474255e-11,0.0006578947368421052,True
