instrument,level_id,n_mutually_eligible,n_real_touched,n_synth_touched,real_touch_rate,synth_touch_rate,n_real_only,n_synth_only,n_both_touched,n_neither_touched,n_discordant,paired_touch_rate_diff,diff_ci_lo,diff_ci_hi,discordant_odds_ratio,or_ci_lo,or_ci_hi,p_raw,confirmatory_eligible,status,p_bonferroni,bonferroni_alpha,bonferroni_survivor
NQ,mad_D_1.5,1224,985,973,0.8047385620915033,0.7949346405228758,23,11,962,228,34,0.009803921568627527,0.00048294460644681195,0.01912489853080809,2.090909090909091,1.0192681663312426,4.289254752439208,0.05761267291381955,True,tested,1.0,0.0006578947368421052,False
NQ,mad_D_2.0,1224,910,911,0.7434640522875817,0.744281045751634,15,16,895,298,31,-0.0008169934640522847,-0.00973257708216394,0.008098590154059363,0.9375,0.4634958239667608,1.8962549489184393,1.0,True,tested,1.0,0.0006578947368421052,False
NQ,mad_U_1.0,1224,1084,1082,0.8856209150326797,0.8839869281045751,14,12,1070,128,26,0.0016339869281045694,-0.006530596521691232,0.009798570377900382,1.1666666666666667,0.5396096901459643,2.5223993118858394,0.8450189828872681,True,tested,1.0,0.0006578947368421052,False
NQ,mad_U_1.5,1224,1000,1003,0.8169934640522876,0.8194444444444444,16,19,984,205,35,-0.002450980392156854,-0.011923446319012373,0.007021485534698647,0.8421052631578947,0.43305145184192023,1.6375450797405242,0.735878800856881,True,tested,1.0,0.0006578947368421052,False
NQ,mad_U_2.0,1224,932,930,0.761437908496732,0.7598039215686274,15,13,917,279,28,0.0016339869281045694,-0.006838839774905494,0.010106813631114644,1.1538461538461537,0.5490275765799765,2.4249436704781315,0.8505540192127228,True,tested,1.0,0.0006578947368421052,False
NQ,q_D_p25,1224,1134,1131,0.9264705882352942,0.9240196078431373,21,18,1113,72,39,0.002450980392156854,-0.007548237057051871,0.012450197841365597,1.1666666666666667,0.6216257390029496,2.189599023512527,0.7492586247608418,True,tested,1.0,0.0006578947368421052,False
NQ,q_D_p75,1224,916,924,0.7483660130718954,0.7549019607843137,12,20,904,288,32,-0.006535947712418277,-0.01558690544467967,0.002515010019843069,0.6,0.29331257426324187,1.2273595869671359,0.21532714972272515,True,tested,1.0,0.0006578947368421052,False
NQ,q_D_p90,1224,810,826,0.6617647058823529,0.6748366013071896,19,35,791,379,54,-0.013071895424836666,-0.02481624191810622,-0.0013275489315669829,0.5428571428571428,0.310542828254212,0.9489637201017003,0.04022356409571669,True,tested,1.0,0.0006578947368421052,False
NQ,q_U_p25,1224,1140,1141,0.9313725490196079,0.9321895424836601,20,21,1120,63,41,-0.0008169934640522847,-0.011070260182730066,0.00943627325462549,0.9523809523809523,0.5162451722164095,1.7569742581104928,1.0,True,tested,1.0,0.0006578947368421052,False
NQ,q_U_p75,1224,941,929,0.7687908496732027,0.7589869281045751,22,10,919,273,32,0.009803921568627527,0.0007622269211102414,0.01884561621614466,2.2,1.0417923991244906,4.645839232526055,0.050102459732443094,True,tested,1.0,0.0006578947368421052,False
NQ,q_U_p90,1224,813,799,0.6642156862745098,0.6527777777777778,35,21,778,390,56,0.011437908496731986,-0.000528032306803471,0.023403849300267524,1.6666666666666667,0.970265266009056,2.8629055116066082,0.08142681460950618,True,tested,1.0,0.0006578947368421052,False
