instrument,level_id,arm,touch_bucket,n
ES,prior_rth_mid,REAL,B3,28
ES,prior_rth_mid,REAL,B4,27
ES,prior_rth_mid,REAL,B5,20
ES,prior_rth_mid,REAL,B6,11
ES,prior_rth_mid,SYNTHETIC,B1,527
ES,prior_rth_mid,SYNTHETIC,B2,127
ES,prior_rth_mid,SYNTHETIC,B3,46
ES,prior_rth_mid,SYNTHETIC,B4,54
ES,prior_rth_mid,SYNTHETIC,B5,28
ES,prior_rth_mid,SYNTHETIC,B6,18
ES,prior_rth_vwap,REAL,B1,138
ES,prior_rth_vwap,REAL,B2,51
ES,prior_rth_vwap,REAL,B3,26
ES,prior_rth_vwap,REAL,B4,31
ES,prior_rth_vwap,REAL,B5,23
ES,prior_rth_vwap,REAL,B6,15
ES,prior_rth_vwap,SYNTHETIC,B1,521
ES,prior_rth_vwap,SYNTHETIC,B2,122
ES,prior_rth_vwap,SYNTHETIC,B3,59
ES,prior_rth_vwap,SYNTHETIC,B4,55
ES,prior_rth_vwap,SYNTHETIC,B5,32
ES,prior_rth_vwap,SYNTHETIC,B6,20
ES,q_D_p25,REAL,B1,1100
ES,q_D_p25,REAL,B2,24
ES,q_D_p25,REAL,B3,9
ES,q_D_p25,REAL,B4,12
ES,q_D_p25,REAL,B5,3
ES,q_D_p25,REAL,B6,4
ES,q_D_p25,SYNTHETIC,B1,1069
ES,q_D_p25,SYNTHETIC,B2,30
ES,q_D_p25,SYNTHETIC,B3,12
ES,q_D_p25,SYNTHETIC,B4,13
ES,q_D_p25,SYNTHETIC,B5,6
ES,q_D_p25,SYNTHETIC,B6,5
ES,q_D_p75,REAL,B1,726
ES,q_D_p75,REAL,B2,123
ES,q_D_p75,REAL,B3,33
ES,q_D_p75,REAL,B4,39
ES,q_D_p75,REAL,B5,21
ES,q_D_p75,REAL,B6,7
ES,q_D_p75,SYNTHETIC,B1,677
ES,q_D_p75,SYNTHETIC,B2,140
ES,q_D_p75,SYNTHETIC,B3,37
ES,q_D_p75,SYNTHETIC,B4,41
ES,q_D_p75,SYNTHETIC,B5,21
ES,q_D_p75,SYNTHETIC,B6,10
ES,q_D_p90,REAL,B1,500
ES,q_D_p90,REAL,B2,147
ES,q_D_p90,REAL,B3,70
ES,q_D_p90,REAL,B4,54
ES,q_D_p90,REAL,B5,36
ES,q_D_p90,REAL,B6,21
ES,q_D_p90,SYNTHETIC,B1,551
ES,q_D_p90,SYNTHETIC,B2,142
ES,q_D_p90,SYNTHETIC,B3,55
ES,q_D_p90,SYNTHETIC,B4,50
ES,q_D_p90,SYNTHETIC,B5,34
ES,q_D_p90,SYNTHETIC,B6,18
ES,q_D_p95,REAL,B1,389
ES,q_D_p95,REAL,B2,154
ES,q_D_p95,REAL,B3,77
ES,q_D_p95,REAL,B4,56
ES,q_D_p95,REAL,B5,44
ES,q_D_p95,REAL,B6,25
ES,q_D_p95,SYNTHETIC,B1,551
ES,q_D_p95,SYNTHETIC,B2,133
ES,q_D_p95,SYNTHETIC,B3,59
ES,q_D_p95,SYNTHETIC,B4,48
ES,q_D_p95,SYNTHETIC,B5,35
ES,q_D_p95,SYNTHETIC,B6,18
ES,q_U_p25,REAL,B1,1081
ES,q_U_p25,REAL,B2,30
ES,q_U_p25,REAL,B3,15
ES,q_U_p25,REAL,B4,17
ES,q_U_p25,REAL,B5,8
ES,q_U_p25,REAL,B6,1
ES,q_U_p25,SYNTHETIC,B1,1020
ES,q_U_p25,SYNTHETIC,B2,49
ES,q_U_p25,SYNTHETIC,B3,18
ES,q_U_p25,SYNTHETIC,B4,19
ES,q_U_p25,SYNTHETIC,B5,8
ES,q_U_p25,SYNTHETIC,B6,6
ES,q_U_p75,REAL,B1,694
ES,q_U_p75,REAL,B2,105
ES,q_U_p75,REAL,B3,48
ES,q_U_p75,REAL,B4,42
ES,q_U_p75,REAL,B5,24
ES,q_U_p75,REAL,B6,20
ES,q_U_p75,SYNTHETIC,B1,665
ES,q_U_p75,SYNTHETIC,B2,105
ES,q_U_p75,SYNTHETIC,B3,56
ES,q_U_p75,SYNTHETIC,B4,35
ES,q_U_p75,SYNTHETIC,B5,29
ES,q_U_p75,SYNTHETIC,B6,19
ES,q_U_p90,REAL,B1,491
ES,q_U_p90,REAL,B2,129
ES,q_U_p90,REAL,B3,68
ES,q_U_p90,REAL,B4,52
ES,q_U_p90,REAL,B5,26
ES,q_U_p90,REAL,B6,27
ES,q_U_p90,SYNTHETIC,B1,491
ES,q_U_p90,SYNTHETIC,B2,122
ES,q_U_p90,SYNTHETIC,B3,58
ES,q_U_p90,SYNTHETIC,B4,53
ES,q_U_p90,SYNTHETIC,B5,31
ES,q_U_p90,SYNTHETIC,B6,25
ES,q_U_p95,REAL,B1,392
ES,q_U_p95,REAL,B2,137
ES,q_U_p95,REAL,B3,63
ES,q_U_p95,REAL,B4,57
ES,q_U_p95,REAL,B5,37
ES,q_U_p95,REAL,B6,26
ES,q_U_p95,SYNTHETIC,B1,462
ES,q_U_p95,SYNTHETIC,B2,136
ES,q_U_p95,SYNTHETIC,B3,58
ES,q_U_p95,SYNTHETIC,B4,65
ES,q_U_p95,SYNTHETIC,B5,30
ES,q_U_p95,SYNTHETIC,B6,24
ES,vwap_on_j+0,REAL,B1,505
ES,vwap_on_j+0,REAL,B2,117
ES,vwap_on_j+0,REAL,B3,56
ES,vwap_on_j+0,REAL,B4,54
ES,vwap_on_j+0,REAL,B5,32
ES,vwap_on_j+0,REAL,B6,17
ES,vwap_on_j+0,SYNTHETIC,B1,692
ES,vwap_on_j+0,SYNTHETIC,B2,102
ES,vwap_on_j+0,SYNTHETIC,B3,47
ES,vwap_on_j+0,SYNTHETIC,B4,35
ES,vwap_on_j+0,SYNTHETIC,B5,23
ES,vwap_on_j+0,SYNTHETIC,B6,16
ES,vwap_on_j+1,REAL,B1,491
ES,vwap_on_j+1,REAL,B2,96
ES,vwap_on_j+1,REAL,B3,40
ES,vwap_on_j+1,REAL,B4,53
ES,vwap_on_j+1,REAL,B5,34
ES,vwap_on_j+1,REAL,B6,24
ES,vwap_on_j+1,SYNTHETIC,B1,669
ES,vwap_on_j+1,SYNTHETIC,B2,108
ES,vwap_on_j+1,SYNTHETIC,B3,43
ES,vwap_on_j+1,SYNTHETIC,B4,38
ES,vwap_on_j+1,SYNTHETIC,B5,29
ES,vwap_on_j+1,SYNTHETIC,B6,16
ES,vwap_on_j+2,REAL,B1,208
ES,vwap_on_j+2,REAL,B2,91
ES,vwap_on_j+2,REAL,B3,49
ES,vwap_on_j+2,REAL,B4,53
ES,vwap_on_j+2,REAL,B5,29
ES,vwap_on_j+2,REAL,B6,26
ES,vwap_on_j+2,SYNTHETIC,B1,509
ES,vwap_on_j+2,SYNTHETIC,B2,141
ES,vwap_on_j+2,SYNTHETIC,B3,56
ES,vwap_on_j+2,SYNTHETIC,B4,50
ES,vwap_on_j+2,SYNTHETIC,B5,26
ES,vwap_on_j+2,SYNTHETIC,B6,24
ES,vwap_on_j+3,REAL,B1,51
ES,vwap_on_j+3,REAL,B2,41
ES,vwap_on_j+3,REAL,B3,32
ES,vwap_on_j+3,REAL,B4,37
ES,vwap_on_j+3,REAL,B5,27
ES,vwap_on_j+3,REAL,B6,28
ES,vwap_on_j+3,SYNTHETIC,B1,471
ES,vwap_on_j+3,SYNTHETIC,B2,135
ES,vwap_on_j+3,SYNTHETIC,B3,65
ES,vwap_on_j+3,SYNTHETIC,B4,48
ES,vwap_on_j+3,SYNTHETIC,B5,32
ES,vwap_on_j+3,SYNTHETIC,B6,23
ES,vwap_on_j-1,REAL,B1,436
ES,vwap_on_j-1,REAL,B2,94
ES,vwap_on_j-1,REAL,B3,37
ES,vwap_on_j-1,REAL,B4,45
ES,vwap_on_j-1,REAL,B5,30
ES,vwap_on_j-1,REAL,B6,20
ES,vwap_on_j-1,SYNTHETIC,B1,672
ES,vwap_on_j-1,SYNTHETIC,B2,116
ES,vwap_on_j-1,SYNTHETIC,B3,35
ES,vwap_on_j-1,SYNTHETIC,B4,43
ES,vwap_on_j-1,SYNTHETIC,B5,27
ES,vwap_on_j-1,SYNTHETIC,B6,18
ES,vwap_on_j-2,REAL,B1,191
ES,vwap_on_j-2,REAL,B2,64
ES,vwap_on_j-2,REAL,B3,49
ES,vwap_on_j-2,REAL,B4,38
ES,vwap_on_j-2,REAL,B5,41
ES,vwap_on_j-2,REAL,B6,25
ES,vwap_on_j-2,SYNTHETIC,B1,573
ES,vwap_on_j-2,SYNTHETIC,B2,139
ES,vwap_on_j-2,SYNTHETIC,B3,52
ES,vwap_on_j-2,SYNTHETIC,B4,45
ES,vwap_on_j-2,SYNTHETIC,B5,30
ES,vwap_on_j-2,SYNTHETIC,B6,18
ES,vwap_on_j-3,REAL,B1,49
ES,vwap_on_j-3,REAL,B2,54
ES,vwap_on_j-3,REAL,B3,32
ES,vwap_on_j-3,REAL,B4,33
ES,vwap_on_j-3,REAL,B5,26
ES,vwap_on_j-3,REAL,B6,22
ES,vwap_on_j-3,SYNTHETIC,B1,547
ES,vwap_on_j-3,SYNTHETIC,B2,138
ES,vwap_on_j-3,SYNTHETIC,B3,55
ES,vwap_on_j-3,SYNTHETIC,B4,46
ES,vwap_on_j-3,SYNTHETIC,B5,42
ES,vwap_on_j-3,SYNTHETIC,B6,18
NQ,mad_D_1.0,REAL,B1,942
NQ,mad_D_1.0,REAL,B2,59
NQ,mad_D_1.0,REAL,B3,19
NQ,mad_D_1.0,REAL,B4,17
NQ,mad_D_1.0,REAL,B5,12
NQ,mad_D_1.0,REAL,B6,8
NQ,mad_D_1.0,SYNTHETIC,B1,945
NQ,mad_D_1.0,SYNTHETIC,B2,57
NQ,mad_D_1.0,SYNTHETIC,B3,14
NQ,mad_D_1.0,SYNTHETIC,B4,24
NQ,mad_D_1.0,SYNTHETIC,B5,11
NQ,mad_D_1.0,SYNTHETIC,B6,7
NQ,mad_D_1.5,REAL,B1,812
NQ,mad_D_1.5,REAL,B2,88
NQ,mad_D_1.5,REAL,B3,27
NQ,mad_D_1.5,REAL,B4,33
NQ,mad_D_1.5,REAL,B5,17
NQ,mad_D_1.5,REAL,B6,8
NQ,mad_D_1.5,SYNTHETIC,B1,800
NQ,mad_D_1.5,SYNTHETIC,B2,88
NQ,mad_D_1.5,SYNTHETIC,B3,29
NQ,mad_D_1.5,SYNTHETIC,B4,36
NQ,mad_D_1.5,SYNTHETIC,B5,13
NQ,mad_D_1.5,SYNTHETIC,B6,7
NQ,mad_D_2.0,REAL,B1,690
NQ,mad_D_2.0,REAL,B2,110
NQ,mad_D_2.0,REAL,B3,38
NQ,mad_D_2.0,REAL,B4,37
NQ,mad_D_2.0,REAL,B5,23
NQ,mad_D_2.0,REAL,B6,12
NQ,mad_D_2.0,SYNTHETIC,B1,691
NQ,mad_D_2.0,SYNTHETIC,B2,109
NQ,mad_D_2.0,SYNTHETIC,B3,37
NQ,mad_D_2.0,SYNTHETIC,B4,39
NQ,mad_D_2.0,SYNTHETIC,B5,26
NQ,mad_D_2.0,SYNTHETIC,B6,9
NQ,mad_U_1.0,REAL,B1,962
NQ,mad_U_1.0,REAL,B2,65
NQ,mad_U_1.0,REAL,B3,13
NQ,mad_U_1.0,REAL,B4,20
NQ,mad_U_1.0,REAL,B5,16
NQ,mad_U_1.0,REAL,B6,8
NQ,mad_U_1.0,SYNTHETIC,B1,973
NQ,mad_U_1.0,SYNTHETIC,B2,54
NQ,mad_U_1.0,SYNTHETIC,B3,15
NQ,mad_U_1.0,SYNTHETIC,B4,20
NQ,mad_U_1.0,SYNTHETIC,B5,11
NQ,mad_U_1.0,SYNTHETIC,B6,9
NQ,mad_U_1.5,REAL,B1,811
NQ,mad_U_1.5,REAL,B2,91
NQ,mad_U_1.5,REAL,B3,39
NQ,mad_U_1.5,REAL,B4,31
NQ,mad_U_1.5,REAL,B5,16
NQ,mad_U_1.5,REAL,B6,12
NQ,mad_U_1.5,SYNTHETIC,B1,823
NQ,mad_U_1.5,SYNTHETIC,B2,90
NQ,mad_U_1.5,SYNTHETIC,B3,27
NQ,mad_U_1.5,SYNTHETIC,B4,34
NQ,mad_U_1.5,SYNTHETIC,B5,16
NQ,mad_U_1.5,SYNTHETIC,B6,13
NQ,mad_U_2.0,REAL,B1,697
NQ,mad_U_2.0,REAL,B2,112
NQ,mad_U_2.0,REAL,B3,45
NQ,mad_U_2.0,REAL,B4,41
NQ,mad_U_2.0,REAL,B5,24
NQ,mad_U_2.0,REAL,B6,13
NQ,mad_U_2.0,SYNTHETIC,B1,693
NQ,mad_U_2.0,SYNTHETIC,B2,116
NQ,mad_U_2.0,SYNTHETIC,B3,41
NQ,mad_U_2.0,SYNTHETIC,B4,44
NQ,mad_U_2.0,SYNTHETIC,B5,21
NQ,mad_U_2.0,SYNTHETIC,B6,15
NQ,mult_D_0.5,REAL,B1,1047
NQ,mult_D_0.5,REAL,B2,41
NQ,mult_D_0.5,REAL,B3,11
NQ,mult_D_0.5,REAL,B4,8
NQ,mult_D_0.5,REAL,B5,7
NQ,mult_D_0.5,REAL,B6,8
NQ,mult_D_0.5,SYNTHETIC,B1,970
NQ,mult_D_0.5,SYNTHETIC,B2,54
NQ,mult_D_0.5,SYNTHETIC,B3,13
NQ,mult_D_0.5,SYNTHETIC,B4,19
NQ,mult_D_0.5,SYNTHETIC,B5,13
NQ,mult_D_0.5,SYNTHETIC,B6,8
NQ,mult_D_1.0,REAL,B1,903
NQ,mult_D_1.0,REAL,B2,66
NQ,mult_D_1.0,REAL,B3,22
NQ,mult_D_1.0,REAL,B4,29
NQ,mult_D_1.0,REAL,B5,13
NQ,mult_D_1.0,REAL,B6,4
NQ,mult_D_1.0,SYNTHETIC,B1,817
NQ,mult_D_1.0,SYNTHETIC,B2,85
NQ,mult_D_1.0,SYNTHETIC,B3,24
NQ,mult_D_1.0,SYNTHETIC,B4,35
NQ,mult_D_1.0,SYNTHETIC,B5,16
NQ,mult_D_1.0,SYNTHETIC,B6,5
NQ,mult_D_1.5,REAL,B1,767
NQ,mult_D_1.5,REAL,B2,88
NQ,mult_D_1.5,REAL,B3,27
NQ,mult_D_1.5,REAL,B4,38
NQ,mult_D_1.5,REAL,B5,19
NQ,mult_D_1.5,REAL,B6,7
NQ,mult_D_1.5,SYNTHETIC,B1,682
NQ,mult_D_1.5,SYNTHETIC,B2,110
NQ,mult_D_1.5,SYNTHETIC,B3,36
NQ,mult_D_1.5,SYNTHETIC,B4,38
NQ,mult_D_1.5,SYNTHETIC,B5,30
NQ,mult_D_1.5,SYNTHETIC,B6,10
NQ,mult_D_2.0,REAL,B1,634
NQ,mult_D_2.0,REAL,B2,118
NQ,mult_D_2.0,REAL,B3,40
NQ,mult_D_2.0,REAL,B4,45
NQ,mult_D_2.0,REAL,B5,28
NQ,mult_D_2.0,REAL,B6,14
NQ,mult_D_2.0,SYNTHETIC,B1,513
NQ,mult_D_2.0,SYNTHETIC,B2,135
NQ,mult_D_2.0,SYNTHETIC,B3,55
NQ,mult_D_2.0,SYNTHETIC,B4,45
NQ,mult_D_2.0,SYNTHETIC,B5,40
NQ,mult_D_2.0,SYNTHETIC,B6,15
NQ,mult_U_0.5,REAL,B1,1070
NQ,mult_U_0.5,REAL,B2,29
NQ,mult_U_0.5,REAL,B3,10
NQ,mult_U_0.5,REAL,B4,19
NQ,mult_U_0.5,REAL,B5,9
NQ,mult_U_0.5,REAL,B6,4
NQ,mult_U_0.5,SYNTHETIC,B1,973
NQ,mult_U_0.5,SYNTHETIC,B2,59
NQ,mult_U_0.5,SYNTHETIC,B3,15
NQ,mult_U_0.5,SYNTHETIC,B4,22
NQ,mult_U_0.5,SYNTHETIC,B5,13
NQ,mult_U_0.5,SYNTHETIC,B6,8
NQ,mult_U_1.0,REAL,B1,901
NQ,mult_U_1.0,REAL,B2,74
NQ,mult_U_1.0,REAL,B3,23
NQ,mult_U_1.0,REAL,B4,26
NQ,mult_U_1.0,REAL,B5,14
NQ,mult_U_1.0,REAL,B6,9
NQ,mult_U_1.0,SYNTHETIC,B1,825
NQ,mult_U_1.0,SYNTHETIC,B2,90
NQ,mult_U_1.0,SYNTHETIC,B3,29
NQ,mult_U_1.0,SYNTHETIC,B4,33
NQ,mult_U_1.0,SYNTHETIC,B5,16
NQ,mult_U_1.0,SYNTHETIC,B6,9
NQ,mult_U_1.5,REAL,B1,754
NQ,mult_U_1.5,REAL,B2,100
NQ,mult_U_1.5,REAL,B3,37
