instrument,level_id,year,n_eligible_sessions,real_touch_rate,synth_touch_rate,n_real_only,n_synth_only,n_family_b_pairs,median_D5_real,median_D5_synth,median_paired_D5_diff
ES,mult_D_2.0,2021,258,0.7170542635658915,0.6821705426356589,9,0,0,-0.13333333333333333,0.2598682312358708,
ES,mult_D_2.0,2022,258,0.8217054263565892,0.7713178294573644,13,0,0,0.3111111111111111,0.011003374382077406,
ES,mult_U_0.5,2018,196,0.9846938775510204,0.9489795918367347,7,0,0,0.0,0.0611569685061113,
ES,mult_U_0.5,2019,258,0.8992248062015504,0.813953488372093,22,0,0,0.16666666666666666,0.2961836214632513,
ES,mult_U_0.5,2020,256,0.94921875,0.9140625,9,0,0,-0.16666666666666666,-0.3907157715966605,
ES,mult_U_0.5,2021,258,0.9341085271317829,0.8875968992248062,12,0,0,0.125,0.09136766923302275,
ES,mult_U_0.5,2022,258,0.9534883720930233,0.9186046511627907,9,0,0,-0.25,-0.32112135879351233,
ES,mult_U_1.0,2018,196,0.9285714285714286,0.8826530612244898,9,0,0,0.0,0.00027786535368553206,
ES,mult_U_1.0,2019,258,0.7945736434108527,0.7441860465116279,13,0,0,0.3333333333333333,0.3284829644560432,
ES,mult_U_1.0,2020,256,0.88671875,0.8125,19,0,0,-0.5,-0.32454461605370205,
ES,mult_U_1.0,2021,258,0.8604651162790697,0.8255813953488372,9,0,0,0.03333333333333333,-0.1696672787299273,
ES,mult_U_1.0,2022,258,0.8527131782945736,0.813953488372093,10,0,0,-0.29802955665024633,-0.06816097913184654,
ES,mult_U_1.5,2018,196,0.8571428571428571,0.8061224489795918,10,0,0,-0.16666666666666666,-0.2390413227832242,
ES,mult_U_1.5,2019,258,0.7131782945736435,0.6782945736434108,9,0,0,0.25,0.4506197013894659,
ES,mult_U_1.5,2020,256,0.75390625,0.71875,9,0,0,-0.15714285714285714,0.08872281085272195,
ES,mult_U_1.5,2021,258,0.7984496124031008,0.7558139534883721,11,0,0,-0.28888888888888886,-0.21868725940893294,
ES,mult_U_1.5,2022,258,0.7751937984496124,0.7325581395348837,11,0,0,-0.027777777777777776,0.1208112978043397,
ES,mult_U_2.0,2018,196,0.7908163265306123,0.7091836734693877,16,0,0,-0.3333333333333333,-0.3231881756018993,
ES,mult_U_2.0,2019,258,0.6705426356589147,0.5968992248062015,19,0,0,0.3333333333333333,0.49602863526873386,
ES,mult_U_2.0,2020,256,0.67578125,0.609375,17,0,0,0.14835164835164835,-0.04227897782796693,
ES,mult_U_2.0,2021,258,0.7170542635658915,0.6511627906976745,17,0,0,-0.13333333333333333,-0.2228180752029006,
ES,mult_U_2.0,2022,258,0.686046511627907,0.6395348837209303,12,0,0,0.0,0.11527941731037572,
ES,overnight_high,2018,196,0.3520408163265306,0.7193877551020408,3,75,0,0.0,-0.04204400733833609,
ES,overnight_high,2019,258,0.40310077519379844,0.6317829457364341,4,63,0,0.5,0.6099051901114005,
ES,overnight_high,2020,256,0.28515625,0.62109375,2,88,0,0.0,0.2889253979463243,
ES,overnight_high,2021,258,0.4573643410852713,0.7170542635658915,5,72,0,0.25,-0.41295208509130615,
ES,overnight_high,2022,258,0.3062015503875969,0.6511627906976745,2,91,0,0.2,0.19029456724118582,
ES,overnight_low,2018,196,0.2653061224489796,0.7040816326530612,1,87,0,-0.6,-0.2984487744312597,
ES,overnight_low,2019,258,0.32558139534883723,0.6317829457364341,4,83,0,0.0,-0.023911177816686783,
ES,overnight_low,2020,256,0.26953125,0.66796875,0,102,0,-0.7368421052631579,-0.5123329223508335,
ES,overnight_low,2021,258,0.28294573643410853,0.6744186046511628,2,103,0,0.0,0.3060640752043279,
ES,overnight_low,2022,258,0.3643410852713178,0.7790697674418605,0,107,0,0.5798319327731092,0.0987656891797347,
ES,overnight_mid,2018,196,0.5867346938775511,0.7806122448979592,19,57,0,-0.25,-0.2201012235671745,
ES,overnight_mid,2019,258,0.5542635658914729,0.686046511627907,35,69,0,0.45,0.41266416118605775,
ES,overnight_mid,2020,256,0.52734375,0.68359375,32,72,0,-0.35416666666666663,-0.15013763369574623,
ES,overnight_mid,2021,258,0.5581395348837209,0.7713178294573644,32,87,0,0.16666666666666666,-0.21651225388037953,
ES,overnight_mid,2022,258,0.5426356589147286,0.7868217054263565,17,80,0,-0.3833333333333333,-0.09246790277559024,
ES,overnight_open,2018,196,0.3826530612244898,0.7653061224489796,8,83,0,-0.3333333333333333,-0.6632237680999727,
ES,overnight_open,2019,258,0.4263565891472868,0.6434108527131783,33,89,0,0.4,0.5434119048832144,
ES,overnight_open,2020,256,0.36328125,0.62890625,27,95,0,-0.5714285714285714,-0.06590248385437765,
ES,overnight_open,2021,258,0.375968992248062,0.751937984496124,22,119,0,0.11764705882352941,-0.11570573018143478,
ES,overnight_open,2022,258,0.3682170542635659,0.751937984496124,13,112,0,-0.6770833333333333,-0.06589023693335895,
ES,prior_close,2018,189,0.24867724867724866,0.7142857142857143,8,96,0,-1.0,0.05738254500693074,
ES,prior_close,2019,249,0.2971887550200803,0.6546184738955824,20,109,0,0.225,0.42424285573270026,
ES,prior_close,2020,246,0.2764227642276423,0.6219512195121951,23,108,0,-0.8181818181818182,0.1434520033845577,
ES,prior_close,2021,251,0.3107569721115538,0.7330677290836654,19,125,0,0.4722222222222222,-0.0989071931738484,
ES,prior_close,2022,250,0.36,0.76,12,112,0,0.17825311942959002,0.012240116272490316,
ES,prior_high,2018,189,0.1693121693121693,0.7354497354497355,6,113,0,0.75,0.0005831856935401437,
ES,prior_high,2019,249,0.18875502008032127,0.6184738955823293,12,119,0,0.0,0.37428761991820164,
ES,prior_high,2020,246,0.21544715447154472,0.6422764227642277,17,122,0,-0.44285714285714284,0.11328301882190317,
ES,prior_high,2021,251,0.26294820717131473,0.6733067729083665,17,120,0,0.18181818181818182,-0.13166699822431838,
ES,prior_high,2022,250,0.196,0.636,11,121,0,0.2,0.10044621201513623,
ES,prior_low,2018,189,0.14814814814814814,0.7142857142857143,2,109,0,-0.125,-0.3230847669561475,
ES,prior_low,2019,249,0.18473895582329317,0.6465863453815262,7,122,0,1.2,-0.03971268397617678,
ES,prior_low,2020,246,0.16666666666666666,0.6910569105691057,7,136,0,-0.25,-0.5480223044689612,
ES,prior_low,2021,251,0.11952191235059761,0.6733067729083665,3,142,0,-0.5,0.14092143241487065,
ES,prior_low,2022,250,0.172,0.772,4,154,0,0.1111111111111111,0.21508360896489018,
ES,prior_rth_mid,2018,189,0.2275132275132275,0.746031746031746,5,103,0,-0.8333333333333334,-0.5411665326979952,
ES,prior_rth_mid,2019,249,0.20481927710843373,0.6024096385542169,21,120,0,0.12698412698412698,0.3014212933257264,
ES,prior_rth_mid,2020,246,0.1951219512195122,0.6016260162601627,13,113,0,0.5,0.044456896437536454,
ES,prior_rth_mid,2021,251,0.2589641434262948,0.7211155378486056,18,134,0,0.0,-0.15997024892931222,
ES,prior_rth_mid,2022,250,0.228,0.72,7,130,0,0.3833333333333333,-0.08300974639834308,
ES,prior_rth_vwap,2018,189,0.21693121693121692,0.7195767195767195,5,100,0,-0.58810542143965,-0.4255372813095164,
ES,prior_rth_vwap,2019,249,0.2289156626506024,0.6305220883534136,19,119,0,-0.4902576627509916,0.39161603588290744,
ES,prior_rth_vwap,2020,246,0.21544715447154472,0.6178861788617886,15,114,0,0.17578965280093448,0.11343666740765457,
ES,prior_rth_vwap,2021,251,0.27091633466135456,0.7290836653386454,14,129,0,-0.06545397459534191,-0.22211153997401803,
ES,prior_rth_vwap,2022,250,0.236,0.724,6,128,0,-0.03969882386292973,0.15054927122845735,
ES,q_D_p25,2018,196,0.9591836734693877,0.9336734693877551,5,0,0,-0.55,-0.45207695561263483,
ES,q_D_p25,2019,258,0.9224806201550387,0.8875968992248062,13,4,0,-0.225,0.038722788014638354,
ES,q_D_p25,2020,256,0.9296875,0.9375,3,5,0,-0.0625,0.11970725873015908,
ES,q_D_p25,2021,258,0.9224806201550387,0.8992248062015504,8,2,0,-0.041666666666666664,0.30815023575211553,
ES,q_D_p25,2022,258,0.9689922480620154,0.9728682170542635,2,3,0,0.5,0.5817246295258656,
ES,q_D_p75,2018,196,0.8010204081632653,0.7806122448979592,7,3,0,-0.3333333333333333,-0.5018923784596154,
ES,q_D_p75,2019,258,0.7713178294573644,0.748062015503876,7,1,0,0.0,0.017828230316202582,
ES,q_D_p75,2020,256,0.75390625,0.74609375,3,1,0,-0.3076923076923077,-0.41768533307325784,
ES,q_D_p75,2021,258,0.7286821705426356,0.6976744186046512,11,3,0,-0.08809523809523809,-0.05924632741110632,
ES,q_D_p75,2022,258,0.8217054263565892,0.810077519379845,4,1,0,0.2596153846153846,0.20986473868561006,
ES,q_D_p90,2018,196,0.6989795918367347,0.6836734693877551,5,2,0,-0.6666666666666666,-0.1285121059341691,
ES,q_D_p90,2019,258,0.6705426356589147,0.6589147286821705,5,2,0,-0.27500000000009095,-0.23269512976594342,
ES,q_D_p90,2020,256,0.63671875,0.671875,2,11,0,-0.24000000000002425,-0.38985799295132895,
ES,q_D_p90,2021,258,0.624031007751938,0.6821705426356589,1,16,0,0.21052631578947367,0.04762801652464077,
ES,q_D_p90,2022,258,0.751937984496124,0.7674418604651163,3,7,0,-0.20666666666669092,0.29649948839503293,
ES,q_D_p95,2018,196,0.6224489795918368,0.6938775510204082,0,14,0,-1.012499999999818,-0.3540455472906766,
ES,q_D_p95,2019,258,0.5968992248062015,0.624031007751938,2,9,0,-0.004999999999927241,-0.2155707210833498,
ES,q_D_p95,2020,256,0.55859375,0.6796875,1,32,0,-0.1615384615383496,-0.46431795270293064,
ES,q_D_p95,2021,258,0.5813953488372093,0.6821705426356589,1,27,0,0.15312500000004547,-0.05544452726076088,
ES,q_D_p95,2022,258,0.6821705426356589,0.7635658914728682,0,21,0,0.34725274725285116,0.3441425659734705,
ES,q_U_p25,2018,196,0.9693877551020408,0.9540816326530612,3,0,0,0.0,0.0933802130894037,
ES,q_U_p25,2019,258,0.9031007751937985,0.8217054263565892,21,0,0,0.0,0.30553876795784163,
ES,q_U_p25,2020,256,0.95703125,0.96875,1,4,0,-0.12698412698412698,-0.15408474219948404,
ES,q_U_p25,2021,258,0.9302325581395349,0.9302325581395349,4,4,0,0.15625,0.15098428636231212,
ES,q_U_p25,2022,258,0.9457364341085271,0.9031007751937985,11,0,0,-0.21458333333333335,-0.1890024937281429,
ES,q_U_p75,2018,196,0.826530612244898,0.7806122448979592,9,0,0,-0.3055555555555556,-0.3016875438479474,
ES,q_U_p75,2019,258,0.7054263565891473,0.6782945736434108,7,0,0,0.25,0.34932671824826683,
ES,q_U_p75,2020,256,0.7421875,0.734375,5,3,0,0.0,-0.20254299434676987,
ES,q_U_p75,2021,258,0.7713178294573644,0.7558139534883721,7,3,0,-0.20833333333333334,-0.07131385242306958,
ES,q_U_p75,2022,258,0.7751937984496124,0.7674418604651163,5,3,0,-0.045454545454545456,0.15802195340317365,
ES,q_U_p90,2018,196,0.6836734693877551,0.6989795918367347,4,7,0,-0.383333333333394,-0.44743136709766984,
ES,q_U_p90,2019,258,0.6085271317829457,0.6007751937984496,5,3,0,0.47499999999990905,0.4498510602625174,
ES,q_U_p90,2020,256,0.62109375,0.59765625,11,5,0,0.2090909090908016,0.1594692301341838,
ES,q_U_p90,2021,258,0.6627906976744186,0.6434108527131783,8,3,0,-0.14285714285714285,0.008219934932660163,
ES,q_U_p90,2022,258,0.6666666666666666,0.6550387596899225,7,4,0,0.06291208791204694,0.3123953811659054,
ES,q_U_p95,2018,196,0.6020408163265306,0.7295918367346939,0,25,0,-0.13611111111115154,-0.7012592091296028,
ES,q_U_p95,2019,258,0.5503875968992248,0.5968992248062015,1,13,0,0.4875000000001819,0.7079395490826148,
ES,q_U_p95,2020,256,0.5390625,0.6015625,2,18,0,0.06363636363642979,0.1276840445359994,
ES,q_U_p95,2021,258,0.6124031007751938,0.627906976744186,5,9,0,-0.15961538461531816,-0.05249574561241843,
ES,q_U_p95,2022,258,0.6046511627906976,0.627906976744186,3,9,0,0.11958333333347279,0.09268143051284645,
ES,vwap_on_j+0,2018,196,0.6581632653061225,0.7908163265306123,22,48,0,-0.0051387704551567985,-0.1816432609430194,
ES,vwap_on_j+0,2019,258,0.5891472868217055,0.7131782945736435,31,63,0,0.5467668226368914,0.3383585645897256,
ES,vwap_on_j+0,2020,256,0.59375,0.703125,32,60,0,-0.15175301734982188,0.032991486668834114,
ES,vwap_on_j+0,2021,258,0.5658914728682171,0.751937984496124,38,86,0,0.5564216233884937,-0.06840400237594552,
ES,vwap_on_j+0,2022,258,0.624031007751938,0.7829457364341085,18,59,0,-0.5964715712220473,0.07581228853268421,
ES,vwap_on_j+1,2018,196,0.6581632653061225,0.8469387755102041,4,41,0,-0.3426689833736418,-0.6769200727183489,
ES,vwap_on_j+1,2019,258,0.5697674418604651,0.6937984496124031,15,47,0,0.23093692036236463,0.6528005868042328,
ES,vwap_on_j+1,2020,256,0.5078125,0.69140625,11,58,0,-0.07302040490368589,0.2103124360273796,
ES,vwap_on_j+1,2021,258,0.5891472868217055,0.7596899224806202,15,59,0,0.3695718940874767,-0.41128313002645883,
ES,vwap_on_j+1,2022,258,0.5426356589147286,0.7170542635658915,9,54,0,0.13057191637551202,-0.07485155012255595,
ES,vwap_on_j+2,2018,196,0.33163265306122447,0.7244897959183674,2,79,0,0.03187841547272304,-0.4543798930672741,
ES,vwap_on_j+2,2019,258,0.39147286821705424,0.627906976744186,2,63,0,0.49869557008952886,0.5249862675505028,
ES,vwap_on_j+2,2020,256,0.29296875,0.61328125,2,84,0,-0.16434454919767127,0.2562028681887467,
ES,vwap_on_j+2,2021,258,0.4496124031007752,0.7093023255813954,2,69,0,0.2643147329986927,-0.2587400986619741,
ES,vwap_on_j+2,2022,258,0.29069767441860467,0.627906976744186,2,89,0,0.0719900097023388,0.39483251386492335,
ES,vwap_on_j+3,2018,196,0.15816326530612246,0.6938775510204082,0,105,0,-0.6281117183898459,-0.3560625459138464,
ES,vwap_on_j+3,2019,258,0.1821705426356589,0.6046511627906976,0,109,0,0.37892562360179405,0.5124030352974387,
ES,vwap_on_j+3,2020,256,0.1015625,0.60546875,0,129,0,0.06712755841056066,0.11359313315766587,
ES,vwap_on_j+3,2021,258,0.23255813953488372,0.6511627906976745,1,109,0,0.3839338961255564,-0.31261119679857075,
ES,vwap_on_j+3,2022,258,0.14728682170542637,0.6162790697674418,0,121,0,0.5445004016549244,0.22136132367731695,
ES,vwap_on_j-1,2018,196,0.5408163265306123,0.7551020408163265,5,47,0,-1.1392583506092706,-0.4996619336177446,
ES,vwap_on_j-1,2019,258,0.49224806201550386,0.6744186046511628,11,58,0,0.13107091855317776,0.0819271161758176,
ES,vwap_on_j-1,2020,256,0.50390625,0.73046875,4,62,0,0.22159484048937278,-0.2882404425293498,
ES,vwap_on_j-1,2021,258,0.5038759689922481,0.7403100775193798,3,64,0,0.052733738929418905,0.12765647826816867,
ES,vwap_on_j-1,2022,258,0.5348837209302325,0.8178294573643411,9,82,0,-0.1954605162044412,0.16940140574321655,
ES,vwap_on_j-2,2018,196,0.2755102040816326,0.6989795918367347,3,86,0,-0.2392889522943733,-0.34674656049052527,
ES,vwap_on_j-2,2019,258,0.3372093023255814,0.6511627906976745,1,82,0,0.09936048665986164,0.13174756302505558,
ES,vwap_on_j-2,2020,256,0.328125,0.6875,2,94,0,-1.0962069485177615,-0.49954151390492213,
ES,vwap_on_j-2,2021,258,0.28294573643410853,0.6821705426356589,0,103,0,-0.2077740449949581,0.2981695913639838,
ES,vwap_on_j-2,2022,258,0.3682170542635659,0.7751937984496124,1,106,0,0.4491894094565699,0.03858302382832335,
ES,vwap_on_j-3,2018,196,0.1377551020408163,0.6887755102040817,0,108,0,-1.5092483561735814,-0.2527402801200272,
ES,vwap_on_j-3,2019,258,0.2054263565891473,0.6356589147286822,0,111,0,-0.37297056959687325,-0.1997189856269112,
ES,vwap_on_j-3,2020,256,0.15234375,0.6640625,0,131,0,-0.980131423871535,-0.5842391151625634,
ES,vwap_on_j-3,2021,258,0.16666666666666666,0.6821705426356589,1,134,0,-0.060059338715456594,0.22592834477982252,
ES,vwap_on_j-3,2022,258,0.19767441860465115,0.7790697674418605,0,150,0,0.4334359872944547,0.13888511390420413,
NQ,mad_D_1.0,2018,196,0.8673469387755102,0.8622448979591837,3,2,0,-0.1977933048433585,-0.274995769057341,
NQ,mad_D_1.0,2019,257,0.8249027237354085,0.8365758754863813,2,5,0,0.08914220430107896,0.004941855753499754,
NQ,mad_D_1.0,2020,255,0.8901960784313725,0.8980392156862745,2,4,0,-0.35832127659569835,-0.20231110050276702,
NQ,mad_D_1.0,2021,258,0.8682170542635659,0.8604651162790697,2,0,0,0.11320317373455163,-0.12604153584831143,
NQ,mad_D_1.0,2022,258,0.8682170542635659,0.8643410852713178,2,1,0,0.5216254769921964,0.7214582143112478,
NQ,mad_D_1.5,2018,196,0.7959183673469388,0.7806122448979592,4,1,0,-0.29326851851847435,-0.1535492459120481,
NQ,mad_D_1.5,2019,257,0.7665369649805448,0.7431906614785992,7,1,0,-0.001078571428349408,0.15508519298721998,
NQ,mad_D_1.5,2020,255,0.8235294117647058,0.8196078431372549,6,5,0,-0.2783213593576647,-0.28557247420816745,
NQ,mad_D_1.5,2021,258,0.813953488372093,0.813953488372093,4,4,0,0.16567471659473662,0.26481555338977925,
NQ,mad_D_1.5,2022,258,0.8217054263565892,0.813953488372093,2,0,0,0.5748726165767186,0.6235921109315177,
NQ,mad_D_2.0,2018,196,0.7551020408163265,0.7704081632653061,1,4,0,-0.03328235294116787,-0.16459310025652485,
NQ,mad_D_2.0,2019,257,0.6848249027237354,0.7003891050583657,1,5,0,0.017331764705950797,-0.15146728528570846,
NQ,mad_D_2.0,2020,255,0.7450980392156863,0.7215686274509804,8,2,0,-0.2868550000000141,-0.07008246719219467,
NQ,mad_D_2.0,2021,258,0.7403100775193798,0.751937984496124,1,4,0,0.0569929411764914,0.12118432654431345,
NQ,mad_D_2.0,2022,258,0.7945736434108527,0.7829457364341085,4,1,0,0.5546868686869122,0.5741978573147134,
NQ,mad_U_1.0,2018,196,0.9132653061224489,0.9081632653061225,1,0,0,0.3985555555555038,0.409101806012517,
NQ,mad_U_1.0,2019,257,0.8210116731517509,0.8132295719844358,5,3,0,0.3816322580645529,0.45959668922344765,
NQ,mad_U_1.0,2020,255,0.9098039215686274,0.9098039215686274,3,3,0,0.1918320000002859,0.28346769471001254,
NQ,mad_U_1.0,2021,258,0.9147286821705426,0.9147286821705426,3,3,0,0.1748609311740762,0.18543806937553375,
NQ,mad_U_1.0,2022,258,0.875968992248062,0.8798449612403101,2,3,0,-0.2947130591630591,-0.1739172757093911,
NQ,mad_U_1.5,2018,196,0.8469387755102041,0.8469387755102041,1,1,0,0.29023437499997073,0.12001388901635052,
NQ,mad_U_1.5,2019,257,0.7354085603112841,0.754863813229572,1,6,0,0.32638157894727654,0.23949114666166063,
NQ,mad_U_1.5,2020,255,0.8431372549019608,0.8431372549019608,3,3,0,0.2574586494151182,0.3309757223772031,
NQ,mad_U_1.5,2021,258,0.8488372093023255,0.8333333333333334,7,3,0,0.26910461538466807,0.21971079943162025,
NQ,mad_U_1.5,2022,258,0.8178294573643411,0.8255813953488372,4,6,0,-0.1791137724550696,-0.13433126600519865,
NQ,mad_U_2.0,2018,196,0.8214285714285714,0.8163265306122449,2,1,0,0.016061538461564433,0.1155767405765992,
NQ,mad_U_2.0,2019,257,0.6770428015564203,0.6770428015564203,3,3,0,0.4324259803921967,0.4106268194651105,
NQ,mad_U_2.0,2020,255,0.796078431372549,0.792156862745098,2,1,0,-0.033283741258636604,-0.009396794179654376,
NQ,mad_U_2.0,2021,258,0.7751937984496124,0.7751937984496124,4,4,0,0.1957255128205431,0.14499612001217121,
NQ,mad_U_2.0,2022,258,0.751937984496124,0.751937984496124,4,4,0,-0.008499150797742622,0.06488699154708401,
NQ,mult_D_0.5,2018,196,0.9285714285714286,0.8877551020408163,8,0,0,-0.47058823529411764,-0.19572368281729688,
NQ,mult_D_0.5,2019,257,0.9105058365758755,0.8443579766536965,17,0,0,-0.014705882352941176,0.014529900697847811,
NQ,mult_D_0.5,2020,255,0.9294117647058824,0.9058823529411765,6,0,0,-0.2567204301075269,-0.3635384267932324,
NQ,mult_D_0.5,2021,258,0.8953488372093024,0.8682170542635659,7,0,0,0.018518518518518517,-0.0586860297179632,
NQ,mult_D_0.5,2022,258,0.9224806201550387,0.8953488372093024,7,0,0,0.621904761904762,0.5699746102350458,
NQ,mult_D_1.0,2018,196,0.8673469387755102,0.8112244897959183,11,0,0,-0.30610021786492375,-0.23777975640647733,
NQ,mult_D_1.0,2019,257,0.8132295719844358,0.7859922178988327,7,0,0,0.17647058823529413,0.026667989023674694,
NQ,mult_D_1.0,2020,255,0.8666666666666667,0.8117647058823529,14,0,0,-0.4358974358974359,-0.2342119195224465,
NQ,mult_D_1.0,2021,258,0.8410852713178295,0.7751937984496124,17,0,0,-0.08433734939759036,0.23353713336046011,
NQ,mult_D_1.0,2022,258,0.8527131782945736,0.8294573643410853,6,0,0,0.5112308329879818,0.7563878402584616,
NQ,mult_D_1.5,2018,196,0.7806122448979592,0.75,6,0,0,-0.34615384615384615,-0.10473250443465076,
NQ,mult_D_1.5,2019,257,0.7470817120622568,0.7003891050583657,12,0,0,-0.08492822966507177,-0.005308835406604588,
NQ,mult_D_1.5,2020,255,0.7843137254901961,0.7450980392156863,10,0,0,-0.26096491228070173,-0.20905218313087306,
NQ,mult_D_1.5,2021,258,0.7441860465116279,0.7248062015503876,5,0,0,0.22666666666666668,0.13768492094286125,
NQ,mult_D_1.5,2022,258,0.810077519379845,0.7829457364341085,7,0,0,0.601010101010101,0.5531982248887624,
NQ,mult_D_2.0,2018,196,0.7448979591836735,0.7040816326530612,8,0,0,-0.041666666666666664,-0.17993740176664558,
NQ,mult_D_2.0,2019,257,0.6731517509727627,0.6303501945525292,11,0,0,-0.08888888888888889,-0.09730484544109329,
