instrument,level_id,horizon,k,arm,barrier_order,n
ES,mad_D_1.0,1,2.0,REAL,SAME_BAR_BARRIER_TIE,23
ES,mad_D_1.0,1,2.0,SYNTHETIC,NEITHER_REACHED,485
ES,mad_D_1.0,1,2.0,SYNTHETIC,REJECTION_FIRST,287
ES,mad_D_1.0,1,2.0,SYNTHETIC,CONTINUATION_FIRST,260
ES,mad_D_1.0,1,2.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,22
ES,mad_D_1.0,3,0.5,REAL,CONTINUATION_FIRST,376
ES,mad_D_1.0,3,0.5,REAL,REJECTION_FIRST,368
ES,mad_D_1.0,3,0.5,REAL,SAME_BAR_BARRIER_TIE,318
ES,mad_D_1.0,3,0.5,REAL,NEITHER_REACHED,3
ES,mad_D_1.0,3,0.5,SYNTHETIC,REJECTION_FIRST,371
ES,mad_D_1.0,3,0.5,SYNTHETIC,CONTINUATION_FIRST,364
ES,mad_D_1.0,3,0.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,316
ES,mad_D_1.0,3,0.5,SYNTHETIC,NEITHER_REACHED,3
ES,mad_D_1.0,3,1.0,REAL,REJECTION_FIRST,449
ES,mad_D_1.0,3,1.0,REAL,CONTINUATION_FIRST,433
ES,mad_D_1.0,3,1.0,REAL,SAME_BAR_BARRIER_TIE,144
ES,mad_D_1.0,3,1.0,REAL,NEITHER_REACHED,39
ES,mad_D_1.0,3,1.0,SYNTHETIC,REJECTION_FIRST,437
ES,mad_D_1.0,3,1.0,SYNTHETIC,CONTINUATION_FIRST,430
ES,mad_D_1.0,3,1.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,150
ES,mad_D_1.0,3,1.0,SYNTHETIC,NEITHER_REACHED,37
ES,mad_D_1.0,3,1.5,REAL,REJECTION_FIRST,452
ES,mad_D_1.0,3,1.5,REAL,CONTINUATION_FIRST,442
ES,mad_D_1.0,3,1.5,REAL,NEITHER_REACHED,111
ES,mad_D_1.0,3,1.5,REAL,SAME_BAR_BARRIER_TIE,60
ES,mad_D_1.0,3,1.5,SYNTHETIC,REJECTION_FIRST,450
ES,mad_D_1.0,3,1.5,SYNTHETIC,CONTINUATION_FIRST,426
ES,mad_D_1.0,3,1.5,SYNTHETIC,NEITHER_REACHED,118
ES,mad_D_1.0,3,1.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,60
ES,mad_D_1.0,3,2.0,REAL,CONTINUATION_FIRST,405
ES,mad_D_1.0,3,2.0,REAL,REJECTION_FIRST,386
ES,mad_D_1.0,3,2.0,REAL,NEITHER_REACHED,249
ES,mad_D_1.0,3,2.0,REAL,SAME_BAR_BARRIER_TIE,25
ES,mad_D_1.0,3,2.0,SYNTHETIC,REJECTION_FIRST,403
ES,mad_D_1.0,3,2.0,SYNTHETIC,CONTINUATION_FIRST,388
ES,mad_D_1.0,3,2.0,SYNTHETIC,NEITHER_REACHED,239
ES,mad_D_1.0,3,2.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,24
ES,mad_D_1.0,5,0.5,REAL,CONTINUATION_FIRST,376
ES,mad_D_1.0,5,0.5,REAL,REJECTION_FIRST,370
ES,mad_D_1.0,5,0.5,REAL,SAME_BAR_BARRIER_TIE,318
ES,mad_D_1.0,5,0.5,REAL,NEITHER_REACHED,1
ES,mad_D_1.0,5,0.5,SYNTHETIC,REJECTION_FIRST,372
ES,mad_D_1.0,5,0.5,SYNTHETIC,CONTINUATION_FIRST,364
ES,mad_D_1.0,5,0.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,316
ES,mad_D_1.0,5,0.5,SYNTHETIC,NEITHER_REACHED,2
ES,mad_D_1.0,5,1.0,REAL,REJECTION_FIRST,461
ES,mad_D_1.0,5,1.0,REAL,CONTINUATION_FIRST,443
ES,mad_D_1.0,5,1.0,REAL,SAME_BAR_BARRIER_TIE,144
ES,mad_D_1.0,5,1.0,REAL,NEITHER_REACHED,17
ES,mad_D_1.0,5,1.0,SYNTHETIC,REJECTION_FIRST,448
ES,mad_D_1.0,5,1.0,SYNTHETIC,CONTINUATION_FIRST,440
ES,mad_D_1.0,5,1.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,150
ES,mad_D_1.0,5,1.0,SYNTHETIC,NEITHER_REACHED,16
ES,mad_D_1.0,5,1.5,REAL,REJECTION_FIRST,484
ES,mad_D_1.0,5,1.5,REAL,CONTINUATION_FIRST,461
ES,mad_D_1.0,5,1.5,REAL,SAME_BAR_BARRIER_TIE,60
ES,mad_D_1.0,5,1.5,REAL,NEITHER_REACHED,60
ES,mad_D_1.0,5,1.5,SYNTHETIC,REJECTION_FIRST,471
ES,mad_D_1.0,5,1.5,SYNTHETIC,CONTINUATION_FIRST,451
ES,mad_D_1.0,5,1.5,SYNTHETIC,NEITHER_REACHED,72
ES,mad_D_1.0,5,1.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,60
ES,mad_D_1.0,5,2.0,REAL,CONTINUATION_FIRST,454
ES,mad_D_1.0,5,2.0,REAL,REJECTION_FIRST,432
ES,mad_D_1.0,5,2.0,REAL,NEITHER_REACHED,154
ES,mad_D_1.0,5,2.0,REAL,SAME_BAR_BARRIER_TIE,25
ES,mad_D_1.0,5,2.0,SYNTHETIC,REJECTION_FIRST,438
ES,mad_D_1.0,5,2.0,SYNTHETIC,CONTINUATION_FIRST,431
ES,mad_D_1.0,5,2.0,SYNTHETIC,NEITHER_REACHED,161
ES,mad_D_1.0,5,2.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,24
ES,mad_D_1.0,10,0.5,REAL,CONTINUATION_FIRST,376
ES,mad_D_1.0,10,0.5,REAL,REJECTION_FIRST,370
ES,mad_D_1.0,10,0.5,REAL,SAME_BAR_BARRIER_TIE,318
ES,mad_D_1.0,10,0.5,REAL,NEITHER_REACHED,1
ES,mad_D_1.0,10,0.5,SYNTHETIC,REJECTION_FIRST,372
ES,mad_D_1.0,10,0.5,SYNTHETIC,CONTINUATION_FIRST,364
ES,mad_D_1.0,10,0.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,316
ES,mad_D_1.0,10,0.5,SYNTHETIC,NEITHER_REACHED,2
ES,mad_D_1.0,10,1.0,REAL,REJECTION_FIRST,469
ES,mad_D_1.0,10,1.0,REAL,CONTINUATION_FIRST,446
ES,mad_D_1.0,10,1.0,REAL,SAME_BAR_BARRIER_TIE,144
ES,mad_D_1.0,10,1.0,REAL,NEITHER_REACHED,6
ES,mad_D_1.0,10,1.0,SYNTHETIC,REJECTION_FIRST,456
ES,mad_D_1.0,10,1.0,SYNTHETIC,CONTINUATION_FIRST,442
ES,mad_D_1.0,10,1.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,150
ES,mad_D_1.0,10,1.0,SYNTHETIC,NEITHER_REACHED,6
ES,mad_D_1.0,10,1.5,REAL,REJECTION_FIRST,506
ES,mad_D_1.0,10,1.5,REAL,CONTINUATION_FIRST,478
ES,mad_D_1.0,10,1.5,REAL,SAME_BAR_BARRIER_TIE,60
ES,mad_D_1.0,10,1.5,REAL,NEITHER_REACHED,21
ES,mad_D_1.0,10,1.5,SYNTHETIC,REJECTION_FIRST,497
ES,mad_D_1.0,10,1.5,SYNTHETIC,CONTINUATION_FIRST,471
ES,mad_D_1.0,10,1.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,60
ES,mad_D_1.0,10,1.5,SYNTHETIC,NEITHER_REACHED,26
ES,mad_D_1.0,10,2.0,REAL,CONTINUATION_FIRST,494
ES,mad_D_1.0,10,2.0,REAL,REJECTION_FIRST,474
ES,mad_D_1.0,10,2.0,REAL,NEITHER_REACHED,72
ES,mad_D_1.0,10,2.0,REAL,SAME_BAR_BARRIER_TIE,25
ES,mad_D_1.0,10,2.0,SYNTHETIC,REJECTION_FIRST,478
ES,mad_D_1.0,10,2.0,SYNTHETIC,CONTINUATION_FIRST,475
ES,mad_D_1.0,10,2.0,SYNTHETIC,NEITHER_REACHED,77
ES,mad_D_1.0,10,2.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,24
ES,mad_D_1.0,15,0.5,REAL,CONTINUATION_FIRST,377
ES,mad_D_1.0,15,0.5,REAL,REJECTION_FIRST,370
ES,mad_D_1.0,15,0.5,REAL,SAME_BAR_BARRIER_TIE,318
ES,mad_D_1.0,15,0.5,SYNTHETIC,REJECTION_FIRST,373
ES,mad_D_1.0,15,0.5,SYNTHETIC,CONTINUATION_FIRST,365
ES,mad_D_1.0,15,0.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,316
ES,mad_D_1.0,15,1.0,REAL,REJECTION_FIRST,470
ES,mad_D_1.0,15,1.0,REAL,CONTINUATION_FIRST,447
ES,mad_D_1.0,15,1.0,REAL,SAME_BAR_BARRIER_TIE,144
ES,mad_D_1.0,15,1.0,REAL,NEITHER_REACHED,4
ES,mad_D_1.0,15,1.0,SYNTHETIC,REJECTION_FIRST,458
ES,mad_D_1.0,15,1.0,SYNTHETIC,CONTINUATION_FIRST,442
ES,mad_D_1.0,15,1.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,150
ES,mad_D_1.0,15,1.0,SYNTHETIC,NEITHER_REACHED,4
ES,mad_D_1.0,15,1.5,REAL,REJECTION_FIRST,510
ES,mad_D_1.0,15,1.5,REAL,CONTINUATION_FIRST,482
ES,mad_D_1.0,15,1.5,REAL,SAME_BAR_BARRIER_TIE,60
ES,mad_D_1.0,15,1.5,REAL,NEITHER_REACHED,13
ES,mad_D_1.0,15,1.5,SYNTHETIC,REJECTION_FIRST,503
ES,mad_D_1.0,15,1.5,SYNTHETIC,CONTINUATION_FIRST,478
ES,mad_D_1.0,15,1.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,60
ES,mad_D_1.0,15,1.5,SYNTHETIC,NEITHER_REACHED,13
ES,mad_D_1.0,15,2.0,REAL,CONTINUATION_FIRST,508
ES,mad_D_1.0,15,2.0,REAL,REJECTION_FIRST,498
ES,mad_D_1.0,15,2.0,REAL,NEITHER_REACHED,34
ES,mad_D_1.0,15,2.0,REAL,SAME_BAR_BARRIER_TIE,25
ES,mad_D_1.0,15,2.0,SYNTHETIC,REJECTION_FIRST,501
ES,mad_D_1.0,15,2.0,SYNTHETIC,CONTINUATION_FIRST,493
ES,mad_D_1.0,15,2.0,SYNTHETIC,NEITHER_REACHED,36
ES,mad_D_1.0,15,2.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,24
ES,mad_D_1.5,1,0.5,REAL,REJECTION_FIRST,351
ES,mad_D_1.5,1,0.5,REAL,CONTINUATION_FIRST,334
ES,mad_D_1.5,1,0.5,REAL,SAME_BAR_BARRIER_TIE,297
ES,mad_D_1.5,1,0.5,REAL,NEITHER_REACHED,17
ES,mad_D_1.5,1,0.5,SYNTHETIC,REJECTION_FIRST,348
ES,mad_D_1.5,1,0.5,SYNTHETIC,CONTINUATION_FIRST,331
ES,mad_D_1.5,1,0.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,302
ES,mad_D_1.5,1,0.5,SYNTHETIC,NEITHER_REACHED,15
ES,mad_D_1.5,1,1.0,REAL,REJECTION_FIRST,391
ES,mad_D_1.5,1,1.0,REAL,CONTINUATION_FIRST,357
ES,mad_D_1.5,1,1.0,REAL,NEITHER_REACHED,129
ES,mad_D_1.5,1,1.0,REAL,SAME_BAR_BARRIER_TIE,122
ES,mad_D_1.5,1,1.0,SYNTHETIC,REJECTION_FIRST,385
ES,mad_D_1.5,1,1.0,SYNTHETIC,CONTINUATION_FIRST,357
ES,mad_D_1.5,1,1.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,134
ES,mad_D_1.5,1,1.0,SYNTHETIC,NEITHER_REACHED,120
ES,mad_D_1.5,1,1.5,REAL,REJECTION_FIRST,334
ES,mad_D_1.5,1,1.5,REAL,NEITHER_REACHED,314
ES,mad_D_1.5,1,1.5,REAL,CONTINUATION_FIRST,298
ES,mad_D_1.5,1,1.5,REAL,SAME_BAR_BARRIER_TIE,53
ES,mad_D_1.5,1,1.5,SYNTHETIC,REJECTION_FIRST,344
ES,mad_D_1.5,1,1.5,SYNTHETIC,CONTINUATION_FIRST,306
ES,mad_D_1.5,1,1.5,SYNTHETIC,NEITHER_REACHED,304
ES,mad_D_1.5,1,1.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,42
ES,mad_D_1.5,1,2.0,REAL,NEITHER_REACHED,471
ES,mad_D_1.5,1,2.0,REAL,REJECTION_FIRST,266
ES,mad_D_1.5,1,2.0,REAL,CONTINUATION_FIRST,243
ES,mad_D_1.5,1,2.0,REAL,SAME_BAR_BARRIER_TIE,19
ES,mad_D_1.5,1,2.0,SYNTHETIC,NEITHER_REACHED,465
ES,mad_D_1.5,1,2.0,SYNTHETIC,REJECTION_FIRST,270
ES,mad_D_1.5,1,2.0,SYNTHETIC,CONTINUATION_FIRST,242
ES,mad_D_1.5,1,2.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,19
ES,mad_D_1.5,3,0.5,REAL,REJECTION_FIRST,362
ES,mad_D_1.5,3,0.5,REAL,CONTINUATION_FIRST,338
ES,mad_D_1.5,3,0.5,REAL,SAME_BAR_BARRIER_TIE,297
ES,mad_D_1.5,3,0.5,REAL,NEITHER_REACHED,2
ES,mad_D_1.5,3,0.5,SYNTHETIC,REJECTION_FIRST,357
ES,mad_D_1.5,3,0.5,SYNTHETIC,CONTINUATION_FIRST,336
ES,mad_D_1.5,3,0.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,302
ES,mad_D_1.5,3,0.5,SYNTHETIC,NEITHER_REACHED,1
ES,mad_D_1.5,3,1.0,REAL,REJECTION_FIRST,444
ES,mad_D_1.5,3,1.0,REAL,CONTINUATION_FIRST,406
ES,mad_D_1.5,3,1.0,REAL,SAME_BAR_BARRIER_TIE,124
ES,mad_D_1.5,3,1.0,REAL,NEITHER_REACHED,25
ES,mad_D_1.5,3,1.0,SYNTHETIC,REJECTION_FIRST,437
ES,mad_D_1.5,3,1.0,SYNTHETIC,CONTINUATION_FIRST,400
ES,mad_D_1.5,3,1.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,135
ES,mad_D_1.5,3,1.0,SYNTHETIC,NEITHER_REACHED,24
ES,mad_D_1.5,3,1.5,REAL,REJECTION_FIRST,435
ES,mad_D_1.5,3,1.5,REAL,CONTINUATION_FIRST,410
ES,mad_D_1.5,3,1.5,REAL,NEITHER_REACHED,99
ES,mad_D_1.5,3,1.5,REAL,SAME_BAR_BARRIER_TIE,55
ES,mad_D_1.5,3,1.5,SYNTHETIC,REJECTION_FIRST,448
ES,mad_D_1.5,3,1.5,SYNTHETIC,CONTINUATION_FIRST,404
ES,mad_D_1.5,3,1.5,SYNTHETIC,NEITHER_REACHED,101
ES,mad_D_1.5,3,1.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,43
ES,mad_D_1.5,3,2.0,REAL,REJECTION_FIRST,387
ES,mad_D_1.5,3,2.0,REAL,CONTINUATION_FIRST,369
ES,mad_D_1.5,3,2.0,REAL,NEITHER_REACHED,222
ES,mad_D_1.5,3,2.0,REAL,SAME_BAR_BARRIER_TIE,21
ES,mad_D_1.5,3,2.0,SYNTHETIC,REJECTION_FIRST,390
ES,mad_D_1.5,3,2.0,SYNTHETIC,CONTINUATION_FIRST,370
ES,mad_D_1.5,3,2.0,SYNTHETIC,NEITHER_REACHED,215
ES,mad_D_1.5,3,2.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,21
ES,mad_D_1.5,5,0.5,REAL,REJECTION_FIRST,362
ES,mad_D_1.5,5,0.5,REAL,CONTINUATION_FIRST,339
ES,mad_D_1.5,5,0.5,REAL,SAME_BAR_BARRIER_TIE,297
ES,mad_D_1.5,5,0.5,REAL,NEITHER_REACHED,1
ES,mad_D_1.5,5,0.5,SYNTHETIC,REJECTION_FIRST,358
ES,mad_D_1.5,5,0.5,SYNTHETIC,CONTINUATION_FIRST,336
ES,mad_D_1.5,5,0.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,302
ES,mad_D_1.5,5,1.0,REAL,REJECTION_FIRST,452
ES,mad_D_1.5,5,1.0,REAL,CONTINUATION_FIRST,412
ES,mad_D_1.5,5,1.0,REAL,SAME_BAR_BARRIER_TIE,125
ES,mad_D_1.5,5,1.0,REAL,NEITHER_REACHED,10
ES,mad_D_1.5,5,1.0,SYNTHETIC,REJECTION_FIRST,442
ES,mad_D_1.5,5,1.0,SYNTHETIC,CONTINUATION_FIRST,408
ES,mad_D_1.5,5,1.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,135
ES,mad_D_1.5,5,1.0,SYNTHETIC,NEITHER_REACHED,11
ES,mad_D_1.5,5,1.5,REAL,REJECTION_FIRST,456
ES,mad_D_1.5,5,1.5,REAL,CONTINUATION_FIRST,431
ES,mad_D_1.5,5,1.5,REAL,SAME_BAR_BARRIER_TIE,56
ES,mad_D_1.5,5,1.5,REAL,NEITHER_REACHED,56
ES,mad_D_1.5,5,1.5,SYNTHETIC,REJECTION_FIRST,470
ES,mad_D_1.5,5,1.5,SYNTHETIC,CONTINUATION_FIRST,426
ES,mad_D_1.5,5,1.5,SYNTHETIC,NEITHER_REACHED,56
ES,mad_D_1.5,5,1.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,44
ES,mad_D_1.5,5,2.0,REAL,REJECTION_FIRST,427
ES,mad_D_1.5,5,2.0,REAL,CONTINUATION_FIRST,409
ES,mad_D_1.5,5,2.0,REAL,NEITHER_REACHED,142
ES,mad_D_1.5,5,2.0,REAL,SAME_BAR_BARRIER_TIE,21
ES,mad_D_1.5,5,2.0,SYNTHETIC,REJECTION_FIRST,426
ES,mad_D_1.5,5,2.0,SYNTHETIC,CONTINUATION_FIRST,415
ES,mad_D_1.5,5,2.0,SYNTHETIC,NEITHER_REACHED,134
ES,mad_D_1.5,5,2.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,21
ES,mad_D_1.5,10,0.5,REAL,REJECTION_FIRST,363
ES,mad_D_1.5,10,0.5,REAL,CONTINUATION_FIRST,339
ES,mad_D_1.5,10,0.5,REAL,SAME_BAR_BARRIER_TIE,297
ES,mad_D_1.5,10,0.5,SYNTHETIC,REJECTION_FIRST,358
ES,mad_D_1.5,10,0.5,SYNTHETIC,CONTINUATION_FIRST,336
ES,mad_D_1.5,10,0.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,302
ES,mad_D_1.5,10,1.0,REAL,REJECTION_FIRST,455
ES,mad_D_1.5,10,1.0,REAL,CONTINUATION_FIRST,415
ES,mad_D_1.5,10,1.0,REAL,SAME_BAR_BARRIER_TIE,125
ES,mad_D_1.5,10,1.0,REAL,NEITHER_REACHED,4
ES,mad_D_1.5,10,1.0,SYNTHETIC,REJECTION_FIRST,448
ES,mad_D_1.5,10,1.0,SYNTHETIC,CONTINUATION_FIRST,412
ES,mad_D_1.5,10,1.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,135
ES,mad_D_1.5,10,1.0,SYNTHETIC,NEITHER_REACHED,1
ES,mad_D_1.5,10,1.5,REAL,REJECTION_FIRST,478
ES,mad_D_1.5,10,1.5,REAL,CONTINUATION_FIRST,450
ES,mad_D_1.5,10,1.5,REAL,SAME_BAR_BARRIER_TIE,56
ES,mad_D_1.5,10,1.5,REAL,NEITHER_REACHED,15
ES,mad_D_1.5,10,1.5,SYNTHETIC,REJECTION_FIRST,488
ES,mad_D_1.5,10,1.5,SYNTHETIC,CONTINUATION_FIRST,446
ES,mad_D_1.5,10,1.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,44
ES,mad_D_1.5,10,1.5,SYNTHETIC,NEITHER_REACHED,18
ES,mad_D_1.5,10,2.0,REAL,REJECTION_FIRST,477
ES,mad_D_1.5,10,2.0,REAL,CONTINUATION_FIRST,448
ES,mad_D_1.5,10,2.0,REAL,NEITHER_REACHED,53
ES,mad_D_1.5,10,2.0,REAL,SAME_BAR_BARRIER_TIE,21
ES,mad_D_1.5,10,2.0,SYNTHETIC,REJECTION_FIRST,464
ES,mad_D_1.5,10,2.0,SYNTHETIC,CONTINUATION_FIRST,456
ES,mad_D_1.5,10,2.0,SYNTHETIC,NEITHER_REACHED,55
ES,mad_D_1.5,10,2.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,21
ES,mad_D_1.5,15,0.5,REAL,REJECTION_FIRST,363
ES,mad_D_1.5,15,0.5,REAL,CONTINUATION_FIRST,339
ES,mad_D_1.5,15,0.5,REAL,SAME_BAR_BARRIER_TIE,297
ES,mad_D_1.5,15,0.5,SYNTHETIC,REJECTION_FIRST,358
ES,mad_D_1.5,15,0.5,SYNTHETIC,CONTINUATION_FIRST,336
ES,mad_D_1.5,15,0.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,302
ES,mad_D_1.5,15,1.0,REAL,REJECTION_FIRST,459
ES,mad_D_1.5,15,1.0,REAL,CONTINUATION_FIRST,415
ES,mad_D_1.5,15,1.0,REAL,SAME_BAR_BARRIER_TIE,125
ES,mad_D_1.5,15,1.0,SYNTHETIC,REJECTION_FIRST,449
ES,mad_D_1.5,15,1.0,SYNTHETIC,CONTINUATION_FIRST,412
ES,mad_D_1.5,15,1.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,135
ES,mad_D_1.5,15,1.5,REAL,REJECTION_FIRST,482
ES,mad_D_1.5,15,1.5,REAL,CONTINUATION_FIRST,454
ES,mad_D_1.5,15,1.5,REAL,SAME_BAR_BARRIER_TIE,56
ES,mad_D_1.5,15,1.5,REAL,NEITHER_REACHED,7
ES,mad_D_1.5,15,1.5,SYNTHETIC,REJECTION_FIRST,492
ES,mad_D_1.5,15,1.5,SYNTHETIC,CONTINUATION_FIRST,453
ES,mad_D_1.5,15,1.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,44
ES,mad_D_1.5,15,1.5,SYNTHETIC,NEITHER_REACHED,7
ES,mad_D_1.5,15,2.0,REAL,REJECTION_FIRST,489
ES,mad_D_1.5,15,2.0,REAL,CONTINUATION_FIRST,460
ES,mad_D_1.5,15,2.0,REAL,NEITHER_REACHED,29
ES,mad_D_1.5,15,2.0,REAL,SAME_BAR_BARRIER_TIE,21
ES,mad_D_1.5,15,2.0,SYNTHETIC,REJECTION_FIRST,476
ES,mad_D_1.5,15,2.0,SYNTHETIC,CONTINUATION_FIRST,466
ES,mad_D_1.5,15,2.0,SYNTHETIC,NEITHER_REACHED,33
ES,mad_D_1.5,15,2.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,21
ES,mad_D_2.0,1,0.5,REAL,REJECTION_FIRST,343
ES,mad_D_2.0,1,0.5,REAL,CONTINUATION_FIRST,312
ES,mad_D_2.0,1,0.5,REAL,SAME_BAR_BARRIER_TIE,287
ES,mad_D_2.0,1,0.5,REAL,NEITHER_REACHED,11
ES,mad_D_2.0,1,0.5,SYNTHETIC,REJECTION_FIRST,352
ES,mad_D_2.0,1,0.5,SYNTHETIC,CONTINUATION_FIRST,327
ES,mad_D_2.0,1,0.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,266
ES,mad_D_2.0,1,0.5,SYNTHETIC,NEITHER_REACHED,7
ES,mad_D_2.0,1,1.0,REAL,REJECTION_FIRST,369
ES,mad_D_2.0,1,1.0,REAL,CONTINUATION_FIRST,352
ES,mad_D_2.0,1,1.0,REAL,NEITHER_REACHED,130
ES,mad_D_2.0,1,1.0,REAL,SAME_BAR_BARRIER_TIE,102
ES,mad_D_2.0,1,1.0,SYNTHETIC,REJECTION_FIRST,375
ES,mad_D_2.0,1,1.0,SYNTHETIC,CONTINUATION_FIRST,349
ES,mad_D_2.0,1,1.0,SYNTHETIC,NEITHER_REACHED,126
ES,mad_D_2.0,1,1.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,102
ES,mad_D_2.0,1,1.5,REAL,REJECTION_FIRST,338
ES,mad_D_2.0,1,1.5,REAL,NEITHER_REACHED,293
ES,mad_D_2.0,1,1.5,REAL,CONTINUATION_FIRST,276
ES,mad_D_2.0,1,1.5,REAL,SAME_BAR_BARRIER_TIE,46
ES,mad_D_2.0,1,1.5,SYNTHETIC,REJECTION_FIRST,340
ES,mad_D_2.0,1,1.5,SYNTHETIC,CONTINUATION_FIRST,293
ES,mad_D_2.0,1,1.5,SYNTHETIC,NEITHER_REACHED,273
ES,mad_D_2.0,1,1.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,46
ES,mad_D_2.0,1,2.0,REAL,NEITHER_REACHED,444
ES,mad_D_2.0,1,2.0,REAL,REJECTION_FIRST,268
ES,mad_D_2.0,1,2.0,REAL,CONTINUATION_FIRST,222
ES,mad_D_2.0,1,2.0,REAL,SAME_BAR_BARRIER_TIE,19
ES,mad_D_2.0,1,2.0,SYNTHETIC,NEITHER_REACHED,450
ES,mad_D_2.0,1,2.0,SYNTHETIC,REJECTION_FIRST,261
ES,mad_D_2.0,1,2.0,SYNTHETIC,CONTINUATION_FIRST,222
ES,mad_D_2.0,1,2.0,SYNTHETIC,SAME_BAR_BARRIER_TIE,19
ES,mad_D_2.0,3,0.5,REAL,REJECTION_FIRST,347
ES,mad_D_2.0,3,0.5,REAL,CONTINUATION_FIRST,317
ES,mad_D_2.0,3,0.5,REAL,SAME_BAR_BARRIER_TIE,287
ES,mad_D_2.0,3,0.5,REAL,NEITHER_REACHED,2
ES,mad_D_2.0,3,0.5,SYNTHETIC,REJECTION_FIRST,355
ES,mad_D_2.0,3,0.5,SYNTHETIC,CONTINUATION_FIRST,331
ES,mad_D_2.0,3,0.5,SYNTHETIC,SAME_BAR_BARRIER_TIE,266
