instrument,level_id,arm,horizon,label_tau1.0,n
ES,mad_U_1.5,SYNTHETIC,3,CONTINUATION,324
ES,mad_U_1.5,SYNTHETIC,3,INCONCLUSIVE,344
ES,mad_U_1.5,SYNTHETIC,3,REJECTION,342
ES,mad_U_1.5,SYNTHETIC,5,CONTINUATION,352
ES,mad_U_1.5,SYNTHETIC,5,INCONCLUSIVE,287
ES,mad_U_1.5,SYNTHETIC,5,REJECTION,371
ES,mad_U_1.5,SYNTHETIC,10,CONTINUATION,384
ES,mad_U_1.5,SYNTHETIC,10,INCONCLUSIVE,249
ES,mad_U_1.5,SYNTHETIC,10,REJECTION,377
ES,mad_U_1.5,SYNTHETIC,15,CONTINUATION,414
ES,mad_U_1.5,SYNTHETIC,15,INCONCLUSIVE,194
ES,mad_U_1.5,SYNTHETIC,15,REJECTION,402
ES,mad_U_2.0,REAL,1,CONTINUATION,230
ES,mad_U_2.0,REAL,1,INCONCLUSIVE,485
ES,mad_U_2.0,REAL,1,REJECTION,228
ES,mad_U_2.0,REAL,3,CONTINUATION,307
ES,mad_U_2.0,REAL,3,INCONCLUSIVE,329
ES,mad_U_2.0,REAL,3,REJECTION,307
ES,mad_U_2.0,REAL,5,CONTINUATION,337
ES,mad_U_2.0,REAL,5,INCONCLUSIVE,276
ES,mad_U_2.0,REAL,5,REJECTION,330
ES,mad_U_2.0,REAL,10,CONTINUATION,363
ES,mad_U_2.0,REAL,10,INCONCLUSIVE,241
ES,mad_U_2.0,REAL,10,REJECTION,339
ES,mad_U_2.0,REAL,15,CONTINUATION,395
ES,mad_U_2.0,REAL,15,INCONCLUSIVE,174
ES,mad_U_2.0,REAL,15,REJECTION,374
ES,mad_U_2.0,SYNTHETIC,1,CONTINUATION,231
ES,mad_U_2.0,SYNTHETIC,1,INCONCLUSIVE,483
ES,mad_U_2.0,SYNTHETIC,1,REJECTION,235
ES,mad_U_2.0,SYNTHETIC,3,CONTINUATION,312
ES,mad_U_2.0,SYNTHETIC,3,INCONCLUSIVE,328
ES,mad_U_2.0,SYNTHETIC,3,REJECTION,309
ES,mad_U_2.0,SYNTHETIC,5,CONTINUATION,336
ES,mad_U_2.0,SYNTHETIC,5,INCONCLUSIVE,278
ES,mad_U_2.0,SYNTHETIC,5,REJECTION,335
ES,mad_U_2.0,SYNTHETIC,10,CONTINUATION,364
ES,mad_U_2.0,SYNTHETIC,10,INCONCLUSIVE,243
ES,mad_U_2.0,SYNTHETIC,10,REJECTION,342
ES,mad_U_2.0,SYNTHETIC,15,CONTINUATION,398
ES,mad_U_2.0,SYNTHETIC,15,INCONCLUSIVE,179
ES,mad_U_2.0,SYNTHETIC,15,REJECTION,372
ES,mult_D_0.5,REAL,1,CONTINUATION,334
ES,mult_D_0.5,REAL,1,INCONCLUSIVE,428
ES,mult_D_0.5,REAL,1,REJECTION,377
ES,mult_D_0.5,REAL,3,CONTINUATION,423
ES,mult_D_0.5,REAL,3,INCONCLUSIVE,295
ES,mult_D_0.5,REAL,3,REJECTION,421
ES,mult_D_0.5,REAL,5,CONTINUATION,449
ES,mult_D_0.5,REAL,5,INCONCLUSIVE,246
ES,mult_D_0.5,REAL,5,REJECTION,444
ES,mult_D_0.5,REAL,10,CONTINUATION,465
ES,mult_D_0.5,REAL,10,INCONCLUSIVE,202
ES,mult_D_0.5,REAL,10,REJECTION,472
ES,mult_D_0.5,REAL,15,CONTINUATION,461
ES,mult_D_0.5,REAL,15,INCONCLUSIVE,187
ES,mult_D_0.5,REAL,15,REJECTION,491
ES,mult_D_0.5,SYNTHETIC,1,CONTINUATION,317
ES,mult_D_0.5,SYNTHETIC,1,INCONCLUSIVE,451
ES,mult_D_0.5,SYNTHETIC,1,REJECTION,313
ES,mult_D_0.5,SYNTHETIC,3,CONTINUATION,401
ES,mult_D_0.5,SYNTHETIC,3,INCONCLUSIVE,297
ES,mult_D_0.5,SYNTHETIC,3,REJECTION,383
ES,mult_D_0.5,SYNTHETIC,5,CONTINUATION,420
ES,mult_D_0.5,SYNTHETIC,5,INCONCLUSIVE,256
ES,mult_D_0.5,SYNTHETIC,5,REJECTION,405
ES,mult_D_0.5,SYNTHETIC,10,CONTINUATION,438
ES,mult_D_0.5,SYNTHETIC,10,INCONCLUSIVE,218
ES,mult_D_0.5,SYNTHETIC,10,REJECTION,425
ES,mult_D_0.5,SYNTHETIC,15,CONTINUATION,440
ES,mult_D_0.5,SYNTHETIC,15,INCONCLUSIVE,185
ES,mult_D_0.5,SYNTHETIC,15,REJECTION,456
ES,mult_D_1.0,REAL,1,CONTINUATION,323
ES,mult_D_1.0,REAL,1,INCONCLUSIVE,408
ES,mult_D_1.0,REAL,1,REJECTION,319
ES,mult_D_1.0,REAL,3,CONTINUATION,383
ES,mult_D_1.0,REAL,3,INCONCLUSIVE,277
ES,mult_D_1.0,REAL,3,REJECTION,390
ES,mult_D_1.0,REAL,5,CONTINUATION,406
ES,mult_D_1.0,REAL,5,INCONCLUSIVE,228
ES,mult_D_1.0,REAL,5,REJECTION,416
ES,mult_D_1.0,REAL,10,CONTINUATION,428
ES,mult_D_1.0,REAL,10,INCONCLUSIVE,200
ES,mult_D_1.0,REAL,10,REJECTION,422
ES,mult_D_1.0,REAL,15,CONTINUATION,433
ES,mult_D_1.0,REAL,15,INCONCLUSIVE,161
ES,mult_D_1.0,REAL,15,REJECTION,456
ES,mult_D_1.0,SYNTHETIC,1,CONTINUATION,293
ES,mult_D_1.0,SYNTHETIC,1,INCONCLUSIVE,419
ES,mult_D_1.0,SYNTHETIC,1,REJECTION,285
ES,mult_D_1.0,SYNTHETIC,3,CONTINUATION,355
ES,mult_D_1.0,SYNTHETIC,3,INCONCLUSIVE,299
ES,mult_D_1.0,SYNTHETIC,3,REJECTION,343
ES,mult_D_1.0,SYNTHETIC,5,CONTINUATION,378
ES,mult_D_1.0,SYNTHETIC,5,INCONCLUSIVE,251
ES,mult_D_1.0,SYNTHETIC,5,REJECTION,368
ES,mult_D_1.0,SYNTHETIC,10,CONTINUATION,403
