instrument,level_id,outcome_name,horizon,n_real,n_synth,status,p_raw,real_rate,synth_rate,p_bh
ES,prior_low,post_touch_retouch,10,194,828,tested,0.46681348758302726,0.8041237113402062,0.8260869565217391,1.0
ES,prior_low,post_touch_retouch,15,194,828,tested,0.3088591239908647,0.8298969072164949,0.8599033816425121,1.0
ES,prior_rth_mid,post_touch_retouch,1,272,799,tested,0.3528374374199248,0.5698529411764706,0.6032540675844806,0.6367256448043891
ES,prior_rth_mid,post_touch_retouch,3,272,799,tested,0.634091407210856,0.7205882352941176,0.737171464330413,1.0
ES,prior_rth_mid,post_touch_retouch,5,272,799,tested,1.0,0.7794117647058824,0.7809762202753442,1.0
ES,prior_rth_mid,post_touch_retouch,10,272,799,tested,0.5183582978562213,0.8125,0.8297872340425532,1.0
ES,prior_rth_mid,post_touch_retouch,15,272,799,tested,1.0,0.8602941176470589,0.8585732165206508,1.0
ES,prior_rth_vwap,post_touch_retouch,1,284,808,tested,0.39747569139612915,0.6267605633802817,0.5965346534653465,0.6367256448043891
ES,prior_rth_vwap,post_touch_retouch,3,284,808,tested,0.3094012352007881,0.7605633802816901,0.7289603960396039,0.7838164625086631
ES,prior_rth_vwap,post_touch_retouch,5,284,808,tested,0.14541852655150345,0.8274647887323944,0.7858910891089109,0.7051937256641272
ES,prior_rth_vwap,post_touch_retouch,10,284,808,tested,0.06931443174460253,0.8802816901408451,0.8341584158415841,1.0
ES,prior_rth_vwap,post_touch_retouch,15,284,808,tested,0.08438852996664567,0.897887323943662,0.8551980198019802,1.0
ES,q_D_p25,post_touch_retouch,1,1152,1135,tested,0.24154058451823407,0.5303819444444444,0.505726872246696,0.6036320763010439
ES,q_D_p25,post_touch_retouch,3,1152,1135,tested,0.5382515915842954,0.6605902777777778,0.6475770925110133,0.9739790704858677
ES,q_D_p25,post_touch_retouch,5,1152,1135,tested,0.5487327700314459,0.7170138888888888,0.7048458149779736,0.9294594364341511
ES,q_D_p25,post_touch_retouch,10,1152,1135,tested,0.9221290265975777,0.7604166666666666,0.758590308370044,1.0
ES,q_D_p25,post_touch_retouch,15,1152,1135,tested,0.918619090818372,0.7864583333333334,0.788546255506608,1.0
ES,q_D_p75,post_touch_retouch,1,949,926,tested,0.7066569808160723,0.6006322444678609,0.591792656587473,0.895098842367025
ES,q_D_p75,post_touch_retouch,3,949,926,tested,0.17748279173876563,0.7418335089567967,0.7138228941684666,0.6981175744313888
ES,q_D_p75,post_touch_retouch,5,949,926,tested,0.15827726621106586,0.8008429926238145,0.7732181425485961,0.7051937256641272
ES,q_D_p75,post_touch_retouch,10,949,926,tested,0.5005993768626812,0.8345626975763962,0.8218142548596112,1.0
ES,q_D_p75,post_touch_retouch,15,949,926,tested,0.29662121913784006,0.8619599578503688,0.8444924406047516,1.0
ES,q_D_p90,post_touch_retouch,1,828,850,tested,0.14397662597622868,0.6413043478260869,0.6058823529411764,0.547111178709669
ES,q_D_p90,post_touch_retouch,3,828,850,tested,0.8663401341292263,0.748792270531401,0.7447058823529412,1.0
ES,q_D_p90,post_touch_retouch,5,828,850,tested,0.5856475946591038,0.8019323671497585,0.7905882352941176,0.9294594364341511
ES,q_D_p90,post_touch_retouch,10,828,850,tested,0.737211448856395,0.8466183574879227,0.84,1.0
ES,q_D_p90,post_touch_retouch,15,828,850,tested,1.0,0.8707729468599034,0.8717647058823529,1.0
ES,q_D_p95,post_touch_retouch,1,745,844,tested,0.0772920772572155,0.6496644295302013,0.6054502369668247,0.41958556225345556
ES,q_D_p95,post_touch_retouch,3,745,844,tested,0.24414667761919004,0.7664429530201342,0.740521327014218,0.7680294670362271
ES,q_D_p95,post_touch_retouch,5,745,844,tested,0.568739430087746,0.810738255033557,0.7985781990521327,0.9294594364341511
ES,q_D_p95,post_touch_retouch,10,745,844,tested,0.6738330086908224,0.8536912751677852,0.8459715639810427,1.0
ES,q_D_p95,post_touch_retouch,15,745,844,tested,1.0,0.8738255033557047,0.8744075829383886,1.0
ES,q_U_p25,post_touch_retouch,1,1151,1119,tested,0.22221634078844937,0.5490877497827976,0.5227882037533512,0.6036320763010439
ES,q_U_p25,post_touch_retouch,3,1151,1119,tested,0.2829582246975574,0.68375325803649,0.6621983914209115,0.7680294670362271
