instrument,level_id,outcome_name,horizon,n_real,n_synth,status,p_raw,real_rate,synth_rate,p_bh
ES,mult_U_2.0,directional_close_recross,3,862,781,tested,0.1402074606307723,0.14849187935034802,0.17541613316261204,0.7888678823547709
ES,mult_U_2.0,directional_close_recross,5,862,781,tested,0.3477070372137731,0.265661252900232,0.28681177976952626,0.7275929326067936
ES,mult_U_2.0,directional_close_recross,10,862,781,tested,0.27193967804418673,0.41299303944315546,0.44046094750320103,0.8037855627875593
ES,mult_U_2.0,directional_close_recross,15,862,781,tested,0.6569651080092161,0.5011600928074246,0.5121638924455826,0.8727319552796586
ES,overnight_high,directional_close_recross,1,426,803,tested,1.0,0.0,0.0,1.0
ES,overnight_high,directional_close_recross,3,426,803,tested,0.03690786322486293,0.12206572769953052,0.16687422166874222,0.7888678823547709
ES,overnight_high,directional_close_recross,5,426,803,tested,0.008546814618570184,0.22535211267605634,0.29638854296388545,0.324778955505667
ES,overnight_high,directional_close_recross,10,426,803,tested,0.021073737073004313,0.3755868544600939,0.44458281444582815,0.4004010043870819
ES,overnight_high,directional_close_recross,15,426,803,tested,0.0048258846062632895,0.44366197183098594,0.5292652552926526,0.183383615038005
ES,overnight_low,directional_close_recross,1,366,841,tested,1.0,0.0,0.0,1.0
ES,overnight_low,directional_close_recross,3,366,841,tested,0.26357504901191714,0.16939890710382513,0.1985731272294887,0.8435785343850275
ES,overnight_low,directional_close_recross,5,366,841,tested,0.4553291526099016,0.2896174863387978,0.31153388822829964,0.7351208548379837
ES,overnight_low,directional_close_recross,10,366,841,tested,0.8017921829988504,0.45901639344262296,0.4684898929845422,0.9308066104332932
ES,overnight_low,directional_close_recross,15,366,841,tested,0.3447806810295667,0.5327868852459017,0.5636147443519619,0.8727319552796586
ES,overnight_mid,directional_close_recross,1,648,873,tested,1.0,0.0,0.0,1.0
ES,overnight_mid,directional_close_recross,3,648,873,tested,0.7779659499625377,0.1574074074074074,0.16380297823596793,1.0
ES,overnight_mid,directional_close_recross,5,648,873,tested,0.26731693164355935,0.25462962962962965,0.2806414662084765,0.7275929326067936
ES,overnight_mid,directional_close_recross,10,648,873,tested,0.2932947426082914,0.4027777777777778,0.4306987399770905,0.8037855627875593
ES,overnight_mid,directional_close_recross,15,648,873,tested,0.17799645464219938,0.49074074074074076,0.5257731958762887,0.7029459776895794
ES,overnight_open,directional_close_recross,1,454,839,tested,1.0,0.0,0.0,1.0
ES,overnight_open,directional_close_recross,3,454,839,tested,0.35519096184632737,0.15859030837004406,0.1799761620977354,0.8435785343850275
ES,overnight_open,directional_close_recross,5,454,839,tested,0.06939091245884571,0.2488986784140969,0.29797377830750893,0.7249213668293458
ES,overnight_open,directional_close_recross,10,454,839,tested,0.4105624245671679,0.41629955947136565,0.4410011918951132,0.912851286548062
ES,overnight_open,directional_close_recross,15,454,839,tested,0.5600631793691799,0.5,0.5184743742550656,0.8727319552796586
ES,prior_close,directional_close_recross,1,347,808,tested,1.0,0.0,0.0,1.0
ES,prior_close,directional_close_recross,3,347,808,tested,0.08381650639617066,0.13544668587896252,0.1782178217821782,0.7888678823547709
ES,prior_close,directional_close_recross,5,347,808,tested,0.09427629047158181,0.23054755043227665,0.27970297029702973,0.7249213668293458
ES,prior_close,directional_close_recross,10,347,808,tested,0.1938079011511997,0.3919308357348703,0.4344059405940594,0.8037855627875593
ES,prior_close,directional_close_recross,15,347,808,tested,0.07223595435829339,0.4553314121037464,0.5148514851485149,0.6123861650904062
ES,prior_high,directional_close_recross,1,235,768,tested,1.0,0.0,0.0,1.0
ES,prior_high,directional_close_recross,3,235,768,tested,1.0,0.18723404255319148,0.18619791666666666,1.0
ES,prior_high,directional_close_recross,5,235,768,tested,0.28516492956516165,0.25957446808510637,0.2981770833333333,0.7275929326067936
ES,prior_high,directional_close_recross,10,235,768,tested,0.010423582098545568,0.35319148936170214,0.4479166666666667,0.3960961197447316
ES,prior_high,directional_close_recross,15,235,768,tested,0.0738494813160977,0.44680851063829785,0.5143229166666666,0.6123861650904062
ES,prior_low,directional_close_recross,1,185,822,tested,1.0,0.0,0.0,1.0
ES,prior_low,directional_close_recross,3,185,822,tested,0.6045385035223201,0.20540540540540542,0.1873479318734793,1.0
ES,prior_low,directional_close_recross,5,185,822,tested,1.0,0.3027027027027027,0.3029197080291971,1.0
ES,prior_low,directional_close_recross,10,185,822,tested,0.6834427697424448,0.4756756756756757,0.45742092457420924,0.912851286548062
ES,prior_low,directional_close_recross,15,185,822,tested,1.0,0.5621621621621622,0.5608272506082725,1.0
ES,prior_rth_mid,directional_close_recross,1,255,790,tested,1.0,0.0,0.0,1.0
ES,prior_rth_mid,directional_close_recross,3,255,790,tested,0.9237896281738327,0.17254901960784313,0.16962025316455695,1.0
ES,prior_rth_mid,directional_close_recross,5,255,790,tested,0.5786593342765546,0.27450980392156865,0.2949367088607595,0.8164508268046272
ES,prior_rth_mid,directional_close_recross,10,255,790,tested,0.7172231204135318,0.43137254901960786,0.44556962025316454,0.912851286548062
ES,prior_rth_mid,directional_close_recross,15,255,790,tested,0.5641102241335171,0.5058823529411764,0.529113924050633,0.8727319552796586
ES,prior_rth_vwap,directional_close_recross,1,269,799,tested,1.0,0.0,0.0,1.0
ES,prior_rth_vwap,directional_close_recross,3,269,799,tested,0.5792499272850316,0.18587360594795538,0.17146433041301626,1.0
ES,prior_rth_vwap,directional_close_recross,5,269,799,tested,0.3213737947815742,0.3345724907063197,0.30037546933667086,0.7275929326067936
ES,prior_rth_vwap,directional_close_recross,10,269,799,tested,0.25867568930622914,0.49070631970260226,0.45056320400500627,0.8037855627875593
ES,prior_rth_vwap,directional_close_recross,15,269,799,tested,0.8875799814469592,0.550185873605948,0.5444305381727159,0.9636582655709842
ES,q_D_p25,directional_close_recross,1,1152,974,tested,1.0,0.0,0.0,1.0
ES,q_D_p25,directional_close_recross,3,1152,974,tested,0.3092657872251686,0.14930555555555555,0.16632443531827515,0.8435785343850275
ES,q_D_p25,directional_close_recross,5,1152,974,tested,0.2661819990612469,0.2717013888888889,0.2936344969199179,0.7275929326067936
ES,q_D_p25,directional_close_recross,10,1152,974,tested,0.21670646691074336,0.4036458333333333,0.43018480492813144,0.8037855627875593
ES,q_D_p25,directional_close_recross,15,1152,974,tested,0.2766439507843456,0.4913194444444444,0.5154004106776181,0.8727319552796586
ES,q_D_p75,directional_close_recross,1,949,926,tested,1.0,0.0,0.0,1.0
ES,q_D_p75,directional_close_recross,3,949,926,tested,0.16607744891679388,0.16649104320337196,0.19114470842332612,0.7888678823547709
ES,q_D_p75,directional_close_recross,5,949,926,tested,0.11446126844673883,0.27291886195995785,0.30669546436285094,0.7249213668293458
ES,q_D_p75,directional_close_recross,10,949,926,tested,0.40367471574468783,0.44151738672286617,0.4611231101511879,0.912851286548062
ES,q_D_p75,directional_close_recross,15,949,926,tested,0.7111332995392488,0.5321390937829295,0.541036717062635,0.8727319552796586
ES,q_D_p90,directional_close_recross,1,828,850,tested,1.0,0.0,0.0,1.0
ES,q_D_p90,directional_close_recross,3,828,850,tested,0.9506854827914607,0.1932367149758454,0.19176470588235295,1.0
ES,q_D_p90,directional_close_recross,5,828,850,tested,0.7523355667774061,0.30917874396135264,0.3164705882352941,0.9119639886425875
ES,q_D_p90,directional_close_recross,10,828,850,tested,0.883221362437125,0.4601449275362319,0.4647058823529412,0.9668950627715158
