instrument,session,touch_time_bucket,approach_side,horizon_bars,barrier_atr,eligible_armed_excursions,touch_events,touch_rate,same_bar_rejection_count,same_bar_breakthrough_count,same_bar_neutral_count,same_bar_rejection_rate,same_bar_breakthrough_rate,same_bar_rej_minus_brk,same_bar_binom_p,median_signed_close_atr,median_rejection_exc_atr,median_breakthrough_exc_atr,median_dominance,p_rejection_exc_gt_breakthrough_exc,p_breakthrough_exc_gt_rejection_exc,post_touch_retouch_rate,barrier_rejection_first_n,barrier_breakthrough_first_n,barrier_tie_n,barrier_neither_n,barrier_rejection_first_rate,barrier_breakthrough_first_rate,barrier_tie_rate,barrier_neither_rate,barrier_rej_minus_brk_first_rate,barrier_nontied_n,barrier_binom_p,sample_status
ES,ASIA,SESSION_30_TO_60,FROM_ABOVE,4,0.5,194,228,1.175257731958763,112,116,0,0.49122807017543857,0.5087719298245614,-0.017543859649122806,0.8425681064325894,0.07861481103616405,0.5870193277541648,0.49006967757662423,0.12614903292738827,0.5263157894736842,0.47368421052631576,0.9342105263157895,113,88,5,22,0.4956140350877193,0.38596491228070173,0.021929824561403508,0.09649122807017543,0.10964912280701755,201,0.09023833528455849,OK
ES,ASIA,SESSION_30_TO_60,FROM_ABOVE,4,1.0,194,228,1.175257731958763,112,116,0,0.49122807017543857,0.5087719298245614,-0.017543859649122806,0.8425681064325894,0.07861481103616405,0.5870193277541648,0.49006967757662423,0.12614903292738827,0.5263157894736842,0.47368421052631576,0.9342105263157895,52,61,1,114,0.22807017543859648,0.2675438596491228,0.0043859649122807015,0.5,-0.03947368421052633,113,0.4518532686657418,OK
ES,ASIA,SESSION_30_TO_60,FROM_ABOVE,6,0.5,194,228,1.175257731958763,112,116,0,0.49122807017543857,0.5087719298245614,-0.017543859649122806,0.8425681064325894,-0.039826632080699746,0.6916655209181788,0.6770359179563261,0.05611386812547488,0.5263157894736842,0.47368421052631576,0.9342105263157895,118,94,5,11,0.5175438596491229,0.41228070175438597,0.021929824561403508,0.04824561403508772,0.10526315789473689,212,0.11397511041908633,OK
ES,ASIA,SESSION_30_TO_60,FROM_ABOVE,6,1.0,194,228,1.175257731958763,112,116,0,0.49122807017543857,0.5087719298245614,-0.017543859649122806,0.8425681064325894,-0.039826632080699746,0.6916655209181788,0.6770359179563261,0.05611386812547488,0.5263157894736842,0.47368421052631576,0.9342105263157895,67,70,1,90,0.29385964912280704,0.30701754385964913,0.0043859649122807015,0.39473684210526316,-0.01315789473684209,137,0.8644049750099481,OK
ES,ASIA,SESSION_30_TO_60,FROM_ABOVE,9,0.5,194,228,1.175257731958763,112,116,0,0.49122807017543857,0.5087719298245614,-0.017543859649122806,0.8425681064325894,0.062194107856730345,0.8344660172991201,0.8049897326206379,0.060319389578273847,0.5131578947368421,0.4868421052631579,0.9342105263157895,124,97,5,2,0.543859649122807,0.42543859649122806,0.021929824561403508,0.008771929824561403,0.11842105263157898,221,0.08006472482025555,OK
ES,ASIA,SESSION_30_TO_60,FROM_ABOVE,9,1.0,194,228,1.175257731958763,112,116,0,0.49122807017543857,0.5087719298245614,-0.017543859649122806,0.8425681064325894,0.062194107856730345,0.8344660172991201,0.8049897326206379,0.060319389578273847,0.5131578947368421,0.4868421052631579,0.9342105263157895,88,85,1,54,0.38596491228070173,0.37280701754385964,0.0043859649122807015,0.23684210526315788,0.01315789473684209,173,0.8791987439042924,OK
ES,ASIA,SESSION_30_TO_60,FROM_ABOVE,12,0.5,194,228,1.175257731958763,112,116,0,0.49122807017543857,0.5087719298245614,-0.017543859649122806,0.8425681064325894,0.1019766374853679,1.0404777664940723,0.913510029316509,0.028588425409948118,0.5131578947368421,0.4868421052631579,0.9342105263157895,124,97,5,2,0.543859649122807,0.42543859649122806,0.021929824561403508,0.008771929824561403,0.11842105263157898,221,0.08006472482025555,OK
ES,ASIA,SESSION_30_TO_60,FROM_ABOVE,12,1.0,194,228,1.175257731958763,112,116,0,0.49122807017543857,0.5087719298245614,-0.017543859649122806,0.8425681064325894,0.1019766374853679,1.0404777664940723,0.913510029316509,0.028588425409948118,0.5131578947368421,0.4868421052631579,0.9342105263157895,99,92,1,36,0.4342105263157895,0.40350877192982454,0.0043859649122807015,0.15789473684210525,0.030701754385964952,191,0.6642959893958242,OK
ES,ASIA,SESSION_30_TO_60,FROM_ABOVE,18,0.5,194,228,1.175257731958763,112,116,0,0.49122807017543857,0.5087719298245614,-0.017543859649122806,0.8425681064325894,0.3172973420367696,1.5046608079870705,1.3316517518420632,0.12285876673868186,0.5657894736842105,0.4342105263157895,0.9342105263157895,125,98,5,0,0.5482456140350878,0.4298245614035088,0.021929824561403508,0.0,0.11842105263157898,223,0.08143605432914147,OK
ES,ASIA,SESSION_30_TO_60,FROM_ABOVE,18,1.0,194,228,1.175257731958763,112,116,0,0.49122807017543857,0.5087719298245614,-0.017543859649122806,0.8425681064325894,0.3172973420367696,1.5046608079870705,1.3316517518420632,0.12285876673868186,0.5657894736842105,0.4342105263157895,0.9342105263157895,112,106,1,9,0.49122807017543857,0.4649122807017544,0.0043859649122807015,0.039473684210526314,0.02631578947368418,218,0.7349658822561246,OK
