instrument,session,direction,year,continuation_rate,continuation_rate,median_signed_close,median_signed_close,n,n,efficient_minus_inefficient_n,efficient_minus_inefficient_continuation_rate,efficient_minus_inefficient_median_signed_close
NQ,LONDON,1,2021,0.5151515151515151,0.4,0.25,-5.75,297.0,5.0,292.0,0.11515151515151512,6.0
NQ,LONDON,1,2022,0.49221183800623053,0.6666666666666666,-1.5,-10.0,321.0,3.0,318.0,-0.1744548286604361,8.5
NQ,NEW_YORK,-1,2018,0.49828178694158076,0.16666666666666666,-1.25,3.125,291.0,6.0,285.0,0.33161512027491413,-4.375
NQ,NEW_YORK,-1,2019,0.5236486486486487,0.6666666666666666,-1.0,12.0,296.0,3.0,293.0,-0.14301801801801795,-13.0
NQ,NEW_YORK,-1,2020,0.5333333333333333,0.5,-3.125,-3.375,360.0,8.0,352.0,0.033333333333333326,0.25
NQ,NEW_YORK,-1,2021,0.5120643431635389,0.7272727272727273,-0.5,19.25,373.0,11.0,362.0,-0.2152083841091884,-19.75
NQ,NEW_YORK,-1,2022,0.49878345498783455,0.5,1.0,19.5,411.0,8.0,403.0,-0.0012165450121654486,-18.5
NQ,NEW_YORK,1,2018,0.5278810408921933,0.0,0.75,23.5,269.0,1.0,268.0,0.5278810408921933,-22.75
NQ,NEW_YORK,1,2019,0.5939849624060151,0.8333333333333334,0.625,3.375,266.0,6.0,260.0,-0.2393483709273183,-2.75
NQ,NEW_YORK,1,2020,0.5015384615384615,0.3333333333333333,1.25,-19.0,325.0,12.0,313.0,0.16820512820512817,20.25
NQ,NEW_YORK,1,2021,0.4940119760479042,0.5,2.0,-16.375,334.0,8.0,326.0,-0.0059880239520958,18.375
NQ,NEW_YORK,1,2022,0.47150259067357514,0.4444444444444444,-1.25,8.0,386.0,9.0,377.0,0.02705814622913072,-9.25
